model,row,site,group,m,slots,f,hadamard_step,one_term_score_f,two_term_step_pred,measured_step,mean_ppl
llama32_3b,nar_g128_m1,qkv,128,1,64,0.41937135798590525,0.13829809938158308,0.41937135798590525,0.10538175803171512,0.10215274776731217,7.71315744772667
llama32_3b,nar_g128_m1,down,128,1,64,0.2773168683052063,0.020747981255962736,0.2773168683052063,0.017638018992409493,0.01598350561800457,7.71315744772667
llama32_3b,nar_g128_m1,combined,128,1,64,0.3483441131455558,nan,0.3483441131455558,0.06150988851206231,0.059068126692658374,7.71315744772667
llama32_3b,nar_g128_m2,qkv,128,2,128,0.4967550550188337,0.13829809938158308,0.4967550550188337,0.098108338820399,0.09723905324935914,7.704236462720888
llama32_3b,nar_g128_m2,down,128,2,128,0.33409697243145536,0.020747981255962736,0.33409697243145536,0.016930950566313545,0.015418129165967305,7.704236462720888
llama32_3b,nar_g128_m2,combined,128,2,128,0.41542601372514454,nan,0.41542601372514454,0.05751964469335627,0.05632859120766322,7.704236462720888
llama32_3b,nar_g256_m1,qkv,256,1,32,0.3388892241886684,0.15049174967266266,0.3388892241886684,0.1223629136068144,0.11581836371194748,7.739518233777171
llama32_3b,nar_g256_m1,down,256,1,32,0.22483426119600022,0.02256395568450292,0.22483426119600022,0.019866095676985825,0.018153990166527887,7.739518233777171
llama32_3b,nar_g256_m1,combined,256,1,32,0.2818617426923343,nan,0.2818617426923343,0.07111450464190011,0.06698617693923768,7.739518233777171
llama32_3b,nar_g256_m2,qkv,256,2,64,0.4193713537284306,0.15049174967266266,0.4193713537284306,0.1146731970926094,0.11121298131488618,7.726741961494824
llama32_3b,nar_g256_m2,down,256,2,64,0.2773168853351048,0.02256395568450292,0.2773168853351048,0.0191817926432514,0.017683278662817818,7.726741961494824
llama32_3b,nar_g256_m2,combined,256,2,64,0.3483441195317677,nan,0.3483441195317677,0.0669274948679304,0.064448129988852,7.726741961494824
llama32_3b,nar_g256_m3,qkv,256,3,96,0.4661696808678763,0.15049174967266266,0.4661696808678763,0.10995482952340742,0.10798730566388086,7.725288991346312
llama32_3b,nar_g256_m3,down,256,3,96,0.3106395772525242,0.02256395568450292,0.3106395772525242,0.018734340581509933,0.017286051596914022,7.725288991346312
llama32_3b,nar_g256_m3,combined,256,3,96,0.38840462906020023,nan,0.38840462906020023,0.06434458505245867,0.06263667863039744,7.725288991346312
llama32_3b,nar_g64_m1,qkv,64,1,128,0.49675506353378296,0.12503846145811534,0.49675506353378296,0.08870198284276466,0.08802142086483183,7.684924881276758
llama32_3b,nar_g64_m1,down,64,1,128,0.3340969852038792,0.018778603843280246,0.3340969852038792,0.015323881702199523,0.013760252580756232,7.684924881276758
llama32_3b,nar_g64_m1,combined,64,1,128,0.4154260243688311,nan,0.4154260243688311,0.05201293227248209,0.050890836722794035,7.684924881276758
