model,row,seed,chunk,source_row,old_nll,replay_nll,float32_bit_identical,per_token_mean_difference,source_sha256
llama32_3b,Q1_asym,0,31,Q1_pq,1.7268322706222534,1.7268322706222534,True,-1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,32,Q1_pq,2.0199429988861084,2.0199429988861084,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,33,Q1_pq,1.9842581748962402,1.9842581748962402,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,34,Q1_pq,2.1600804328918457,2.1600804328918457,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,35,Q1_pq,1.4724239110946655,1.4724239110946655,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,36,Q1_pq,1.4474793672561646,1.4474793672561646,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,37,Q1_pq,1.4918767213821411,1.4918767213821411,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,38,Q1_pq,1.4704545736312866,1.4704545736312866,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,39,Q1_pq,1.671228051185608,1.671228051185608,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,40,Q1_pq,2.2751200199127197,2.2751200199127197,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,41,Q1_pq,2.6905109882354736,2.6905109882354736,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,42,Q1_pq,2.692314624786377,2.692314624786377,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,43,Q1_pq,2.3128113746643066,2.3128113746643066,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,44,Q1_pq,2.311612129211426,2.311612129211426,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,45,Q1_pq,2.280364513397217,2.280364513397217,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,46,Q1_pq,2.3727753162384033,2.3727753162384033,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,47,Q1_pq,2.1643686294555664,2.1643686294555664,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,48,Q1_pq,2.0371930599212646,2.0371930599212646,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,49,Q1_pq,2.03334379196167,2.03334379196167,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,50,Q1_pq,1.7499632835388184,1.7499632835388184,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,51,Q1_pq,1.8376082181930542,1.8376082181930542,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,52,Q1_pq,1.6822372674942017,1.6822372674942017,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,53,Q1_pq,1.9027457237243652,1.9027457237243652,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,54,Q1_pq,1.632034182548523,1.632034182548523,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,55,Q1_pq,1.6047793626785278,1.6047793626785278,True,-1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,56,Q1_pq,1.8304630517959595,1.8304630517959595,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,57,Q1_pq,1.8059362173080444,1.8059362173080444,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
