model,model_id,site,method,seed,sequence,nll,tokens_scored,reused_deterministic_run,weight_fold_max_relative_error
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,53,1.8943290710449219,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,54,1.6217155456542969,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,55,1.5988894701004028,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,56,1.812684416770935,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,57,1.7975555658340454,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,58,2.1730005741119385,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,59,2.3395252227783203,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,60,2.349116086959839,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,61,2.4553310871124268,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,62,1.4989105463027954,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,63,1.8953813314437866,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,0,1.8387362957000732,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,1,2.4441208839416504,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,2,2.5131750106811523,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,3,2.0250930786132812,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,4,1.941643476486206,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,5,1.5628947019577026,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,6,1.6744329929351807,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,7,1.9331763982772827,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,8,2.264216184616089,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,9,1.9831451177597046,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,10,1.910391092300415,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,11,2.255622625350952,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,12,2.132784128189087,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,13,2.270144462585449,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,14,2.2016067504882812,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,15,2.415034532546997,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,16,2.1369340419769287,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,17,2.157489538192749,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,18,1.965590476989746,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,19,2.122807741165161,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,20,2.232614755630493,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,21,2.165695905685425,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,22,2.211625337600708,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,23,2.2584452629089355,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,24,2.285599946975708,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,25,2.362661361694336,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,26,2.4422607421875,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,27,2.23695969581604,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,28,2.014350652694702,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,29,1.8350991010665894,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,30,1.7039499282836914,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,31,1.7423155307769775,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,32,2.0328967571258545,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,33,1.9957715272903442,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,34,2.16286039352417,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,35,1.490698218345642,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,36,1.4530811309814453,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,37,1.4836026430130005,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,38,1.4840353727340698,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,39,1.6713709831237793,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,40,2.290116310119629,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,41,2.7028398513793945,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,42,2.714160442352295,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,43,2.3336217403411865,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,44,2.3224940299987793,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,45,2.294257879257202,2047,False,0.0
