model,site,layer,n,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,evaluation_tokens
llama32_3b,q_input,6,3072,128,identity,2.9247374534606934,0.02521259677940232,-0.5131693257528726,0.015259423961603234,8192
llama32_3b,q_input,6,3072,128,hadamard_full,1.9328553676605225,0.009953172817799087,0.0,0.0,8192
llama32_3b,q_input,6,3072,128,nar_kmax,1.5025995969772339,0.00610020822468894,0.22260112054015654,-0.0038529645931101465,8192
llama32_3b,q_input,7,3072,128,bf16,2.6576385498046875,0.0,-0.42458392821758123,-0.009933092385334992,8192
llama32_3b,q_input,7,3072,128,identity,2.6576385498046875,0.02278745349283947,-0.42458392821758123,0.012854361107504477,8192
llama32_3b,q_input,7,3072,128,hadamard_full,1.8655542135238647,0.009933092385334992,0.0,0.0,8192
llama32_3b,q_input,7,3072,128,nar_kmax,1.4749109745025635,0.006274679123977116,0.2093979559475847,-0.0036584132613578764,8192
llama32_3b,q_input,8,3072,128,bf16,3.149484634399414,0.0,-0.5068069198228684,-0.00994251400635383,8192
llama32_3b,q_input,8,3072,128,identity,3.149484634399414,0.026085125741543633,-0.5068069198228684,0.016142611735189803,8192
llama32_3b,q_input,8,3072,128,hadamard_full,2.0901713371276855,0.00994251400635383,0.0,0.0,8192
llama32_3b,q_input,8,3072,128,nar_kmax,1.6168174743652344,0.006004415763816559,0.22646653618977203,-0.003938098242537271,8192
llama32_3b,q_input,9,3072,128,bf16,3.0671679973602295,0.0,-0.46857770977113056,-0.009929459467816131,8192
llama32_3b,q_input,9,3072,128,identity,3.0671679973602295,0.0254591022872251,-0.46857770977113056,0.015529642819408968,8192
llama32_3b,q_input,9,3072,128,hadamard_full,2.088529586791992,0.009929459467816131,0.0,0.0,8192
llama32_3b,q_input,9,3072,128,nar_kmax,1.619598388671875,0.006022130260699939,0.2245269595823162,-0.0039073292071161924,8192
llama32_3b,q_input,10,3072,128,bf16,3.237332820892334,0.0,-0.4984209500607938,-0.009917328080350134,8192
llama32_3b,q_input,10,3072,128,identity,3.237332820892334,0.026392221630084527,-0.4984209500607938,0.016474893549734394,8192
llama32_3b,q_input,10,3072,128,hadamard_full,2.160496234893799,0.009917328080350134,0.0,0.0,8192
llama32_3b,q_input,10,3072,128,nar_kmax,1.660935640335083,0.00590898748673779,0.23122493179594555,-0.004008340593612344,8192
llama32_3b,q_input,11,3072,128,bf16,2.7939555644989014,0.0,-0.42905874571295755,-0.009917416630577805,8192
llama32_3b,q_input,11,3072,128,identity,2.7939555644989014,0.02336400079569632,-0.42905874571295755,0.013446584165118515,8192
