model,layer,effective_rank,top1_energy_fraction,bos_identity_range,nonbos_identity_range,bos_to_nonbos_range_ratio,sample_identity_range_b128
llama32_3b,0,15.735616864382404,0.18354243311157206,4.634765625,12.121743202209473,0.3823514116480545,12.004758834838867
llama32_3b,1,19.801028344017453,0.13901973779955673,1.70166015625,14.016918182373047,0.12140044866566461,13.824491500854492
llama32_3b,2,22.162902308938897,0.11761123590286544,2.53564453125,14.830089569091797,0.17097971791988875,14.63798999786377
llama32_3b,3,17.95162088652539,0.16856077743933545,3.453125,17.444643020629883,0.19794758745801588,17.226024627685547
llama32_3b,4,18.791278317063846,0.16154021309562888,3.45947265625,16.153352737426758,0.21416437271468244,15.955010414123535
llama32_3b,5,22.707294153174406,0.13584303059116684,3.3583984375,15.743977546691895,0.2133132131025976,15.550454139709473
llama32_3b,6,25.15859691709672,0.11205329939997279,3.8291015625,15.615864753723145,0.24520586101945224,15.431696891784668
llama32_3b,7,22.72143230819178,0.1273450217871193,4.0654296875,18.67744255065918,0.2176652224453781,18.449129104614258
llama32_3b,8,25.76703608066635,0.09773357405216834,4.15185546875,16.56144905090332,0.25069397345539296,16.367549896240234
llama32_3b,9,27.19577419406099,0.09705428553439885,4.724609375,16.250324249267578,0.29073939095171863,16.070236206054688
llama32_3b,10,30.046193766194552,0.08308926462089339,4.6806640625,15.051641464233398,0.31097366181771413,14.889596939086914
llama32_3b,11,23.142622478295696,0.08904883397030688,3.4775390625,19.849111557006836,0.17519872627610938,19.593305587768555
llama32_3b,12,29.994651558440413,0.0938700245627556,4.568359375,14.379388809204102,0.31770191595875336,14.226090431213379
llama32_3b,13,25.236164265980715,0.11567232810274013,4.01416015625,15.902853012084961,0.2524176104249686,15.71709156036377
llama32_3b,14,20.471671636779817,0.1663462308742962,2.8681640625,15.738110542297363,0.1822432276601179,15.537017822265625
llama32_3b,15,29.096042808159538,0.08830052225232118,3.24609375,14.91451358795166,0.21764663868235573,14.732193946838379
llama32_3b,16,24.438241669413628,0.12291124571152015,2.88916015625,15.712657928466797,0.18387469321887778,15.512290954589844
llama32_3b,17,23.735616752524326,0.11545060578069377,2.78564453125,15.282061576843262,0.18228198579379212,15.08680534362793
llama32_3b,18,24.361325237272123,0.11680086207865742,3.35009765625,14.932584762573242,0.2243481426368075,14.751607894897461
llama32_3b,19,23.109221785676734,0.10009574624420943,2.621826171875,16.42607879638672,0.15961363660642666,16.21038818359375
llama32_3b,20,22.67232763585109,0.11443526255267324,3.619140625,16.38772964477539,0.22084454060747985,16.188220977783203
llama32_3b,21,24.007109173554966,0.09385220433050462,3.256591796875,16.610994338989258,0.19605038268125474,16.402332305908203
llama32_3b,22,20.9103943136651,0.1272271246470064,2.5947265625,17.58823585510254,0.14752625470093644,17.353961944580078
llama32_3b,23,23.2000717435901,0.09644458036055827,3.659912109375,16.50611114501953,0.22173073216457306,16.305389404296875
llama32_3b,24,23.759914526189583,0.108463002128985,3.54931640625,16.295835494995117,0.2178051200467806,16.09667205810547
llama32_3b,25,15.54885901152593,0.19685728985837203,3.07373046875,18.302284240722656,0.16794245069754393,18.06433868408203
llama32_3b,26,25.86717653602973,0.10207953854927691,3.71923828125,14.833602905273438,0.25073060840315387,14.659940719604492
llama32_3b,27,19.489145766543395,0.14512819126226745,2.890625,16.973283767700195,0.17030440541510294,16.75324249267578
