model,site,layer,method,selected_tokens,selected_bos,selected_sequences,bos_fraction,indices_sha256,values_sha256,selection_artifact
llama32_3b,qkv,0,B_top1,128,128,128,1.0,14461865478ef86759e877872abcf7e8b51d2a56c76eb453cf6cf9d2129399c3,1aed20ded8f392976339f2142d2a0f0d4e70f828609832cfb0ed2ab5773b73b5,qkv_layer_00.selection.pt
llama32_3b,qkv,0,B_top1_no_bos,128,0,128,0.0,3f49927635a487cf21cdbf86c7d7016bd9b4bb0da9d75eb6620dc9cdba67415c,e7c3697f0b49a490de543ce710eac83919a600f84471ff42555a90194611f2c3,qkv_layer_00.selection.pt
llama32_3b,qkv,0,C_top1pct,2622,128,128,0.04881769641495042,8ec1b27e241c46b50973e2a61e6fa7f79efc9da95afe1440cd4d05927f2b8f07,2c09dd287943673c19d3cbeafd69283b72711dab60c0355bdbda19ff59326eb2,qkv_layer_00.selection.pt
llama32_3b,qkv,0,C_top1pct_no_bos,2621,0,128,0.0,3b197b29363ebe96aa953c23f758f4b0c14dff60275602b9776bdb21372e01cd,cd3caad907032c5de6f100288054b2bc7979b9c99d4e706fd5d8ee2dd4258da0,qkv_layer_00.selection.pt
llama32_3b,qkv,1,B_top1,128,0,128,0.0,655d346eca9357007e88c82bf34bf65f04ae9a98f398065e23f802e87c5ddeef,7d375704d278a026763df47c3b65f4d69d6c3b976c34d85ed0d3d44e3a614760,qkv_layer_01.selection.pt
llama32_3b,qkv,1,B_top1_no_bos,128,0,128,0.0,655d346eca9357007e88c82bf34bf65f04ae9a98f398065e23f802e87c5ddeef,7d375704d278a026763df47c3b65f4d69d6c3b976c34d85ed0d3d44e3a614760,qkv_layer_01.selection.pt
llama32_3b,qkv,1,C_top1pct,2622,0,128,0.0,78b71200f3c402b62b9d508f837affc9e45062da636f2d88d12f1de8c05b1568,b8f36c100bd02972e111d49ec367cc121b55c61dd97521c36c2b66879d273c92,qkv_layer_01.selection.pt
llama32_3b,qkv,1,C_top1pct_no_bos,2621,0,128,0.0,250b685be368bd898be5376a3f1324bde828c45ec194cd68be642535460e74d6,e84cd7cb98603d67d41fb6c3f80ce946e20440536c72b293ce43a9716f799bf5,qkv_layer_01.selection.pt
llama32_3b,qkv,2,B_top1,128,0,128,0.0,e88811638c3dbed6d78bf9d84fab759dacba66a341eeaf4cc8fbaaa7e55dfcce,37db30a2b33706d84ab7a04c921e5b0c1d3fa8ce51770f6d9abf483e4e9dd4ac,qkv_layer_02.selection.pt
llama32_3b,qkv,2,B_top1_no_bos,128,0,128,0.0,e88811638c3dbed6d78bf9d84fab759dacba66a341eeaf4cc8fbaaa7e55dfcce,37db30a2b33706d84ab7a04c921e5b0c1d3fa8ce51770f6d9abf483e4e9dd4ac,qkv_layer_02.selection.pt
llama32_3b,qkv,2,C_top1pct,2622,0,128,0.0,305548cde809ff60668cc1a5c2756bfda1f7836efaf94e806be74bfb1843aa2a,eabc2c039ee92c31a494729a58d77c7330c0f60ee75d25a53136986865b44f20,qkv_layer_02.selection.pt
llama32_3b,qkv,2,C_top1pct_no_bos,2621,0,128,0.0,ede641ca09b19e2340bdedeb1d85c22d8929652a139825addb285c9e4205fd92,6d767c7ed67bb7e6b333ebe9f792810036790ea872a143cdfca250653caf2023,qkv_layer_02.selection.pt
llama32_3b,qkv,3,B_top1,128,0,128,0.0,1bae1015aa21d1b33208f76fd749586b713feaa34041e4b5327344072c090eb1,e98dbf2ee0f0341356397a0b31759d97307e95e06e674d4c62de230639508bd9,qkv_layer_03.selection.pt
llama32_3b,qkv,3,B_top1_no_bos,128,0,128,0.0,1bae1015aa21d1b33208f76fd749586b713feaa34041e4b5327344072c090eb1,e98dbf2ee0f0341356397a0b31759d97307e95e06e674d4c62de230639508bd9,qkv_layer_03.selection.pt
llama32_3b,qkv,3,C_top1pct,2622,0,128,0.0,6ae08a9b09dea1393963ac4fc16f59bd7c41074180c2929f0eb35045f312f1f5,c31d88c17b88ceacc9dc53e69ce6c57a1855c42ff75ab4416e4e8bdef3cb5ec2,qkv_layer_03.selection.pt
llama32_3b,qkv,3,C_top1pct_no_bos,2621,0,128,0.0,3104723243bd644f8acc7ecd5a64d6ed346dde5fcd2a0899d44306cac9c79434,3bee7c5f5546c374b6b0cd8e186b4d0e89155f9bb2205445054414d3c9224ceb,qkv_layer_03.selection.pt
llama32_3b,qkv,4,B_top1,128,0,128,0.0,2f0e45f5cc87771eb0d60a03040eab649b397e1074f3ebec19c769a7e8ae9766,1b9d26227551d73e69dac14ae9fa42c9fbe7340a6e727328790a555984f035ec,qkv_layer_04.selection.pt
llama32_3b,qkv,4,B_top1_no_bos,128,0,128,0.0,2f0e45f5cc87771eb0d60a03040eab649b397e1074f3ebec19c769a7e8ae9766,1b9d26227551d73e69dac14ae9fa42c9fbe7340a6e727328790a555984f035ec,qkv_layer_04.selection.pt
llama32_3b,qkv,4,C_top1pct,2622,0,128,0.0,5120d0a15806831262b53bfd13b193c83f1c0228d41ebd965c29f3b1a144e567,372d68f894b00f380c38569523dfbc5022e966da6c15632a2e7464e17b34abec,qkv_layer_04.selection.pt
llama32_3b,qkv,4,C_top1pct_no_bos,2621,0,128,0.0,c46dde9ecac56fb306676e2b4d42d4932ccaf546c6ccedac760df5e1db550d4e,494806c488780c28f9770b0c2c0ef74342f8ce723f9d0bfd2c569c25fb7320c0,qkv_layer_04.selection.pt
llama32_3b,qkv,5,B_top1,128,0,128,0.0,44bf24367e8a8263c7adb86c8baac62118b8cf4299183d50facb5193ff4fa4b1,34af73358ae7196786a38becd098a98483266e683c4d2c2faff460429063f272,qkv_layer_05.selection.pt
llama32_3b,qkv,5,B_top1_no_bos,128,0,128,0.0,44bf24367e8a8263c7adb86c8baac62118b8cf4299183d50facb5193ff4fa4b1,34af73358ae7196786a38becd098a98483266e683c4d2c2faff460429063f272,qkv_layer_05.selection.pt
llama32_3b,qkv,5,C_top1pct,2622,0,128,0.0,8ee9c8112a1f434ed4c92fb6a4334484a2a2a35ae1259931e810b124328f8ce8,c5153448424c6034b904bbccaefc04f57c956f83fccd4ff52f96047effda87d5,qkv_layer_05.selection.pt
