model,site,layer,duquant_range,hadamard_range,prismquant_range,duquant_over_hadamard,null_space_capture,inside_paired_bracket,construction_seed,permutation_sha256,sampled_bf16_sha256,hadamard_replay_range,hadamard_replay_nmse,frozen_hadamard_source_csv_line
llama32_3b,down_input,9,0.2401328980922699,0.2455063462257385,0.2075956463813781,0.9781127933510614,0.01333392804884433,True,20369902,2d8f7d9478805434715c2c40bf4b8bafe168022cca0ac2bb96b4f71f476587f7,42b29376eccc1fd4bbf677fb2747c66d1adb56d08f5646894b549f75fead0c0b,0.24550634622573853,0.009906692828590469,152
llama32_3b,down_input,10,0.24855360388755798,0.255141943693161,0.2135093510150909,0.9741777470601765,0.017423865483116828,True,20370902,526d4d30704fb200bd56beb4440dcbe8a466d2fd5bc7d4bb7c16af0753776403,bed36884206692e7a9f13eaf4b532ca62b1f679754c55062d4ec3be2a39a9d42,0.255141943693161,0.009894870392326545,156
llama32_3b,down_input,11,0.2559197247028351,0.262346863746643,0.2214352190494537,0.9755013688670781,0.016058418298755928,True,20371902,6a1028e4d3751cdafafdca62225fd9222c5ce860084f1e2032ef688c964cff50,12d2d4972e326921e6143f79a78966bf9d9c7c43101a48985a2708122daf6643,0.26234689354896545,0.009901667053054987,160
llama32_3b,down_input,12,0.27813881635665894,0.2868539690971374,0.236108660697937,0.9696181553007299,0.02233636643270393,True,20372902,f73a1695bcc8769d33e3dc5178fc6c5489533f8c618c712a68b0d6cb5a3fb88d,609f379260c43852bfc6e137530f18addcb98b72caa2b4cc9faf928bf25e6241,0.28685396909713745,0.009844902459966462,164
llama32_3b,down_input,13,0.29885873198509216,0.312255322933197,0.2554234862327575,0.9570973175981026,0.049452664734668014,True,20373902,52c1c8ee61aad4cc91e6054166eccb9b9cb80b9a57ec0f51c19ad988dc46e7ae,f8e9dd2e65f803d78f74358ef4d39d9ee8a6d65572045c3b407be4a04a2b7034,0.3122553527355194,0.009611198517678258,168
llama32_3b,down_input,14,0.3369852304458618,0.352533608675003,0.2809615433216095,0.9558953306960442,0.018478003650375156,True,20374902,61d68d7db7b8c1bec038966c2474f4ed6409829f9b835f3442ae21b415e5362e,c72fe2992c6cbb1bd75015e9181f14ada3f852d35304f488e7ada7b061d0af64,0.35253363847732544,0.009824678534686321,172
llama32_3b,down_input,15,0.35265129804611206,0.3728830814361572,0.2894203662872314,0.9457422865308811,0.0324375619136927,True,20375902,e92c2f7ee7d166b59772d5c8e1107f20e8806a7e28a0217aa3825a03695e9fd4,bea55b98273c4e4afc6449cd8cf122e44f36bd993c80a2ab477bd8c8580b62b3,0.3728831112384796,0.009751519666183988,176
llama32_3b,down_input,16,0.34608784317970276,0.3676233887672424,0.2850359082221985,0.9414195444426017,0.03095017849220323,True,20376902,2839a456e47dd3edb5e2a9f4de381b16cda998f62845b936cb4f685fe7c04d4b,8588d5da82c751a8a2e66b96005f9dc1f0d7fbd4b26347bb036101ef32805eaf,0.3676234185695648,0.009727820268528323,180
llama32_3b,down_input,17,0.35299545526504517,0.3734050095081329,0.2908418774604797,0.945342044901936,0.022486871059589218,True,20377902,d723cdedc6c4269c7e9e4ed10ae69c2de53c0437e9e5a163ce4568896bd37c7b,18d482fa5defd2f8065bc98e65114bff3b5fbeb8cb8ed433b6909c7ed2492777,0.37340500950813293,0.009706466355121837,184
llama32_3b,down_input,18,0.36224761605262756,0.3817839026451111,0.2985395193099975,0.9488289410393409,0.023601127850629313,True,20378902,6c47e9cff70a230020e83b84ae6c47cca5ac66f6229495837b8e0b2a6e283512,759bcf3c694718268cf7964260b2553560c95b2427ab907312a165157f8353a8,0.3817838728427887,0.009667964761558874,188
llama32_3b,down_input,19,0.4080713987350464,0.4387293457984924,0.3277551233768463,0.9301210476184396,0.035666142409310764,True,20379902,bdeac18d1ab5315b3136ae344068421396c1e328867e78e5cb257dbe2967e0d6,254a654da1a09a82b1207857b4e8a1094b00954dc8625bc208e8d87596ef21ad,0.43872934579849243,0.009676662334526222,192
llama32_3b,down_input,20,0.3995206356048584,0.4259110689163208,0.3244175314903259,0.9380376908761501,0.023859180359952985,True,20380902,0f615fc7ede87548be7ebc32b7c07f9c1acf6f06cd5ee6f41104728698fb2ab1,183ccb9b800e85172f51d11b772c6b5af925e1bd1f1adec1d1c9f820c0979e2f,0.4259110689163208,0.009681618332967516,196
llama32_3b,down_input,21,0.4078128933906555,0.4386221766471863,0.3317009210586548,0.9297589476846886,0.02563698830422863,True,20381902,e5758817333253404c3900ac80686a09f671954adaa50953bb65af9b40b1ec2d,70bba5c090c9c3732a493f19406832bd19605a2a887f7b051f4fa8ad9e752f1f,0.4386221170425415,0.009708408289768102,200
