model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
llama32_3b,E11_g64_kmax,qkv,0,0,64,1,48,0.019270213747929237,0.04037407607870739,0.6714018107510189,0.6656180208609698,0.023143827303807277,0.20101559881733513,131072,6291456,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g64_kmax,qkv,0,1,64,1,48,0.019269324695712336,0.04043076839800067,0.6714018107510189,0.6656180230608189,0.023176325316755442,0.20275752693671006,131072,6291456,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g64_kmax,qkv,0,2,64,1,48,0.019280917943147662,0.040376119354978236,0.6714018107510189,0.6656180288274273,0.023144998580966764,0.20040957848650437,131072,6291456,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k8,qkv,0,0,128,1,8,0.029812843523115973,0.044596740264497114,0.43525678349126506,0.4338765169062407,0.03351418226760215,0.12415248956766817,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k8,qkv,0,1,128,1,8,0.029788197966828633,0.044478094312452164,0.43525678349126506,0.433876520574304,0.03342502054774181,0.12208937865133863,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k8,qkv,0,2,128,1,8,0.02978083977002388,0.04447671843817306,0.43525678349126506,0.433876523928682,0.03342398658649052,0.12233190348559858,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k16,qkv,0,0,128,1,16,0.026479977946322952,0.044596740264497114,0.5292789042156261,0.5261050829322836,0.030597429778809422,0.15549302347731844,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k16,qkv,0,1,128,1,16,0.026506234926891786,0.044478094312452164,0.5292789042156261,0.5261050787981089,0.030516027838562113,0.15127734748937163,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k16,qkv,0,2,128,1,16,0.026476414961847494,0.04447671843817306,0.5292789042156261,0.5261050969788075,0.03051508386336595,0.15253835941679328,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k32,qkv,0,0,128,1,24,0.024360485579725626,0.044596740264497114,0.5855838471431685,0.5808440618889251,0.0287092239514705,0.17851607914434078,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k32,qkv,0,1,128,1,24,0.024363439234024026,0.044478094312452164,0.5855838471431685,0.5808440774666342,0.028632845427210833,0.17523823923941315,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_k32,qkv,0,2,128,1,24,0.024371985134882257,0.04447671843817306,0.5855838471431685,0.580844073993576,0.028631959705909822,0.17478980671666758,131072,3145728,frozen E11 selected eigenvalue fractions
llama32_3b,E11_g128_kmax,qkv,0,0,128,1,24,0.024527116241297664,0.044596740264497114,0.5833845861595889,0.5786774993365288,0.028785301499576848,0.1736113294521531,131072,3145728,frozen E1c eigenspace paired with activation_factors
llama32_3b,E11_g128_kmax,qkv,0,1,128,1,24,0.024519871536687072,0.044478094312452164,0.5833845861595889,0.5786775027776645,0.028708720577270357,0.1708348689476555,131072,3145728,frozen E1c eigenspace paired with activation_factors
llama32_3b,E11_g128_kmax,qkv,0,2,128,1,24,0.024518653937116202,0.04447671843817306,0.5833845861595889,0.5786774993263267,0.028707832508866372,0.170856792648336,131072,3145728,frozen E1c eigenspace paired with activation_factors
llama32_3b,E11_g256_kmax,qkv,0,0,256,1,12,0.031056007473027353,0.04859432864735188,0.4889541992069806,0.4872146837234359,0.03473885489306739,0.11858727891016416,131072,1572864,frozen E11 selected eigenvalue fractions
