model,row,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1_asym,0,down,0,57,anchor,131072,0.04915954043783799,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,58,anchor,131072,0.048653945135296084,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,59,anchor,131072,0.049038255919548135,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,60,anchor,131072,0.050322701478151544,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,61,anchor,131072,0.0491205783387727,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,62,anchor,131072,0.04861851340917411,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,63,anchor,131072,0.04842768315330659,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,0,anchor,131072,0.0618801246647962,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,1,anchor,131072,0.06345515368427357,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,2,anchor,131072,0.06293684174944758,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,3,anchor,131072,0.06303394898806403,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,4,anchor,131072,0.06273341277069022,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,5,anchor,131072,0.06231130165001986,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,6,anchor,131072,0.061065629222930795,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,7,anchor,131072,0.06436614563251908,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,8,anchor,131072,0.062133620707875536,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,9,anchor,131072,0.06321071924122634,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,10,anchor,131072,0.062188601476378835,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,11,anchor,131072,0.06263148239488459,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,12,anchor,131072,0.0626451775017074,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,13,anchor,131072,0.06349445208042681,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,14,anchor,131072,0.06489890532501619,actual_quantized_forward
