model,method,site,layer,k,anchor_error,selected_numerical_rank,null_completion_directions,permutation_identical_to_A,factor_sha256
llama32_3b,B_top1_no_bos,down,8,64,2.384185791015625e-07,128,0,True,5176420a9af5066247806bdd3c63fe21e022b218d54a7f3f8f0f636b8ac27d44
llama32_3b,C_top1pct,down,8,64,2.384185791015625e-07,-1,0,True,5211df3a481593968aed8b7e91572bf4759030daa5d6acb4d21f8ad14165a026
llama32_3b,C_top1pct_no_bos,down,8,64,3.5762786865234375e-07,-1,0,True,b90640e8daa115e03eb1e47c850cb27e7d67eb08a182a83902ce68c75733d50e
llama32_3b,B_top1,down,9,64,3.5762786865234375e-07,128,0,True,baba12154fa00b79a2483417f45bbb97221ca10551ddd0033809a0a828844e50
llama32_3b,B_top1_no_bos,down,9,64,3.5762786865234375e-07,128,0,True,ed6eab8a70214a6048bb5bb079108dfb3596ee701b267b71cc6833aaa2b00858
llama32_3b,C_top1pct,down,9,64,3.5762786865234375e-07,-1,0,True,821ee4932e4413b6512167dfbfe7c73f86ea2e150cecc5bedf5691dda95f6e13
llama32_3b,C_top1pct_no_bos,down,9,64,3.5762786865234375e-07,-1,0,True,77e2ace15e058e96a8754b5911f457c2d31e4ea0f51e5e3249782b07877fcd0e
llama32_3b,B_top1,down,10,64,3.5762786865234375e-07,128,0,True,854c103436b12f7560bbb173daa262a8caa6bb571c66dec7ce6e992b23b3c080
llama32_3b,B_top1_no_bos,down,10,64,3.5762786865234375e-07,128,0,True,8fa1cf2d4c58bf30d0897029b718c12d50dc1020bd69e466e468e273457b7a87
llama32_3b,C_top1pct,down,10,64,2.384185791015625e-07,-1,0,True,30901099e82606f8d86566b9c222c491f5c252b9921602b90b718ab2e6be8f32
llama32_3b,C_top1pct_no_bos,down,10,64,2.384185791015625e-07,-1,0,True,aef0a00f841fbcb62ffab5fc0694f6c53aaf0eed12626736eaaacf4937ecbf4f
llama32_3b,B_top1,down,11,64,2.384185791015625e-07,128,0,True,cf180b23f76c798a8e1040b09406f44295714da374904600fbe4fd2af1336125
llama32_3b,B_top1_no_bos,down,11,64,2.384185791015625e-07,128,0,True,e343cb61fa996f2325ece1dad22600678bcd6e46b4e48c87118425dfe6eac39f
llama32_3b,C_top1pct,down,11,64,2.980232238769531e-07,-1,0,True,dab4c182eac59af45bbc4b70ff545c405667c066b6fea790a250fca974f4e3e0
llama32_3b,C_top1pct_no_bos,down,11,64,2.980232238769531e-07,-1,0,True,8df41fe815c42a2cf573ea9ef95e03d4280fd641c6726971d395ef92628982ea
llama32_3b,B_top1,down,12,64,3.5762786865234375e-07,55,9,True,9404898a78b54e6a307f8e6038e5411c88423b568e1c11a444c80b99b2d13e6a
llama32_3b,B_top1_no_bos,down,12,64,2.980232238769531e-07,128,0,True,fde0d7612777c286a11e2eb3ecb7f10688e358c367452a53dfc6c85d2712dbb9
llama32_3b,C_top1pct,down,12,64,5.960464477539062e-07,-1,0,True,379275dbd2b53634a07d13a645733e2d782554a395888acb91d611d46e65f0b0
llama32_3b,C_top1pct_no_bos,down,12,64,2.384185791015625e-07,-1,0,True,e2980abbb0f59b7c41c469bd6d97676a18d463e90da3e6e474fb88a0639e814d
llama32_3b,B_top1,down,13,64,4.172325134277344e-07,1,63,True,747adddf756f5dffc8cf9603ea481696b4f2418ef4c5a770022d19ee3967eb8c
llama32_3b,B_top1_no_bos,down,13,64,3.5762786865234375e-07,128,0,True,f2aaec06f84d99c694a759a4f79b48af62e1c6c2ca67e8b12c0a175525f4b245
llama32_3b,C_top1pct,down,13,64,3.5762786865234375e-07,-1,0,True,e44378870ff8f2603a902905804bdb2ddd82390335c16615793f82989f2bc2d6
llama32_3b,C_top1pct_no_bos,down,13,64,2.980232238769531e-07,-1,0,True,91fdeefa1d1d93a0b8b34e9eb54db62376ef914f8699e56dda39dafe8eb77251
llama32_3b,B_top1,down,14,64,3.5762786865234375e-07,128,0,True,78aef6a433d3250da863f6e278a3e4ff46bbbb5b79f485703c3059dd383a0b9d
llama32_3b,B_top1_no_bos,down,14,64,3.5762786865234375e-07,128,0,True,185451aaa916a0a197fa1b3706e3bab87e8f36e33a31ed9f79fd8808f56b11ea
llama32_3b,C_top1pct,down,14,64,3.5762786865234375e-07,-1,0,True,d064efe395302227e52adbf5a324fefc6c5b62bd64eef523a144b6181254e499
llama32_3b,C_top1pct_no_bos,down,14,64,3.5762786865234375e-07,-1,0,True,2f6c52048abfbe067f7cb93fcb7ff63afe18464d7a4d46a259507198fac65e61
llama32_3b,B_top1,down,15,64,3.5762786865234375e-07,128,0,True,c33d97e787644178b152719635416f51df4140221f18045a97009c9e757df2fe
llama32_3b,B_top1_no_bos,down,15,64,3.5762786865234375e-07,128,0,True,6f3371e05ae3e90fb210804dfc7f9f3cbfd285971f7806d1e520b70e509852e3
llama32_3b,C_top1pct,down,15,64,3.5762786865234375e-07,-1,0,True,958c9d9915578fa2df82e9439335bd72f7346145af496a2f61198b0e91a24c82
llama32_3b,C_top1pct_no_bos,down,15,64,4.76837158203125e-07,-1,0,True,be6392de9060c4d2c09acf7bd0add357e793535fdd6c11ea4628b0e3d96c73d6
llama32_3b,B_top1,down,16,64,3.5762786865234375e-07,128,0,True,a1c59b7fca700ad42001935d7c239491d394a945945c73c56df243d33a6b02c4
llama32_3b,B_top1_no_bos,down,16,64,3.5762786865234375e-07,128,0,True,d8680f537c3a42a0705f3a39c48303ea81331623a7dd20c75ed4a1353f06211e
llama32_3b,C_top1pct,down,16,64,4.76837158203125e-07,-1,0,True,f3873944ebc65285fad48867101fd0fe87aecedb7dc62d738cc1bc54b35a3dbf
llama32_3b,C_top1pct_no_bos,down,16,64,3.5762786865234375e-07,-1,0,True,1c152540fa0bae6f0697078a13be52d156f47672b19f1f4a0e623bfd399a6dd3
llama32_3b,B_top1,down,17,64,3.5762786865234375e-07,128,0,True,7b1d6ddede48471d53bc8fd5d4a1f8bd00cef9772ed6e9eb88d7872868c3d6c0
llama32_3b,B_top1_no_bos,down,17,64,3.5762786865234375e-07,128,0,True,8de2864e22aa9fe750637e976fd3eb5ed8aac19d0afb337cd92d294c731108c2
llama32_3b,C_top1pct,down,17,64,4.172325134277344e-07,-1,0,True,c0efeab72ff4759e5dc8b975d04364ad0da18b1a6f03b78657474fd8bc7dba8d
llama32_3b,C_top1pct_no_bos,down,17,64,4.172325134277344e-07,-1,0,True,02c93e1332c35bda93a46edc60e38e4ce187b3ba04201ea593c500379c4c3b44
llama32_3b,B_top1,down,18,64,2.384185791015625e-07,128,0,True,7c5236944f82bb75649ca0a4009643fd06671fe9457828a6fa53c909d70d888a
llama32_3b,B_top1_no_bos,down,18,64,2.384185791015625e-07,128,0,True,688e20732e50bd51a2383eddbc4010ac686d4565d16b334660c1eb9d8bd5a21d
llama32_3b,C_top1pct,down,18,64,3.5762786865234375e-07,-1,0,True,855d4aaedf99c454a9c7092a16f6bd3b2ed78e7a3b0d20ffe6152f3926a2ac3c
llama32_3b,C_top1pct_no_bos,down,18,64,2.980232238769531e-07,-1,0,True,ca3f96b70a1d8497fc1615b5882b0265181e0ffb05691f61be8758c33ea7c57f
llama32_3b,B_top1,down,19,64,3.5762786865234375e-07,128,0,True,c9a75d63e8f38e7c6078c6a30d1de6b00cd0a50dcdf35e98ed7ddda389e9a647
llama32_3b,B_top1_no_bos,down,19,64,3.5762786865234375e-07,128,0,True,fd47957114f322f473ec37b50b784699720faca03c77cf1a5a1e3b871a57adaf
llama32_3b,C_top1pct,down,19,64,4.172325134277344e-07,-1,0,True,c060ca7e5d332c08a98fa1cab0645ffb890a98d5a0fb6a337af18496b6d7d595
llama32_3b,C_top1pct_no_bos,down,19,64,4.76837158203125e-07,-1,0,True,3d4deb186df8dd2b18be11cac70b2d12630a423ffe7830f1f54c264da86552fc
llama32_3b,B_top1,down,20,64,3.5762786865234375e-07,128,0,True,88843f7170ad25737cf369fbd0a5b008705a02f60e0c0740fe4b174729fc9503
llama32_3b,B_top1_no_bos,down,20,64,3.5762786865234375e-07,128,0,True,90167b705533084673093142229d78d2c3ebc638e9f944fbc29677cfd1ffc6c1
llama32_3b,C_top1pct,down,20,64,4.172325134277344e-07,-1,0,True,73e79941533958541530229ad40877bab509bdd0ada0df81adb51dc6e269cc92
llama32_3b,C_top1pct_no_bos,down,20,64,4.172325134277344e-07,-1,0,True,e2f6efb49517ae3cfd1c8f1beb252b319eb2c11cc8f136c3ca5f41fcbff8d483
llama32_3b,B_top1,down,21,64,5.960464477539062e-07,128,0,True,e56bfdd1b5f61af847540b4ba0bf0bcece6b4ac227b6bd20f102e2f20dadcd34
llama32_3b,B_top1_no_bos,down,21,64,5.960464477539062e-07,128,0,True,e0855779b848176fdce03e6ead7411c72726b5aa4b1cb958de5d0539d4b7fbb3
llama32_3b,C_top1pct,down,21,64,2.384185791015625e-07,-1,0,True,ac48047a792bc5970bd4565c2e1e5759771163531095a40d1d87fe89437081b3
llama32_3b,C_top1pct_no_bos,down,21,64,3.5762786865234375e-07,-1,0,True,c63f0b190fdd3b4b3067526ba8dd54acf0602848c5e641103de3c2a37cd707d4
llama32_3b,B_top1,down,22,64,3.5762786865234375e-07,128,0,True,f0fdcb85aa322f1911d0d6207b1cecfc2b6a438fbb791400f05cd31462e9cc66
llama32_3b,B_top1_no_bos,down,22,64,3.5762786865234375e-07,128,0,True,5406851fabd498fed0c5d115995f576682a1258fc9e503e2b8e70e26c2bcc17f
llama32_3b,C_top1pct,down,22,64,4.76837158203125e-07,-1,0,True,859624f091afe831287c33ac053b113498e4901ed09839f74cd457fb3556fc23
llama32_3b,C_top1pct_no_bos,down,22,64,4.76837158203125e-07,-1,0,True,7ca10c461e518e40c426d690ccc5c63c6e2dbd67a0e4d4b7d0bd317f3df92738
llama32_3b,B_top1,down,23,64,4.76837158203125e-07,128,0,True,e2da70cc453fb52db0f6ac4ffc78805c24d40eaa277ebba910619d85a95c3265
