model,row,site,max_abs_coefficient,max_dequant_error_from_fp16_c,mean_error_over_step,max_error_over_step,code_flip_fraction,groups_with_a_flip,exceeds_tenth_of_step
llama32_3b,hadamard_g256_m2,qkv,0.27268558740615845,0.048766687512397766,0.007813668809831142,0.999991774559021,3.560384357115254e-05,0.0078125,True
llama32_3b,hadamard_g256_m2,down,0.05488531291484833,0.0076560210436582565,0.006364514585584402,0.9999900460243225,3.24249267578125e-05,0.00634765625,True
llama32_3b,hadamard_g256_m3,qkv,0.27268558740615845,0.05148209631443024,0.006531123071908951,0.9999794363975525,4.57763671875e-05,0.006510416977107525,True
llama32_3b,hadamard_g256_m3,down,0.05488530918955803,0.006770756095647812,0.009289054200053215,0.9999848008155823,5.340576171875e-05,0.00927734375,True
llama32_3b,nar_g256_m2,qkv,3.7526004314422607,0.12464365363121033,0.17941449582576752,0.9999526143074036,0.0012919108849018812,0.1796875,True
llama32_3b,nar_g256_m2,down,13.39227294921875,0.013964667916297913,0.08683722466230392,0.9999966621398926,0.0006866455078125,0.0869140625,True
llama32_3b,nar_g256_m3,qkv,3.344273090362549,0.11274969577789307,0.29641222953796387,0.9999170303344727,0.002044677734375,0.296875,True
llama32_3b,nar_g256_m3,down,13.392274856567383,0.011878514662384987,0.10652989149093628,0.9999781847000122,0.000774383544921875,0.1064453125,True
llama32_3b,nar_g128_m2,qkv,3.7526001930236816,0.09991523623466492,0.13571429252624512,0.9999470114707947,0.0013427734375,0.1354166716337204,True
llama32_3b,nar_g128_m2,down,13.392273902893066,0.0068845683708786964,0.0597805380821228,0.9999823570251465,0.000720977783203125,0.0595703125,True
