model,site,layer,n,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_k0,range_reduction_vs_hadamard,range_reduction_vs_identity,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,normalized_range_vs_k0,evaluation_tokens,anchor_mapping_max_abs_error
llama32_3b,q_input,3,3072,128,10,24,1.4770082235336304,0.006940520186527282,0.15022839847277575,0.17390213207852237,0.41968164191961715,-0.003026641672751164,0.2919105228889035,0.8414805268757539,0.8497716015272242,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,11,24,1.469752550125122,0.006882957756646891,0.15440282696563526,0.1779602654305245,0.42253240497706274,-0.0030842041026315544,0.2988879812851521,0.8373243211055367,0.8455971730343648,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,12,24,1.4616539478302002,0.0068148687034166955,0.1590622202801987,0.18248985299976164,0.4257143558366803,-0.00315229315586175,0.3056898161842054,0.833252773062169,0.8409377797198013,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,13,24,1.4544639587402344,0.0067597054910081035,0.1631988584157171,0.18651124879361128,0.42853931144411933,-0.003207456368270342,0.3119001657888634,0.829517832364764,0.8368011415842829,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,14,24,1.4472787380218506,0.0067047055523783115,0.16733275314961368,0.1905299776140923,0.4313623935524653,-0.003262456306900134,0.3177403746183036,0.8259900879439755,0.8326672468503863,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,15,24,1.4420950412750244,0.006661294164572339,0.1703151050527354,0.19342924436310174,0.4333990744165081,-0.0033058676947061065,0.3234364959974889,0.8225348041283792,0.8296848949472646,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,16,24,1.4350394010543823,0.006598584075277029,0.17437444784755796,0.19737549818229097,0.4361712441870007,-0.003368577784001417,0.3287906983599221,0.819273642710467,0.825625552152442,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,17,24,1.428900122642517,0.006552916762972272,0.1779065774357,0.20080922639436868,0.4385833742692885,-0.0034142450963061738,0.33389550153832054,0.8161522520104196,0.8220934225643001,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,18,24,1.4239438772201538,0.006513201607642349,0.18075806908145908,0.20358127851369573,0.44053068922659333,-0.0034539602516360964,0.3385579313469167,0.8132908880917598,0.8192419309185409,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,19,24,1.4193851947784424,0.006474996191315153,0.18338082961699576,0.20613097172841544,0.44232180119701603,-0.0034921656679632925,0.3431548882538447,0.810459815010069,0.8166191703830042,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,20,24,1.4146182537078857,0.006432974574364437,0.1861234082183671,0.2087971450050089,0.44419473824032724,-0.0035341872849140085,0.34753010863064543,0.80775608408068,0.813876591781633,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,21,24,1.4094092845916748,0.006392887622110126,0.18912030015008463,0.21171054671287198,0.4462413486495631,-0.0035742742371683194,0.35166596388379606,0.8051919250192491,0.8108796998499154,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,22,24,1.4049344062805176,0.006357089198196579,0.19169484540211718,0.21421336787063847,0.44799953387342567,-0.003610072661081867,0.3556872394160555,0.802690949608842,0.8083051545978828,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,23,24,1.4008417129516602,0.006321397031821613,0.1940495070141578,0.21650243111291131,0.4496075581449811,-0.0036457648274568323,0.35967727224046425,0.8002016794280901,0.8059504929858422,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,24,24,1.395761251449585,0.006280662815658492,0.1969724642721663,0.2193439578884905,0.4516036777536596,-0.0036864990436199533,0.3632329162769562,0.7979768691654188,0.8030275357278337,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,0,24,1.6669771671295166,0.00913703278317579,0.0,0.04499139485330274,0.39282040887784725,-0.0007908503376651433,0.0,1.0,1.0,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,1,24,1.51175057888031,0.007520801108717551,0.09311860492756596,0.13392046385838388,0.44936012534363207,-0.002407082012123382,0.20119240787124398,0.8937603661657615,0.906881395072434,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,2,24,1.4830329418182373,0.007262132942842783,0.1103459777004778,0.1503727531005846,0.4598202344999976,-0.00266575017799815,0.23164978194555055,0.8765558841593898,0.8896540222995222,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,3,24,1.4654581546783447,0.007087566792637119,0.12088888583769951,0.16044132109490247,0.46622167315199425,-0.002840316328203814,0.2533279423050117,0.8641018792335706,0.8791111141623005,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,4,24,1.4515538215637207,0.006957890636015224,0.12922993176730085,0.16840709173359558,0.4712861860090607,-0.0029699924848257085,0.270165613073203,0.8543034513138741,0.8707700682326992,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,5,24,1.4371185302734375,0.006824027203643252,0.13788949326275932,0.17667704747855542,0.4765440950171703,-0.0031038559171976806,0.2844640875835225,0.8458935585618781,0.8621105067372407,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,6,24,1.4266380071640015,0.006728985908575481,0.1441766358320143,0.18268132273397802,0.4803615196716972,-0.0031988972122654518,0.2964457650387862,0.838781398793043,0.8558233641679857,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,7,24,1.41733717918396,0.00664835333853494,0.14975609316558847,0.18800975249959023,0.4837492522941803,-0.003279529782305993,0.3060972961679966,0.8330082255488258,0.8502439068344115,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,8,24,1.408577799797058,0.00656705678031004,0.15501074185521943,0.1930279872152106,0.486939767737041,-0.0033608263405308933,0.315369870103612,0.8274237909900753,0.8449892581447805,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,9,24,1.399001955986023,0.006479354320209595,0.16075517795180044,0.1985139731191608,0.49042767209739035,-0.0034485288006313383,0.3241737687746307,0.822086510791516,0.8392448220481995,8192,2.384185791015625e-07
llama32_3b,q_input,4,3072,128,10,24,1.3909385204315186,0.0064034820488203,0.1655923381202204,0.20313350270447467,0.49336469703064395,-0.0035244010720206333,0.3326306393350063,0.8169267780315405,0.8344076618797797,8192,2.384185791015625e-07
