model,method,new_ppl,reference,reference_ppl,reference_seed_std,delta,delta_over_reference_std,within_one_reference_seed_std,source
llama32_3b,hadamard,7.766634196013815,E27 both hadamard,7.771129325673322,0.006143732078868792,-0.004495129659507491,-0.7316610818639655,True,results/llama32_3b/e27_summary.csv
llama32_3b,hadamard,7.766634196013815,E20 hadamard_g128_m1,7.770807865215864,0.0033954969133235926,-0.004173669202049091,-1.2291777340960104,False,results/llama32_3b/e20_summary.csv
llama32_3b,pq,7.705228861648433,E27 both A_full,7.705281475366341,0.010095799075068832,-5.26137179086561e-05,-0.0052114466143233324,True,results/llama32_3b/e27_summary.csv
llama32_3b,pq,7.705228861648433,E20 nar_g128_m1,7.71315744772667,0.004232373660426916,-0.00792858607823721,-1.8733190200974505,False,results/llama32_3b/e20_summary.csv
