experiment,model,row,seed,eval_set,chunk,nll,tokens,token_sha256
29,llama32_3b,Q1_hadamard,0,wt2,35,1.4805874824523926,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,36,1.451340675354004,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,37,1.4955750703811646,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,38,1.4813306331634521,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,39,1.6750191450119019,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,40,2.2811903953552246,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,41,2.6955177783966064,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,42,2.696370840072632,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,43,2.3202548027038574,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,44,2.314545154571533,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,45,2.296149492263794,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,46,2.3826963901519775,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,47,2.162240982055664,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,0,wt2,48,2.0336220264434814,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
