model,site,layer,method,seed,n,k,group_size,evaluation_tokens,evaluation_rule,f,subspace_projection_fraction,selected_numerical_rank,top8_angles_include_null_completion,sqrt_one_minus_f,mean_group_range,relative_quantization_error_nmse,paired_hadamard_range,range_over_paired_hadamard,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,angle_1_degrees_vs_A_top8,angle_2_degrees_vs_A_top8,angle_3_degrees_vs_A_top8,angle_4_degrees_vs_A_top8,angle_5_degrees_vs_A_top8,angle_6_degrees_vs_A_top8,angle_7_degrees_vs_A_top8,angle_8_degrees_vs_A_top8,angles_mean_degrees_vs_A_top8,factor_file
llama32_3b,down,0,A_full,20260902,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.752500647955987,0.7525007357219666,64,False,0.49749306733261417,0.04754886891481913,0.001875002469956348,0.07449514886434727,0.6382814134837659,0.3617185865162341,-0.0026963252605613696,0.0,0.0,0.0,0.0,1.478779333471098e-06,3.4150945850063763e-06,3.91248236030638e-06,4.436338000413295e-06,1.6553367848996437e-06,activations/llama32_3b/activation_factors/down_layer_00.pt
llama32_3b,down,0,A_full,20260903,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.7525006524564003,0.7525007357219666,64,False,0.4974930628095227,0.04755186910285225,0.001875872831046582,0.0744616121353161,0.6386091804786357,0.3613908195213643,-0.0026840933928557135,0.0,0.0,0.0,0.0,1.478779333471098e-06,3.4150945850063763e-06,3.91248236030638e-06,4.436338000413295e-06,1.6553367848996437e-06,activations/llama32_3b/activation_factors/down_layer_00.pt
llama32_3b,down,0,A_full,20260904,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.7525006483940548,0.7525007357219666,64,False,0.49749306689233885,0.04755817542474361,0.0018758455160907048,0.07447003455815704,0.638621637641423,0.361378362358577,-0.0026903744567765304,0.0,0.0,0.0,0.0,1.478779333471098e-06,3.4150945850063763e-06,3.91248236030638e-06,4.436338000413295e-06,1.6553367848996437e-06,activations/llama32_3b/activation_factors/down_layer_00.pt
llama32_3b,down,0,B_top1,20260902,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.6485777847760107,0.6485776378655362,1,True,0.5928087509677884,0.05576052744338434,0.0024323885106823503,0.07449514886434727,0.7485121956722587,0.2514878043277413,-0.002138939219835367,0.9641882245008422,87.23419035613831,87.9325235133573,88.38415504266987,88.72491644108287,89.17518016992106,89.57851291801856,89.7309787241971,77.71558067373574,activations/llama32_3b/e27/factors/B_top1/down_layer_00.pt
llama32_3b,down,0,B_top1,20260903,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.6485777847866491,0.6485776378655362,1,True,0.5928087509588155,0.05575278523721153,0.002432461826204332,0.0744616121353161,0.7487453419071054,0.2512546580928946,-0.0021275043976979637,0.9641882245008422,87.23419035613831,87.9325235133573,88.38415504266987,88.72491644108287,89.17518016992106,89.57851291801856,89.7309787241971,77.71558067373574,activations/llama32_3b/e27/factors/B_top1/down_layer_00.pt
llama32_3b,down,0,B_top1,20260904,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.6485777847833999,0.6485776378655362,1,True,0.5928087509615559,0.05574975062475251,0.0024321603749260655,0.07447003455815704,0.7486199107537004,0.2513800892462996,-0.00213405959794117,0.9641882245008422,87.23419035613831,87.9325235133573,88.38415504266987,88.72491644108287,89.17518016992106,89.57851291801856,89.7309787241971,77.71558067373574,activations/llama32_3b/e27/factors/B_top1/down_layer_00.pt
llama32_3b,down,0,B_top1_no_bos,20260902,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.029689704063803005,0.029689704672325328,128,False,0.9850432964779756,0.0569037955656011,0.002722177769214638,0.07449514886434727,0.763859075833524,0.23614092416647603,-0.0018491499613030797,38.618482888326,76.74261742776913,78.71738634188219,87.74031487019965,88.16795134969058,88.86734528424644,89.60195451083213,89.98862846011761,79.80558514163297,activations/llama32_3b/e27/factors/B_top1_no_bos/down_layer_00.pt
llama32_3b,down,0,B_top1_no_bos,20260903,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.02968970424074274,0.029689704672325328,128,False,0.9850432963881625,0.05687839284651375,0.0025825508829364174,0.0744616121353161,0.7638619580670766,0.23613804193292343,-0.001977415340965878,38.618482888326,76.74261742776913,78.71738634188219,87.74031487019965,88.16795134969058,88.86734528424644,89.60195451083213,89.98862846011761,79.80558514163297,activations/llama32_3b/e27/factors/B_top1_no_bos/down_layer_00.pt
llama32_3b,down,0,B_top1_no_bos,20260904,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.02968970421578065,0.029689704672325328,128,False,0.985043296400833,0.05688697515571839,0.0027174756596742887,0.07447003455815704,0.7638908118310695,0.23610918816893045,-0.0018487443131929467,38.618482888326,76.74261742776913,78.71738634188219,87.74031487019965,88.16795134969058,88.86734528424644,89.60195451083213,89.98862846011761,79.80558514163297,activations/llama32_3b/e27/factors/B_top1_no_bos/down_layer_00.pt
llama32_3b,down,0,C_top1pct,20260902,8192,64,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.6822773040428438,0.6822769596879135,-1,False,0.5636689595473181,0.05465900873670115,0.0022971122147892194,0.07449514886434727,0.733725746843369,0.266274253156631,-0.002274215515728498,0.9628082462898366,19.384966918545448,67.81599527256577,76.71702247945322,86.3118465330002,87.5416419365943,89.35098633122035,89.71526066846064,64.72506604826623,activations/llama32_3b/e27/factors/C_top1pct/down_layer_00.pt
