model,method,seeds,mean_ppl,ppl_delta_vs_bf16,paired_ppl_delta_vs_hadamard,paired_90ci_low_vs_hadamard,paired_90ci_high_vs_hadamard,paired_ppl_delta_vs_nar,paired_90ci_low_vs_nar,paired_90ci_high_vs_nar,effective_bits_qkv,effective_bits_down,metadata_formula,hadamard_to_bf16_gap_recovered
llama32_3b,bf16,1,7.6168244064194095,0.0,nan,nan,nan,nan,nan,nan,16.0,16.0,bf16 value; no quantization metadata,nan
llama32_3b,hadamard_g128_asym,3,7.771129325673322,0.15430491925391276,0.0,0.0,0.0,0.06584785030698133,0.03906534605905298,0.09263035455490967,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.0
llama32_3b,nar_b128_kmax,3,7.705281475366341,0.08845706894693173,-0.06584785030698133,-0.09263035455490967,-0.03906534605905298,0.0,0.0,0.0,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.42459762872762025
llama32_3b,smoothquant_hadamard_g128_asym,3,7.791037777476498,0.17421337105708812,0.019908451803175353,0.012167548351969537,0.02764935525438117,0.08575630211015668,0.06670208429429504,0.10481051992601832,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),-0.12988947406158605
llama32_3b,duquant_style_g128_asym,3,7.7541596921778195,0.13733528575841003,-0.01696963349550214,-0.03344484546939307,-0.0004944215216112144,0.04887821681147919,0.03634636855389632,0.06141006506906206,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.10844759251800028
llama32_3b,hadamard_token_symmetric,3,8.013953558809321,0.39712915238991187,0.2428242331359994,0.23648111591408982,0.249167350357909,0.30867208344298075,0.27633714652815544,0.34100702035780606,4.005208333333333,4.001953125,4 + 16/n (one fp16 scale per token),-1.574862361220054
llama32_3b,hadamard_token_asymmetric,3,7.915623532840428,0.29879912642101836,0.1444942071671047,0.1311278335078597,0.1578605808263497,0.21034205747408605,0.18571417009677274,0.23496994485139935,4.010416666666667,4.00390625,4 + 32/n (one fp16 scale + fp16 zero-point per token),-0.9375907242378071
llama32_3b,nar_b64_kmax,3,7.68076606533675,0.06394165891734094,-0.09036326033657271,-0.10127774605223808,-0.07944877462090735,-0.024515410029591383,-0.041227523511846366,-0.0078032965473364,4.5,4.5,4 + 32/64 (one fp16 scale + fp16 zero-point per group),0.5853042276367288
llama32_3b,nar_b256_kmax,3,7.724637799404467,0.1078133929850571,-0.046491526268855964,-0.050932213536489766,-0.04205083900122216,0.019356324038125372,-0.003930780635318723,0.04264342871156947,4.125,4.125,4 + 32/256 (one fp16 scale + fp16 zero-point per group),0.30119110012066597
llama32_3b,nar_b128_k8,3,7.7115904478206305,0.09476604140122102,-0.05953887785269115,-0.07244602973925461,-0.04663172596612769,0.006308972454290185,-0.007643643848400928,0.020261588756981298,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.3850372063667962
llama32_3b,nar_b128_k16,3,7.712024410109571,0.09520000369016124,-0.05910491556375271,-0.06363652640283075,-0.054573304724674664,0.0067429347432286235,-0.015613518608419124,0.02909938809487637,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.3829843814127769
llama32_3b,nar_b128_k32,3,7.7065086318728575,0.08968422545344801,-0.06462069380046416,-0.07569401763967387,-0.053547369961254455,0.0012271565065171686,-0.014525570334557487,0.016979883347591825,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.41813411658094096
