model,method,layer,direction,s_i,top_magnitude_channel
llama32_3b,hadamard,0,v1,0.0035496000200510025,2433
llama32_3b,hadamard,0,v2,0.0033703064545989037,2433
llama32_3b,hadamard,0,v3,0.0005113512161187828,2433
llama32_3b,hadamard,0,v4,0.0023520388640463352,2433
llama32_3b,hadamard,0,v5,0.0012273259926587343,2433
llama32_3b,hadamard,0,v6,0.0019063390791416168,2433
llama32_3b,hadamard,0,v7,0.0014194735558703542,2433
llama32_3b,hadamard,0,v8,0.002147856866940856,2433
llama32_3b,hadamard,0,top_magnitude_channel,0.0,2433
llama32_3b,smoothquant_hadamard,0,v1,0.0020222815219312906,2433
llama32_3b,smoothquant_hadamard,0,v2,0.001514022471383214,2433
llama32_3b,smoothquant_hadamard,0,v3,0.0003592670545913279,2433
llama32_3b,smoothquant_hadamard,0,v4,0.0015099241863936186,2433
llama32_3b,smoothquant_hadamard,0,v5,0.0009162639616988599,2433
llama32_3b,smoothquant_hadamard,0,v6,0.0013068357948213816,2433
llama32_3b,smoothquant_hadamard,0,v7,0.0008361414074897766,2433
llama32_3b,smoothquant_hadamard,0,v8,0.0013398396549746394,2433
llama32_3b,smoothquant_hadamard,0,top_magnitude_channel,0.0,2433
llama32_3b,duquant_style,0,v1,0.5705732107162476,2433
llama32_3b,duquant_style,0,v2,0.3886621594429016,2433
llama32_3b,duquant_style,0,v3,0.3341943621635437,2433
llama32_3b,duquant_style,0,v4,0.3789542019367218,2433
llama32_3b,duquant_style,0,v5,0.33054646849632263,2433
llama32_3b,duquant_style,0,v6,0.369711697101593,2433
llama32_3b,duquant_style,0,v7,0.46486350893974304,2433
llama32_3b,duquant_style,0,v8,0.4240604341030121,2433
llama32_3b,duquant_style,0,top_magnitude_channel,0.9999999403953552,2433
llama32_3b,nar,0,v1,1.000000238418579,2433
llama32_3b,nar,0,v2,1.0000003576278687,2433
llama32_3b,nar,0,v3,1.0000005960464478,2433
llama32_3b,nar,0,v4,0.9999998211860657,2433
llama32_3b,nar,0,v5,1.0000001192092896,2433
llama32_3b,nar,0,v6,0.9999999403953552,2433
llama32_3b,nar,0,v7,1.0000003576278687,2433
llama32_3b,nar,0,v8,1.0,2433
llama32_3b,nar,0,top_magnitude_channel,0.21922917664051056,2433
llama32_3b,hadamard,1,v1,0.008889704011380672,1428
llama32_3b,hadamard,1,v2,0.008615359663963318,1428
llama32_3b,hadamard,1,v3,0.002343050902709365,1428
llama32_3b,hadamard,1,v4,0.005315655842423439,1428
llama32_3b,hadamard,1,v5,0.0019295267993584275,1428
llama32_3b,hadamard,1,v6,0.0025556657928973436,1428
llama32_3b,hadamard,1,v7,0.006711292080581188,1428
llama32_3b,hadamard,1,v8,0.01101626455783844,1428
llama32_3b,hadamard,1,top_magnitude_channel,0.0,1428
llama32_3b,smoothquant_hadamard,1,v1,0.0007431808044202626,1428
llama32_3b,smoothquant_hadamard,1,v2,0.0009980022441595793,1428
llama32_3b,smoothquant_hadamard,1,v3,0.000399318290874362,1428
llama32_3b,smoothquant_hadamard,1,v4,0.0005355281173251569,1428
llama32_3b,smoothquant_hadamard,1,v5,0.00038584601134061813,1428
llama32_3b,smoothquant_hadamard,1,v6,0.00043944563367404044,1428
llama32_3b,smoothquant_hadamard,1,v7,0.0012356669176369905,1428
llama32_3b,smoothquant_hadamard,1,v8,0.0009561795741319656,1428
llama32_3b,smoothquant_hadamard,1,top_magnitude_channel,0.0,1428
llama32_3b,duquant_style,1,v1,0.25765490531921387,1428
llama32_3b,duquant_style,1,v2,0.1526399552822113,1428
llama32_3b,duquant_style,1,v3,0.20120246708393097,1428
llama32_3b,duquant_style,1,v4,0.3081301748752594,1428
llama32_3b,duquant_style,1,v5,0.27426090836524963,1428
