tokens,model,k,nar_fused_ms,hadamard_fused_ms,down_matmul_ms,nar_over_hadamard,nar_over_matmul,hadamard_over_matmul,kernel_a_ms,kernel_b_nar_ms,kernel_b_hadamard_ms,kernel_a_backend,kernel_a_config,kernel_a_splits,kernel_b_nar_tile,kernel_b_hadamard_tile,transform_flop_over_matmul,variant,warmup,repetitions
1,llama32_3b,8,0.01685823756537732,0.006251335841675746,0.06682764979895581,2.696741623284515,0.25226440876035017,0.09354415216579147,0.010382098701682071,0.010035845834693503,0.006251335841675746,v2_triton_fp32,-,32,T16_w8_s3_dot,T4_w8_s2,0.00634765625,v3-two-launch-tensorcore,25,100
32,llama32_3b,8,0.017285679452803755,0.008157625268273926,0.06328706490883837,2.1189597320717866,0.2731313180300406,0.12889877702536132,0.0118063098118252,0.012206131543107603,0.008157625268273926,v2_triton_fp32,-,32,T16_w8_s3_dot,T1_w4_s1,0.00634765625,v3-two-launch-tensorcore,25,100
2048,llama32_3b,8,0.11382298494772937,0.06323623489144051,0.38317696766538933,1.7999646111621386,0.2970506960301583,0.1650314090555197,0.041761592950716436,0.09770936168730258,0.06323623489144051,triton_dot_3term,T64_D128_S4_w8_s3,4,T8_w4_s2,T16_w8_s3,0.00634765625,v3-two-launch-tensorcore,25,100
1,llama32_3b,32,0.02301897494362843,0.006189109147767901,0.066351719445696,3.7192711251392634,0.34692356333685925,0.0932772986061534,0.015021824978597227,0.012145882409052266,0.006189109147767901,triton_dot_3term,T16_D128_S4_w4_s4,4,T16_w8_s3_dot,T4_w8_s2,0.02197265625,v3-two-launch-tensorcore,25,100
32,llama32_3b,32,0.02569097689490101,0.008149581377382835,0.061887308496571515,3.1524290273608435,0.4151251285443163,0.13168421079152784,0.015700975757307292,0.014262194639293973,0.008149581377382835,triton_dot_3term,T16_D128_S4_w4_s4,4,T16_w8_s3_dot,T1_w4_s1,0.02197265625,v3-two-launch-tensorcore,25,100
2048,llama32_3b,32,0.18151826940074162,0.06323626580578025,0.4023922609758901,2.8704773611750736,0.4510978142584545,0.1571508001978426,0.1004729237800567,0.12015774129363506,0.06323626580578025,cublas_fp32out_3term,-,1,T64_w8_s2,T8_w4_s2,0.02197265625,v3-two-launch-tensorcore,25,100
