model,site,method,seeds,mean_ppl,seed_ppl_std,paired_ppl_delta_vs_A,paired_90ci_low_vs_A,paired_90ci_high_vs_A,seed_ppls,seed_values,eval_sequences,tokens_scored_per_sequence
llama32_3b,qkv_only,A_full,3,7.641661217538761,0.004704603587095196,0.0,0.0,0.0,7.64547670959;7.63640461944;7.64310232359,20260902;20260903;20260904,64,2047
llama32_3b,qkv_only,B_top1,3,7.643816488302208,0.0050813657400315525,0.002155270763446756,-0.00688924636520221,0.011199787892095723,7.64164274922;7.64018356743;7.64962314826,20260902;20260903;20260904,64,2047
llama32_3b,qkv_only,B_top1_no_bos,3,7.645945582303536,0.005844001038210692,0.004284364764774414,-1.2522127154163988e-05,0.008581251656702992,7.64819844185;7.63931044887;7.65032785619,20260902;20260903;20260904,64,2047
llama32_3b,qkv_only,C_top1pct,3,7.643386786438562,0.005569681285324327,0.001725568899800282,-0.008577773543605019,0.012028911343205582,7.64911373741;7.64305764994;7.63798897197,20260902;20260903;20260904,64,2047
llama32_3b,qkv_only,C_top1pct_no_bos,3,7.64345581059674,0.005296020959093455,0.0017945930579784293,-0.0004029403981413496,0.003992126514098208,7.64864078921;7.63805532635;7.64367131623,20260902;20260903;20260904,64,2047
llama32_3b,qkv_only,hadamard,3,7.658601499215906,0.0035325199271351725,0.016940281677144675,0.010560528861213846,0.023320034493075504,7.66265016351;7.65700720793;7.65614712621,20260902;20260903;20260904,64,2047
llama32_3b,both,A_full,3,7.705281475366341,0.010095799075068832,0.0,0.0,0.0,7.71519123369;7.69500939051;7.7056438019,20260902;20260903;20260904,64,2047
llama32_3b,both,B_top1,3,7.722708495509932,0.004763852411174936,0.017427020143591616,-0.0015558410739918878,0.03640988136117512,7.71970659547;7.7202174865;7.72820140456,20260902;20260903;20260904,64,2047
llama32_3b,both,B_top1_no_bos,3,7.8002528836258245,0.009942997315032155,0.09497140825948354,0.09182187206724429,0.09812094445172279,7.80872523362;7.78930644337;7.80272697388,20260902;20260903;20260904,64,2047
llama32_3b,both,C_top1pct,3,7.711228863384451,0.011478932772451577,0.005947388018109123,-0.01174234412619387,0.023637120162412116,7.72314253506;7.71030335123;7.70024070386,20260902;20260903;20260904,64,2047
llama32_3b,both,C_top1pct_no_bos,3,7.806032590495017,0.007339618250864758,0.10075111512867618,0.07227700134201076,0.1292252289153416,7.79756672811;7.81060739389;7.80992364949,20260902;20260903;20260904,64,2047
llama32_3b,both,hadamard,3,7.771129325673322,0.006143732078868792,0.06584785030698133,0.03906534605905298,0.09263035455490967,7.76721051596;7.7782100235;7.76796743756,20260902;20260903;20260904,64,2047
llama32_3b,down_only,A_full,3,7.6753882564180005,0.0014920209419900916,0.0,0.0,0.0,7.67370201748;7.67653727648;7.67592547529,20260902;20260903;20260904,64,2047
llama32_3b,down_only,B_top1,3,7.68764924954214,0.004010146405947307,0.012260993124138272,0.003008867560735219,0.021513118687541327,7.69197066276;7.68404794755;7.68692913832,20260902;20260903;20260904,64,2047
llama32_3b,down_only,B_top1_no_bos,3,7.765753019006518,0.008835847234876956,0.09036476258851689,0.07365833571065666,0.10707118946637711,7.77099888681;7.75555163872;7.77070853149,20260902;20260903;20260904,64,2047
llama32_3b,down_only,C_top1pct,3,7.68838105932942,0.002362651846605673,0.012992802911419096,0.006934423957605646,0.019051181865232546,7.68992924885;7.68566159683;7.68955233231,20260902;20260903;20260904,64,2047
llama32_3b,down_only,C_top1pct_no_bos,3,7.772216642064085,0.0069907273596682,0.09682838564608343,0.08343487439559936,0.11022189689656749,7.77541685334;7.76419865088;7.77703442197,20260902;20260903;20260904,64,2047
llama32_3b,down_only,hadamard,3,7.712573300741301,0.0028278316787620564,0.03718504432329972,0.03314175813568413,0.04122833051091531,7.71031231285;7.71166355393;7.71574403544,20260902;20260903;20260904,64,2047
