model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama32_3b,nar_b128_k64,20260902,0,1.8362101316452026,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,1,2.4332547187805176,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,2,2.502986192703247,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,3,2.0241148471832275,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,4,1.930704951286316,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,5,1.5590901374816895,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,6,1.6731125116348267,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,7,1.9271788597106934,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,8,2.2543680667877197,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,9,1.976478099822998,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,10,1.9046945571899414,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,11,2.250333547592163,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,12,2.1247918605804443,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,13,2.2744288444519043,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,14,2.1983251571655273,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
llama32_3b,nar_b128_k64,20260902,15,2.4022305011749268,2047,supplementary E11 k64 measurement for Figure 4,0.0029919850639998913
