model,source_row,seed,chunk,fp64_mean_of_token_losses,frozen_fp32_chunk_nll,difference,interpretation
llama32_3b,Q1_pq,0,36,1.447479463261463,1.4474793672561646,9.600529837783256e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,37,1.4918767625353795,1.4918767213821411,4.115323837261542e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,38,1.4704546253350164,1.4704545736312866,5.170372974205861e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,39,1.6712280962998427,1.671228051185608,4.511423479236498e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,40,2.275120260289168,2.2751200199127197,2.4037644807961556e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,41,2.6905110016166955,2.6905109882354736,1.3381221908304042e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,42,2.6923145896113074,2.692314624786377,-3.517506952377403e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,43,2.312811108672229,2.3128113746643066,-2.659920776970637e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,44,2.3116122663450387,2.311612129211426,1.3713361290967896e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,45,2.280364593545409,2.280364513397217,8.014819208312929e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,46,2.372775555493652,2.3727753162384033,2.3925524850199054e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,47,2.1643684708009423,2.1643686294555664,-1.5865462410502573e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,48,2.03719319327333,2.0371930599212646,1.3335206539011324e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,49,2.0333439495114956,2.03334379196167,1.575498256300989e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,50,1.7499632984031666,1.7499632835388184,1.486434819675253e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,51,1.8376082484076306,1.8376082181930542,3.021457639640346e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,52,1.6822373233312227,1.6822372674942017,5.583702100686594e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,53,1.9027456804975527,1.9027457237243652,-4.322681257384886e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,54,1.6320341459250258,1.632034182548523,-3.6623497123855486e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,55,1.6047793549020735,1.6047793626785278,-7.776454369334829e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,56,1.830462983175077,1.8304630517959595,-6.862088253178911e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,57,1.8059362165592427,1.8059362173080444,-7.488016873224979e-10,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,58,2.184141799335435,2.1841416358947754,1.6344065967288657e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,59,2.3553601716107524,2.355360269546509,-9.793575639349683e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,60,2.3642666151944476,2.3642666339874268,-1.8792979172843616e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,61,2.466687087649221,2.4666872024536133,-1.148043922150066e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,62,1.515417787188856,1.5154176950454712,9.214338470009409e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,63,1.9039556211016502,1.9039556980133057,-7.691165548884271e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,0,1.8464964843626417,1.8464964628219604,2.1540681238718662e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,1,2.4363670594595606,2.4363670349121094,2.454745118285473e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,2,2.5150645260516034,2.5150644779205322,4.8131071128665326e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,3,2.0261873216767547,2.0261874198913574,-9.821460267289694e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,4,1.9410401230374086,1.9410401582717896,-3.523438096841858e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,5,1.5666395448895507,1.5666395425796509,2.309899826968831e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,6,1.6651988011815821,1.6651989221572876,-1.20975705453219e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,7,1.9237482657458276,1.923748254776001,1.0969826602647004e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,8,2.2524973692889567,2.252497434616089,-6.532713214824071e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,9,1.985013714182368,1.9850136041641235,1.1001824451462028e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,10,1.9025029007789005,1.9025028944015503,6.377350203479182e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,11,2.2639632362991478,2.263963460922241,-2.2462309345883114e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,12,2.1257568469962664,2.1257569789886475,-1.3199238102501454e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,13,2.279079104509481,2.279078960418701,1.440907797523039e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,14,2.2105435372434954,2.210543394088745,1.431547502761532e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,15,2.4118905650093647,2.411890745162964,-1.8015359914969054e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_hadamard,0,16,2.140356073962973,2.1403558254241943,2.4853877844677186e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
