model,layer,b,position,method,mean_group_range,valid,reduction_vs_hadamard,invalid_reason
llama32_3b,2,32,512,nar_rope,6.494431018829346,True,0.11844207500674446,
llama32_3b,2,32,1024,bf16,8.39809513092041,True,nan,
llama32_3b,2,32,1024,hadamard,7.334240913391113,True,0.0,
llama32_3b,2,32,1024,nar_rope,6.429981231689453,True,0.12329287957403079,
llama32_3b,2,32,2048,bf16,8.404484748840332,True,nan,
llama32_3b,2,32,2048,hadamard,7.282952308654785,True,0.0,
llama32_3b,2,32,2048,nar_rope,6.43011474609375,True,0.11710052824972576,
llama32_3b,2,64,0,bf16,11.48991584777832,True,nan,
llama32_3b,2,64,0,hadamard,8.112674713134766,True,0.0,
llama32_3b,2,64,0,nar_rope,7.742432117462158,True,0.045637549731060816,
llama32_3b,2,64,512,bf16,11.516945838928223,True,nan,
llama32_3b,2,64,512,hadamard,8.1318941116333,True,0.0,
llama32_3b,2,64,512,nar_rope,7.5192766189575195,True,0.07533515368816532,
llama32_3b,2,64,1024,bf16,11.496341705322266,True,nan,
llama32_3b,2,64,1024,hadamard,8.348271369934082,True,0.0,
llama32_3b,2,64,1024,nar_rope,7.625550746917725,True,0.08657129014986296,
llama32_3b,2,64,2048,bf16,11.480057716369629,True,nan,
llama32_3b,2,64,2048,hadamard,8.188488006591797,True,0.0,
llama32_3b,2,64,2048,nar_rope,7.6847662925720215,True,0.06151583950715633,
llama32_3b,2,128,0,bf16,14.630949020385742,True,nan,
llama32_3b,2,128,0,hadamard,9.274446487426758,True,0.0,
llama32_3b,2,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,2,128,512,bf16,14.643758773803711,True,nan,
llama32_3b,2,128,512,hadamard,9.34361457824707,True,0.0,
llama32_3b,2,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,2,128,1024,bf16,14.642143249511719,True,nan,
llama32_3b,2,128,1024,hadamard,9.155034065246582,True,0.0,
llama32_3b,2,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,2,128,2048,bf16,14.644451141357422,True,nan,
llama32_3b,2,128,2048,hadamard,9.089332580566406,True,0.0,
llama32_3b,2,128,2048,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,3,32,0,bf16,9.041309356689453,True,nan,
llama32_3b,3,32,0,hadamard,7.363751411437988,True,0.0,
llama32_3b,3,32,0,nar_rope,6.282732963562012,True,0.14680268079077863,
llama32_3b,3,32,512,bf16,9.026016235351562,True,nan,
llama32_3b,3,32,512,hadamard,7.4449310302734375,True,0.0,
llama32_3b,3,32,512,nar_rope,6.323456764221191,True,0.15063595102385477,
llama32_3b,3,32,1024,bf16,9.04680347442627,True,nan,
llama32_3b,3,32,1024,hadamard,7.46439266204834,True,0.0,
llama32_3b,3,32,1024,nar_rope,6.308284759521484,True,0.15488305008456005,
llama32_3b,3,32,2048,bf16,8.976720809936523,True,nan,
llama32_3b,3,32,2048,hadamard,7.405367851257324,True,0.0,
llama32_3b,3,32,2048,nar_rope,6.284091949462891,True,0.15141393706783346,
llama32_3b,3,64,0,bf16,12.253742218017578,True,nan,
llama32_3b,3,64,0,hadamard,8.204362869262695,True,0.0,
llama32_3b,3,64,0,nar_rope,7.4145097732543945,True,0.09627232590692113,
llama32_3b,3,64,512,bf16,12.4166259765625,True,nan,
llama32_3b,3,64,512,hadamard,8.28532600402832,True,0.0,
llama32_3b,3,64,512,nar_rope,7.429487228393555,True,0.10329572731581803,
