method,seed,site,max_relative_error
identity,20260902,qkv,0.0
identity,20260902,down,0.0
hadamard,20260902,qkv,0.0025041678454726934
hadamard,20260902,down,0.0022099618799984455
hadamard,20260903,qkv,0.00241345027461648
hadamard,20260903,down,0.002490169834345579
hadamard,20260904,qkv,0.002436600159853697
hadamard,20260904,down,0.0025404621846973896
nar,20260902,qkv,0.00248436676338315
nar,20260902,down,0.002726680599153042
nar,20260903,qkv,0.0023605148307979107
nar,20260903,down,0.002612246200442314
nar,20260904,qkv,0.002598899882286787
nar,20260904,down,0.0024982423055917025
