model,row,site,layer,direction,captured_share,energy_fraction
llama32_3b,hadamard_g256_m2,qkv,1,13,0.0018766800640150905,0.00904435571283102
llama32_3b,hadamard_g256_m2,qkv,1,14,0.0010891471756622195,0.00898138526827097
llama32_3b,hadamard_g256_m2,qkv,1,15,0.01920243538916111,0.008837549015879631
llama32_3b,hadamard_g256_m2,qkv,1,16,0.003152899444103241,0.008188877254724503
llama32_3b,hadamard_g256_m2,qkv,1,17,0.0031567849218845367,0.007760761305689812
llama32_3b,hadamard_g256_m2,qkv,1,18,0.006544134579598904,0.007551775313913822
llama32_3b,hadamard_g256_m2,qkv,1,19,0.00036909888149239123,0.007234696298837662
llama32_3b,hadamard_g256_m2,qkv,1,20,0.0021033308003097773,0.006930267438292503
llama32_3b,hadamard_g256_m2,qkv,1,21,0.0024428910110145807,0.006743240635842085
llama32_3b,hadamard_g256_m2,qkv,1,22,0.009690087288618088,0.006548907607793808
llama32_3b,hadamard_g256_m2,qkv,1,23,0.001711087068542838,0.006354507990181446
llama32_3b,hadamard_g256_m2,qkv,1,24,0.0012370827607810497,0.006227197591215372
llama32_3b,hadamard_g256_m2,qkv,1,25,0.00906012300401926,0.006126238964498043
llama32_3b,hadamard_g256_m2,qkv,1,26,0.004950985312461853,0.005934395827353001
llama32_3b,hadamard_g256_m2,qkv,1,27,0.0011873524636030197,0.005665157455950975
llama32_3b,hadamard_g256_m2,qkv,1,28,0.0029679147992283106,0.0053731161169707775
llama32_3b,hadamard_g256_m2,qkv,1,29,0.0072384607046842575,0.0052733696065843105
llama32_3b,hadamard_g256_m2,qkv,1,30,0.0025586630217731,0.005135845392942429
llama32_3b,hadamard_g256_m2,qkv,1,31,0.003748235758394003,0.004964467138051987
llama32_3b,hadamard_g256_m2,qkv,1,32,0.0007017387542873621,0.004735826049000025
llama32_3b,hadamard_g256_m2,qkv,1,33,0.004447098821401596,0.004536978434771299
llama32_3b,hadamard_g256_m2,qkv,1,34,0.0019466070225462317,0.0044138189405202866
llama32_3b,hadamard_g256_m2,qkv,1,35,0.006879346910864115,0.00435978826135397
llama32_3b,hadamard_g256_m2,qkv,1,36,0.0024422984570264816,0.0042541250586509705
llama32_3b,hadamard_g256_m2,qkv,1,37,0.0032350122928619385,0.004217891488224268
llama32_3b,hadamard_g256_m2,qkv,1,38,0.008589883334934711,0.003947441466152668
llama32_3b,hadamard_g256_m2,qkv,1,39,0.001911301165819168,0.003867650870233774
llama32_3b,hadamard_g256_m2,qkv,1,40,0.013118559494614601,0.0036736431065946817
llama32_3b,hadamard_g256_m2,qkv,1,41,0.004479630384594202,0.003650388214737177
llama32_3b,hadamard_g256_m2,qkv,1,42,0.008063089102506638,0.003376414068043232
llama32_3b,hadamard_g256_m2,qkv,1,43,0.00859171710908413,0.003313452238216996
llama32_3b,hadamard_g256_m2,qkv,1,44,0.005483562126755714,0.0033074431121349335
llama32_3b,hadamard_g256_m2,qkv,1,45,0.0098866056650877,0.003113408340141177
llama32_3b,hadamard_g256_m2,qkv,1,46,0.005011157598346472,0.0030502590816468
llama32_3b,hadamard_g256_m2,qkv,1,47,0.006367892026901245,0.0029708188958466053
llama32_3b,hadamard_g256_m2,qkv,2,0,0.0008206488564610481,0.16152460873126984
llama32_3b,hadamard_g256_m2,qkv,2,1,0.0036380526144057512,0.02941681630909443
llama32_3b,hadamard_g256_m2,qkv,2,2,0.0007710815989412367,0.019929936155676842
llama32_3b,hadamard_g256_m2,qkv,2,3,0.0006711326423101127,0.017869802191853523
llama32_3b,hadamard_g256_m2,qkv,2,4,0.003886527381837368,0.015316628850996494
llama32_3b,hadamard_g256_m2,qkv,2,5,0.0013201494002714753,0.01379617489874363
