model,row,method,group,m,seed,chunk,nll,tokens_scored,effective_bits,slots,coeff,bit_accounted
llama32_3b,bf16,bf16,0,0,0,0,1.8217055797576904,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,1,2.421818256378174,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,2,2.4917941093444824,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,3,2.00675630569458,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,4,1.9152430295944214,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,5,1.5420029163360596,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,6,1.6576154232025146,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,7,1.9078645706176758,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,8,2.2397544384002686,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,9,1.9631596803665161,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,10,1.8910185098648071,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,11,2.2445356845855713,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,12,2.107814073562622,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,13,2.267115831375122,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,14,2.1882483959198,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,15,2.393815279006958,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,16,2.1196601390838623,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,17,2.1353261470794678,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,18,1.943248987197876,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,19,2.1044321060180664,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,20,2.222729206085205,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,21,2.148265838623047,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,22,2.204887866973877,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,23,2.2404897212982178,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,24,2.271176815032959,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,25,2.3284871578216553,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,26,2.416243076324463,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,27,2.2175447940826416,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,28,1.9883804321289062,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,29,1.795930027961731,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,30,1.6755698919296265,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,31,1.7090516090393066,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,32,2.0037975311279297,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,33,1.972030758857727,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,34,2.1505134105682373,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,35,1.4689016342163086,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,36,1.4364802837371826,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,37,1.4808001518249512,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,38,1.4648363590240479,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,39,1.6599594354629517,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,40,2.262420415878296,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,41,2.6825194358825684,2047,16.0,0,,
llama32_3b,bf16,bf16,0,0,0,42,2.677457094192505,2047,16.0,0,,
