model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama32_3b,bf16,-1,0,1.8208203315734863,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,1,2.4220356941223145,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,2,2.4922232627868652,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,3,2.007396936416626,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,4,1.9157811403274536,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,5,1.5419397354125977,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,6,1.6579393148422241,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,7,1.90771484375,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,8,2.2407782077789307,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,9,1.9640158414840698,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,10,1.8904613256454468,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,11,2.2446377277374268,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,12,2.108149290084839,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,13,2.26754093170166,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,14,2.188316822052002,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,15,2.3944945335388184,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,16,2.1199371814727783,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,17,2.136223554611206,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,18,1.9425047636032104,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,19,2.104306697845459,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,20,2.222465753555298,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,21,2.149143934249878,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,22,2.2034170627593994,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,23,2.2406511306762695,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,24,2.272462844848633,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,25,2.327946662902832,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,26,2.4166054725646973,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,27,2.216716766357422,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,28,1.9890705347061157,2047,reused_verbatim_from_e5,0.0
llama32_3b,bf16,-1,29,1.796256184577942,2047,reused_verbatim_from_e5,0.0
