model,row,quantizer,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,42,anchor,131072,0.04938973591475104,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,43,anchor,131072,0.051601089850954907,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,44,anchor,131072,0.04783781899714157,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,45,anchor,131072,0.04965653641270862,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,46,anchor,131072,0.04932146939378157,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,47,anchor,131072,0.0494825024591421,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,48,anchor,131072,0.04844266100330685,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,49,anchor,131072,0.047817873361704955,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,50,anchor,131072,0.047797045285353335,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,51,anchor,131072,0.04916151458261453,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,52,anchor,131072,0.049806302191150564,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,53,anchor,131072,0.04767927629220381,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,54,anchor,131072,0.051273633918853534,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,55,anchor,131072,0.04966868385225354,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,56,anchor,131072,0.050775254428995,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,57,anchor,131072,0.04918335810886987,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,58,anchor,131072,0.0486963896650181,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,59,anchor,131072,0.04900449440363275,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,60,anchor,131072,0.050253133297538,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,61,anchor,131072,0.04914648100490382,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,62,anchor,131072,0.04863496550376212,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,63,anchor,131072,0.048504671641666164,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,0,anchor,131072,0.06177748137841377,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,1,anchor,131072,0.06332398581461973,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,2,anchor,131072,0.06270938698988715,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,3,anchor,131072,0.06286750727032597,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,4,anchor,131072,0.06257274305607297,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,5,anchor,131072,0.062122523409676944,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,6,anchor,131072,0.06093727609867017,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,7,anchor,131072,0.06424524721214908,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,8,anchor,131072,0.06196095118384193,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,9,anchor,131072,0.06306230625683185,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,10,anchor,131072,0.06198871359377023,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,11,anchor,131072,0.06250304560666109,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,12,anchor,131072,0.06249012735185033,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,13,anchor,131072,0.06330113853802999,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,14,anchor,131072,0.06471605059698504,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,15,anchor,131072,0.06376228034248754,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,16,anchor,131072,0.06224561264764361,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,17,anchor,131072,0.06252090383080144,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,18,anchor,131072,0.06382273907290426,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,19,anchor,131072,0.062309716528190506,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,20,anchor,131072,0.06422402009224015,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,21,anchor,131072,0.0623256694434815,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,22,anchor,131072,0.06342186974144681,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,23,anchor,131072,0.06467740825644341,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,24,anchor,131072,0.060899421972671064,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,25,anchor,131072,0.062090536622008585,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,26,anchor,131072,0.06378079244536394,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,27,anchor,131072,0.06315003842681222,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,28,anchor,131072,0.062644938182423,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,29,anchor,131072,0.061085455356995055,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,30,anchor,131072,0.06362144633986588,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,31,anchor,131072,0.06181552467555207,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,32,anchor,131072,0.06355855645477249,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,33,anchor,131072,0.0628202807429048,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,34,anchor,131072,0.0646971840668229,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,35,anchor,131072,0.06255526813036028,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,36,anchor,131072,0.06356004497727241,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,37,anchor,131072,0.06289160584011455,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,38,anchor,131072,0.06463593264849266,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,39,anchor,131072,0.06361250286240505,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,40,anchor,131072,0.0628584563483372,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,41,anchor,131072,0.06317231475912166,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,42,anchor,131072,0.06289753997438652,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,43,anchor,131072,0.06292637408304813,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,44,anchor,131072,0.06334074158617398,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,45,anchor,131072,0.06238763262101088,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,46,anchor,131072,0.06369438986022402,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,47,anchor,131072,0.06317194910425883,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,48,anchor,131072,0.06147988655330039,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,49,anchor,131072,0.0619367198758809,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,50,anchor,131072,0.06386867404016527,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,51,anchor,131072,0.06283329252927672,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,52,anchor,131072,0.06442762221654164,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,53,anchor,131072,0.06253590582295487,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,54,anchor,131072,0.06369740403948754,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,55,anchor,131072,0.06305289936904046,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,56,anchor,131072,0.062463148199945806,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,57,anchor,131072,0.06319480259653432,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,58,anchor,131072,0.06399456612603416,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,59,anchor,131072,0.06256630565952292,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,60,anchor,131072,0.06365529904629597,common_unquantized_bf16_forward
