model,site,layer,method,mixing_width,fp4_block_size,scale_rule,layer_global_nmse,blocks
llama32_3b,down_input,4,hadamard_b128,128,16,absmax,0.009822139004272151,1048576
llama32_3b,down_input,4,hadamard_b128,128,16,mse_optimal,0.0069565792643600435,1048576
llama32_3b,down_input,5,hadamard_b128,128,16,absmax,0.00964116349454701,1048576
llama32_3b,down_input,5,hadamard_b128,128,16,mse_optimal,0.00683948693834728,1048576
llama32_3b,down_input,6,hadamard_b128,128,16,absmax,0.009545240233567428,1048576
llama32_3b,down_input,6,hadamard_b128,128,16,mse_optimal,0.006778742167684553,1048576
llama32_3b,down_input,7,hadamard_b128,128,16,absmax,0.009400221577044196,1048576
llama32_3b,down_input,7,hadamard_b128,128,16,mse_optimal,0.00676644836247918,1048576
llama32_3b,down_input,8,hadamard_b128,128,16,absmax,0.009373691652409229,1048576
llama32_3b,down_input,8,hadamard_b128,128,16,mse_optimal,0.006750374511452981,1048576
llama32_3b,down_input,9,hadamard_b128,128,16,absmax,0.009341213495115358,1048576
llama32_3b,down_input,9,hadamard_b128,128,16,mse_optimal,0.006739936297718568,1048576
llama32_3b,down_input,10,hadamard_b128,128,16,absmax,0.009359682965386154,1048576
llama32_3b,down_input,10,hadamard_b128,128,16,mse_optimal,0.006716303202622651,1048576
llama32_3b,down_input,11,hadamard_b128,128,16,absmax,0.009360232031475917,1048576
llama32_3b,down_input,11,hadamard_b128,128,16,mse_optimal,0.006694569397806378,1048576
llama32_3b,down_input,12,hadamard_b128,128,16,absmax,0.009330107375063902,1048576
llama32_3b,down_input,12,hadamard_b128,128,16,mse_optimal,0.006478686760713284,1048576
llama32_3b,down_input,13,hadamard_b128,128,16,absmax,0.008220643474349117,1048576
llama32_3b,down_input,13,hadamard_b128,128,16,mse_optimal,0.005860936063385188,1048576
llama32_3b,down_input,14,hadamard_b128,128,16,absmax,0.009439657192449855,1048576
llama32_3b,down_input,14,hadamard_b128,128,16,mse_optimal,0.006610677612425797,1048576
llama32_3b,down_input,15,hadamard_b128,128,16,absmax,0.009515338098358445,1048576
llama32_3b,down_input,15,hadamard_b128,128,16,mse_optimal,0.006588460053947209,1048576
llama32_3b,down_input,16,hadamard_b128,128,16,absmax,0.009573801199173471,1048576
llama32_3b,down_input,16,hadamard_b128,128,16,mse_optimal,0.006588760865877626,1048576
llama32_3b,down_input,17,hadamard_b128,128,16,absmax,0.009582643379556085,1048576
llama32_3b,down_input,17,hadamard_b128,128,16,mse_optimal,0.00658786599883562,1048576
llama32_3b,down_input,18,hadamard_b128,128,16,absmax,0.00960496632583224,1048576
llama32_3b,down_input,18,hadamard_b128,128,16,mse_optimal,0.006570633555603367,1048576
llama32_3b,down_input,19,hadamard_b128,128,16,absmax,0.009697926832081706,1048576
llama32_3b,down_input,19,hadamard_b128,128,16,mse_optimal,0.0065572804447923865,1048576
llama32_3b,down_input,20,hadamard_b128,128,16,absmax,0.009673120332247001,1048576
llama32_3b,down_input,20,hadamard_b128,128,16,mse_optimal,0.006560689135471135,1048576
llama32_3b,down_input,21,hadamard_b128,128,16,absmax,0.009712576720285346,1048576
llama32_3b,down_input,21,hadamard_b128,128,16,mse_optimal,0.006547027783566707,1048576
llama32_3b,down_input,22,hadamard_b128,128,16,absmax,0.009763336219284425,1048576
llama32_3b,down_input,22,hadamard_b128,128,16,mse_optimal,0.006524058816200715,1048576
llama32_3b,down_input,23,hadamard_b128,128,16,absmax,0.00975792385671031,1048576
llama32_3b,down_input,23,hadamard_b128,128,16,mse_optimal,0.006533544830550248,1048576
llama32_3b,down_input,24,hadamard_b128,128,16,absmax,0.009684031892603638,1048576
llama32_3b,down_input,24,hadamard_b128,128,16,mse_optimal,0.006560274180126451,1048576
llama32_3b,down_input,25,hadamard_b128,128,16,absmax,0.009659797224010946,1048576
llama32_3b,down_input,25,hadamard_b128,128,16,mse_optimal,0.006555212985468048,1048576
llama32_3b,down_input,26,hadamard_b128,128,16,absmax,0.00830781445935307,1048576
llama32_3b,down_input,26,hadamard_b128,128,16,mse_optimal,0.0055723482517172135,1048576
llama32_3b,down_input,27,hadamard_b128,128,16,absmax,0.005763269012442255,1048576
llama32_3b,down_input,27,hadamard_b128,128,16,mse_optimal,0.0030418224048758555,1048576
