model,site,method,nar_group_size,fp4_block_size,scale_rule,blocks,global_nmse,block_nmse_median,block_nmse_p90,block_nmse_p99,worst_1pct_error_share,worst_1pct_signal_energy_share
llama32_3b,q_input,identity,,16,absmax,11010048,0.008398542952899598,0.008205782622098923,0.013226842507719994,0.0184186939150095,0.1044003043638918,0.09228193580125926
llama32_3b,q_input,identity,,16,mse_optimal,11010048,0.007027700605825773,0.0068087950348854065,0.009230908937752247,0.0120339784771204,0.12004529891529533,0.09356466137327746
llama32_3b,q_input,hadamard_b16,,16,absmax,11010048,0.009496335252074115,0.008999389596283436,0.014081699773669243,0.01888970471918583,0.11917395777698787,0.09186891471697967
llama32_3b,q_input,hadamard_b16,,16,mse_optimal,11010048,0.006575108872364096,0.006669249385595322,0.008820746093988419,0.01089031808078289,0.09935996050414851,0.09397453184475744
llama32_3b,q_input,nar_b128,128,16,absmax,11010048,0.009423524352239991,0.008960455656051636,0.014019390568137169,0.018504701554775238,0.09507920399465694,0.07180948476856452
llama32_3b,q_input,nar_b128,128,16,mse_optimal,11010048,0.006592094177163349,0.006649891845881939,0.008779178373515606,0.010501001961529255,0.08179442965363078,0.074182661486553
llama32_3b,q_input,nar_b16,16,16,absmax,11010048,0.01025155863292971,0.009014333598315716,0.014160075224936008,0.019100137054920197,0.3127410436354878,0.24161927273043465
llama32_3b,q_input,nar_b16,16,16,mse_optimal,11010048,0.006355604693766234,0.006679316982626915,0.008878638036549091,0.011249893344938755,0.22400582016577578,0.24210228334951006
llama32_3b,down_input,identity,,16,absmax,29360128,0.0018889811285487184,0.008540373295545578,0.015201997943222523,0.034128181636333466,0.7237281337800646,0.9346786201252621
llama32_3b,down_input,identity,,16,mse_optimal,29360128,0.0013887097037011253,0.007202564273029566,0.01045412477105856,0.018791070207953453,0.6836385726663811,0.9352488166128796
llama32_3b,down_input,hadamard_b16,,16,absmax,29360128,0.0023198104821311326,0.009642948396503925,0.01544946525245905,0.03322199359536171,0.7375508187519726,0.9350687811971462
llama32_3b,down_input,hadamard_b16,,16,mse_optimal,29360128,0.0013733671030789543,0.007077338173985481,0.009804116562008858,0.016012441366910934,0.6956515593171012,0.9355001351829269
llama32_3b,down_input,nar_b128,128,16,absmax,29360128,0.0015005344191459063,0.009418957866728306,0.01505446620285511,0.029253527522087097,0.5950392046408489,0.8074478772810255
llama32_3b,down_input,nar_b128,128,16,mse_optimal,29360128,0.0006971822496278072,0.006996347103267908,0.00955567229539156,0.0150214908644557,0.3877711572584882,0.8076677522902517
llama32_3b,down_input,nar_b16,16,16,absmax,29360128,0.002587069885975212,0.009699096903204918,0.015584703534841537,0.03685653582215309,0.8140389436445296,0.9489479753644239
llama32_3b,down_input,nar_b16,16,16,mse_optimal,29360128,0.0010810883252063007,0.007117362227290869,0.009886559098958969,0.017260747030377388,0.6980868689829548,0.9498265610076783
