model,b,method,layers,mean_group_range,mean_relative_quantization_error_nmse,mean_range_reduction_vs_hadamard,mean_nmse_delta_vs_hadamard
llama32_3b,32,bf16,28,1.422226651438645,0.0,-0.06186816450974666,-0.00608395781122196
llama32_3b,32,identity,28,1.422226651438645,0.007137885744320728,-0.06186816450974666,0.0010539279330987678
llama32_3b,32,hadamard,28,1.3469275390463216,0.00608395781122196,0.0,0.0
llama32_3b,32,nar,28,1.2781692700726646,0.005516373866702596,0.04896131769734119,-0.0005675839445193648
llama32_3b,64,bf16,28,1.6878233743565423,0.0,-0.11863907861963333,-0.007954342669580746
llama32_3b,64,identity,28,1.6878233743565423,0.010328560153832858,-0.11863907861963333,0.0023742174842521124
llama32_3b,64,hadamard,28,1.5223333122474807,0.007954342669580746,0.0,0.0
llama32_3b,64,nar,28,1.4710940990064825,0.007460197884661422,0.03166684385552733,-0.0004941447849193231
llama32_3b,128,bf16,28,1.98226783318179,0.0,-0.19093739802779092,-0.0098334065961046
llama32_3b,128,identity,28,1.98226783318179,0.014425489639456257,-0.19093739802779092,0.004592083043351657
llama32_3b,128,hadamard,28,1.683247140475682,0.0098334065961046,0.0,0.0
llama32_3b,128,nar,28,1.6493506942476546,0.009450254180796971,0.01835234707647256,-0.0003831524153076295
