model,k,tokens,backend,config,splits,projection_ms
llama32_3b,32,1,triton_dot_3term,T32_D128_S4_w8_s3,4,0.03172743459873041
llama32_3b,32,1,triton_dot_3term,T64_D64_S4_w8_s3,4,0.032998346079156624
llama32_3b,32,1,triton_dot_3term,T64_D128_S4_w8_s3,4,0.03267595799838972
llama32_3b,32,32,v2_triton_fp32,-,32,0.019022523751745454
llama32_3b,32,32,cublas_fp32out_3term,-,1,0.04015772354839736
llama32_3b,32,32,triton_dot_3term,T16_D64_S4_w4_s4,4,0.017105050325666962
llama32_3b,32,32,triton_dot_3term,T16_D128_S4_w4_s4,4,0.016076331418043502
llama32_3b,32,32,triton_dot_3term,T32_D64_S4_w4_s4,4,0.022217860871233477
llama32_3b,32,32,triton_dot_3term,T32_D128_S4_w8_s3,4,0.03217343848175418
llama32_3b,32,32,triton_dot_3term,T64_D64_S4_w8_s3,4,0.03318682982733375
llama32_3b,32,32,triton_dot_3term,T64_D128_S4_w8_s3,4,0.03236031854833697
llama32_3b,32,2048,v2_triton_fp32,-,2,0.19443000309790173
llama32_3b,32,2048,cublas_fp32out_3term,-,1,0.10024864589701397
llama32_3b,32,2048,triton_dot_3term,T16_D64_S4_w4_s4,4,0.06316779001183759
llama32_3b,32,2048,triton_dot_3term,T16_D128_S4_w4_s4,4,0.058997629913312796
llama32_3b,32,2048,triton_dot_3term,T32_D64_S4_w4_s4,4,0.04837777116717618
llama32_3b,32,2048,triton_dot_3term,T32_D128_S4_w8_s3,4,0.0718533327752674
llama32_3b,32,2048,triton_dot_3term,T64_D64_S4_w8_s3,4,0.051634474498094975
llama32_3b,32,2048,triton_dot_3term,T64_D128_S4_w8_s3,4,0.044527317965913256
