model,model_id,method,quantizer,fold,seed,bf16_ppl,rotation_only_ppl,weight_fold_max_relative_error,required_ppl_abs_difference,required_max_abs_nll_delta,roundtrip_relative_error_qkv,roundtrip_relative_error_down,check_rows,layer0_max_abs_difference,layer0_relative_l2,logits_max_abs_difference,logits_relative_l2,required_relative_l2,chunks,chunks_below_bf16,mean_nll_delta,std_nll_delta,max_abs_nll_delta,ppl_abs_difference,passed
llama31_70b,unsloth/Meta-Llama-3.1-70B,hadamard,identity,exact_transpose,20260902,3.105271608911365,3.1053038361870122,0.0,0.01,0.001,1.4707288187310041e-07,1.8639205734416464e-07,32,0.0009765625,0.00013156500062905252,0.296875,0.01263989694416523,0.001,64,32,1.0378193110227585e-05,0.001057609368063588,0.003151625394821167,3.222727564722305e-05,False
llama31_70b,unsloth/Meta-Llama-3.1-70B,nar_k8,identity,exact_transpose,20260902,3.105271608911365,3.1048947378681384,0.0,0.01,0.001,3.2070585120891337e-07,3.789370737194986e-07,32,0.0009765625,0.00016104994574561715,0.3125,0.012447202578186989,0.001,64,35,-0.0001213722862303257,0.000993937013488154,0.002411961555480957,0.0003768710432265898,False
llama31_70b,unsloth/Meta-Llama-3.1-70B,nar_kmax,identity,exact_transpose,20260902,3.105271608911365,3.1056515887104337,0.0,0.01,0.001,5.943637688687886e-07,1.1309648471069522e-06,32,0.005859375,0.0002472639025654644,0.3125,0.012921521440148354,0.001,64,33,0.0001223585568368435,0.0010704814532296737,0.002642720937728882,0.00037997979906867485,False
