model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,63,0.7294836044311523,2047,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,0,9.558774948120117,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,1,9.400364875793457,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,2,9.799251556396484,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,3,9.688095092773438,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,4,9.684141159057617,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,5,9.274354934692383,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,6,9.370125770568848,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,7,9.398881912231445,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,8,9.692492485046387,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,9,9.62321662902832,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,10,9.646685600280762,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,11,9.780792236328125,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,12,9.554815292358398,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,13,9.603643417358398,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,14,9.478676795959473,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,15,9.630863189697266,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,16,9.656636238098145,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,17,9.56326675415039,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,18,9.570280075073242,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,19,9.570594787597656,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,20,9.788524627685547,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,21,9.469560623168945,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,22,9.721664428710938,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,23,9.692910194396973,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,24,9.522115707397461,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,25,9.557095527648926,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,26,9.586263656616211,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,27,9.528563499450684,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,28,9.70106315612793,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,29,9.719605445861816,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,30,9.919294357299805,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,31,9.770464897155762,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,32,9.903526306152344,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,33,9.642420768737793,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,34,9.552783012390137,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,35,9.382023811340332,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,36,9.489564895629883,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,37,9.392988204956055,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,38,9.343414306640625,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,39,9.447318077087402,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,40,9.682232856750488,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,41,9.566173553466797,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,42,9.668513298034668,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,43,9.590307235717773,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,44,9.549731254577637,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,45,9.74301528930664,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,46,9.396539688110352,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,47,9.52301025390625,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,48,9.762022018432617,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,49,9.488499641418457,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,50,9.661271095275879,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,51,9.788103103637695,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,52,9.604751586914062,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,53,9.578893661499023,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,54,9.65347957611084,2047,0.003590154927223921
