model,site,k,layers,mean_cumulative_captured_fraction,min_cumulative_captured_fraction,max_cumulative_captured_fraction,predicted_range_reduction
llama31_70b,down,8,80,0.12010294824045173,0.03706429203956455,0.9916665429914828,0.061971721236748545
llama31_70b,down,224,80,0.2583258892019316,0.14896704147470682,0.9930653586683793,0.13879496587742335
llama31_70b,qkv,8,80,0.38338820132217644,0.17109617209161548,0.9495450761985291,0.2147536700640852
llama31_70b,qkv,64,80,0.5528824041378754,0.2981164554146844,0.9897842836687737,0.33133147534662244
