model,site,method,seed,ppl,rotation_only_ppl,ppl_delta_vs_bf16,rotation_only_delta_vs_bf16,quantization_cost,ppl_delta_vs_hadamard,recovered_fraction_of_hadamard_gap,effective_bits_per_value,chunks,chunks_below_bf16,mean_nll_delta,std_nll_delta,max_abs_nll_delta,vs_control_chunks,vs_control_chunks_below_bf16,vs_control_mean_nll_delta,vs_control_std_nll_delta,vs_control_max_abs_nll_delta
llama31_70b,both,bf16,20260902,3.105271608911365,3.105271608911365,0.0,0.0,0.0,nan,nan,16.0,64,0,0.0,0.0,0.0,64,0,0.0,0.0,0.0
llama31_70b,both,hadamard,20260902,15136.991715464153,3.1053038361870122,15133.886443855243,3.222727564722305e-05,15133.886411627966,0.0,nan,4.25,64,0,8.491795623209327,0.5164557727168535,9.503671288490295,64,0,8.491785245016217,0.5164132603591531,9.50446555018425
llama31_70b,both,nar_k8,20260902,24.232560269501935,3.1048947378681384,21.12728866059057,-0.0003768710432265898,21.127665531633795,-15112.759155194652,0.9986039497748972,4.25,64,0,2.0545960082672536,0.6849895860212831,3.8803402185440063,64,0,2.054717380553484,0.6849112147787565,3.8801021575927734
llama31_70b,both,nar_kmax,20260902,3.5724155550217156,3.1056515887104337,0.4671439461103506,0.00037997979906867485,0.4667639663112819,-15133.419299909132,0.9999691576932973,4.25,64,0,0.14014080679044127,0.08952694211132114,0.398911714553833,64,0,0.14001844823360443,0.08951583957044208,0.3988007605075836
