model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,43,0.4129456877708435,2047,0.4129456877708435,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,44,0.4032130837440491,2047,0.4032130837440491,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,45,1.7836015224456787,2047,1.7836015224456787,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,46,1.9697484970092773,2047,1.9697484970092773,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,47,1.7939467430114746,2047,1.7939467430114746,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,48,1.354950189590454,2047,1.354950189590454,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,49,1.5659687519073486,2047,1.5659687519073486,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,50,1.138454556465149,2047,1.138454556465149,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,51,1.309606909751892,2047,1.309606909751892,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,52,1.2309129238128662,2047,1.2309129238128662,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,53,1.3344426155090332,2047,1.3344426155090332,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,54,1.0271402597427368,2047,1.0271402597427368,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,55,1.1284396648406982,2047,1.1284396648406982,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,56,1.1248703002929688,2047,1.1248703002929688,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,57,1.4096848964691162,2047,1.4096848964691162,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,58,1.023604154586792,2047,1.023604154586792,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,59,1.5687099695205688,2047,1.5687099695205688,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,60,1.879814624786377,2047,1.879814624786377,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,61,1.8363913297653198,2047,1.8363913297653198,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,62,0.5678824186325073,2047,0.5678824186325073,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,bf16,20260902,63,0.7294836044311523,2047,0.7294836044311523,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,0,9.519691467285156,2047,0.8060742020606995,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,1,9.437393188476562,2047,0.3298540413379669,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,2,9.802680015563965,2047,0.29821446537971497,0.0
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,3,9.68108081817627,2047,1.0409443378448486,0.0
