model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,hadamard,0,0,self_attn.k_proj,4096,1024,128,0,40.89909744262695,-1,128,True,2.2256928392590734,1.0323199893516,0.010323199893515999,0.008126692456999266,0.0078125,1024,0.6671191453933716,0.007742500398308039,nan
qwen3_8b_base,hadamard,0,0,self_attn.v_proj,4096,1024,128,0,40.89909744262695,-1,128,True,2.2256928392590734,1.0323199893516,0.010323199893515999,0.008126692456999266,0.0078125,1024,0.6661719083786011,0.007779669016599655,nan
qwen3_8b_base,hadamard,0,0,self_attn.q_proj,4096,4096,128,0,40.89909744262695,-1,128,True,2.2256928392590734,1.0323199893516,0.010323199893515999,0.008126692456999266,0.0078125,4096,0.66650390625,0.007839035242795944,nan
qwen3_8b_base,hadamard,0,1,self_attn.o_proj,4096,4096,128,0,0.013280162587761879,-1,128,True,13.011731089550771,1.50164632090715,0.0150164632090715,0.006226587903475411,0.0078125,4096,0.660229504108429,0.007690653204917908,nan
qwen3_8b_base,hadamard,0,2,mlp.up_proj,4096,12288,128,0,40.95281982421875,-1,128,True,10.468045254360632,1.5314375492945633,0.015314375492945634,0.007723873311961321,0.0078125,12288,0.666915774345398,0.007796889171004295,nan
qwen3_8b_base,hadamard,0,2,mlp.gate_proj,4096,12288,128,0,40.95281982421875,-1,128,True,10.468045254360632,1.5314375492945633,0.015314375492945634,0.007723873311961321,0.0078125,12288,0.6660596132278442,0.00780211528763175,nan
qwen3_8b_base,hadamard,0,3,mlp.down_proj,12288,4096,128,0,0.03766431659460068,-1,128,True,1.2769720708655157,1.0063411834973286,0.010063411834973286,0.007844211120789117,0.0078125,4096,0.6237255930900574,0.007827861234545708,nan
qwen3_8b_base,hadamard,1,0,self_attn.k_proj,4096,1024,128,0,40.95854568481445,-1,128,True,6.3442313583403696,1.2997722848540452,0.012997722848540451,0.007639931914030841,0.0078125,1024,0.6654003858566284,0.007823709398508072,nan
qwen3_8b_base,hadamard,1,0,self_attn.v_proj,4096,1024,128,0,40.95854568481445,-1,128,True,6.3442313583403696,1.2997722848540452,0.012997722848540451,0.007639931914030841,0.0078125,1024,0.6674706935882568,0.007835691794753075,nan
qwen3_8b_base,hadamard,1,0,self_attn.q_proj,4096,4096,128,0,40.95854568481445,-1,128,True,6.3442313583403696,1.2997722848540452,0.012997722848540451,0.007639931914030841,0.0078125,4096,0.6673120260238647,0.007988372817635536,nan
qwen3_8b_base,hadamard,1,1,self_attn.o_proj,4096,4096,128,0,0.022947387769818306,-1,128,True,11.630696698197346,1.6342791008879003,0.016342791008879004,0.0073996818749337,0.0078125,4096,0.6649389266967773,0.007860885933041573,nan
qwen3_8b_base,hadamard,1,2,mlp.up_proj,4096,12288,128,0,40.95884323120117,-1,128,True,7.330035747030769,1.3332712661693504,0.013332712661693506,0.007443224379130085,0.0078125,12288,0.6746330261230469,0.007956909947097301,nan
qwen3_8b_base,hadamard,1,2,mlp.gate_proj,4096,12288,128,0,40.95884323120117,-1,128,True,7.330035747030769,1.3332712661693504,0.013332712661693506,0.007443224379130085,0.0078125,12288,0.6990486979484558,0.008638588711619377,nan
qwen3_8b_base,hadamard,1,3,mlp.down_proj,12288,4096,128,0,0.031912289559841156,-1,128,True,1.7800767922492913,1.0235436737851913,0.010235436737851914,0.007854637548813407,0.0078125,4096,0.6229809522628784,0.007889190688729286,nan
qwen3_8b_base,hadamard,2,0,self_attn.k_proj,4096,1024,128,0,40.95918273925781,-1,128,True,7.039971139193476,1.3296197975495578,0.013296197975495578,0.007583496258422751,0.0078125,1024,0.6694824695587158,0.007982851006090641,nan
qwen3_8b_base,hadamard,2,0,self_attn.v_proj,4096,1024,128,0,40.95918273925781,-1,128,True,7.039971139193476,1.3296197975495578,0.013296197975495578,0.007583496258422751,0.0078125,1024,0.6669238209724426,0.007875025272369385,nan
qwen3_8b_base,hadamard,2,0,self_attn.q_proj,4096,4096,128,0,40.95918273925781,-1,128,True,7.039971139193476,1.3296197975495578,0.013296197975495578,0.007583496258422751,0.0078125,4096,0.6658667325973511,0.008024204522371292,nan
qwen3_8b_base,hadamard,2,1,self_attn.o_proj,4096,4096,128,0,0.02470559999346733,-1,128,True,11.079815615404527,1.4810740798600663,0.014810740798600664,0.007352904898825355,0.0078125,4096,0.6624902486801147,0.007814477197825909,nan
qwen3_8b_base,hadamard,2,2,mlp.up_proj,4096,12288,128,0,40.95927047729492,-1,128,True,8.109522081745888,1.3340402341885402,0.013340402341885401,0.0077566741363044155,0.0078125,12288,0.6833910942077637,0.007710402365773916,nan
qwen3_8b_base,hadamard,2,2,mlp.gate_proj,4096,12288,128,0,40.95927047729492,-1,128,True,8.109522081745888,1.3340402341885402,0.013340402341885401,0.0077566741363044155,0.0078125,12288,0.7006811499595642,0.008101427927613258,nan
qwen3_8b_base,hadamard,2,3,mlp.down_proj,12288,4096,128,0,0.02867705002427101,-1,128,True,1.5232521813446185,1.0074016382719297,0.010074016382719299,0.007825896662738804,0.0078125,4096,0.6220215559005737,0.007831117138266563,nan
qwen3_8b_base,hadamard,3,0,self_attn.k_proj,4096,1024,128,0,40.95940017700195,-1,128,True,7.309359829610037,1.2917196671504176,0.012917196671504177,0.0076081112791821165,0.0078125,1024,0.6668456792831421,0.008013948798179626,nan
qwen3_8b_base,hadamard,3,0,self_attn.v_proj,4096,1024,128,0,40.95940017700195,-1,128,True,7.309359829610037,1.2917196671504176,0.012917196671504177,0.0076081112791821165,0.0078125,1024,0.6653515696525574,0.007860362529754639,nan
qwen3_8b_base,hadamard,3,0,self_attn.q_proj,4096,4096,128,0,40.95940017700195,-1,128,True,7.309359829610037,1.2917196671504176,0.012917196671504177,0.0076081112791821165,0.0078125,4096,0.666079044342041,0.008041669614613056,nan
qwen3_8b_base,hadamard,3,1,self_attn.o_proj,4096,4096,128,0,0.04368416219949722,-1,128,True,8.174100888015756,1.4919117438107234,0.014919117438107234,0.008159908165755837,0.0078125,4096,0.6637011766433716,0.007740922272205353,nan
qwen3_8b_base,hadamard,3,2,mlp.up_proj,4096,12288,128,0,40.95949935913086,-1,128,True,7.414996495993599,1.301023734418571,0.01301023734418571,0.007460014333899267,0.0078125,12288,0.6758634448051453,0.00791345164179802,nan
qwen3_8b_base,hadamard,3,2,mlp.gate_proj,4096,12288,128,0,40.95949935913086,-1,128,True,7.414996495993599,1.301023734418571,0.01301023734418571,0.007460014333899267,0.0078125,12288,0.7034790515899658,0.007702328264713287,nan
qwen3_8b_base,hadamard,3,3,mlp.down_proj,12288,4096,128,0,0.07807530462741852,-1,128,True,1.5405309748057678,1.010485896743509,0.010104858967435092,0.007798301566572618,0.0078125,4096,0.6236596703529358,0.007858792319893837,nan
qwen3_8b_base,hadamard,4,0,self_attn.k_proj,4096,1024,128,0,40.95962905883789,-1,128,True,6.687691356218989,1.245606760417819,0.01245606760417819,0.007542165357140835,0.0078125,1024,0.6687207221984863,0.007890289649367332,nan
