tokens,model,k,nar_fused_ms,hadamard_fused_ms,down_matmul_ms,nar_over_hadamard,nar_over_matmul,hadamard_over_matmul,kernel_a_ms,kernel_b_nar_ms,kernel_b_hadamard_ms,kernel_a_backend,kernel_a_config,kernel_a_splits,kernel_b_nar_tile,kernel_b_hadamard_tile,transform_flop_over_matmul,variant,warmup,repetitions
1,llama31_8b,8,0.016053958016615282,0.005075121845489716,0.1907840016133645,3.163265534379733,0.0841472968427909,0.026601401598519574,0.009421168876344284,0.009102557572062875,0.005075121845489716,v2_triton_fp32,-,32,T1_w4_s1,T2_w4_s2,0.0047607421875,v3-two-launch-tensorcore,25,100
32,llama31_8b,8,0.027778871858922336,0.011002205749168808,0.19226963483017578,2.5248456984201524,0.14447872584487054,0.057222794222741534,0.011108852487790291,0.019688032707783968,0.011002205749168808,v2_triton_fp32,-,32,T16_w8_s3_dot,T4_w4_s2,0.0047607421875,v3-two-launch-tensorcore,25,100
2048,llama31_8b,8,0.445361624077215,0.28084185617427304,2.0343482125373114,1.585809288345008,0.21892103885290326,0.1380500419955132,0.20870787844513403,0.23830111151741398,0.28084185617427304,v2_triton_fp32,-,2,T8_w4_s2,T8_w4_s2,0.0047607421875,v3-two-launch-tensorcore,25,100
