panel,model,layer,method,metric,x,y,source_commit,source_file,source_csv_line,source_field,formula,x_unit,y_unit,round_for_display_only
a,llama32_3b,8,hadamard,f,8,0.0069520693386571,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,230,f,identity,layer index,dimensionless,True
a,llama32_3b,9,hadamard,f,9,0.0081199691499762,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,231,f,identity,layer index,dimensionless,True
a,llama32_3b,10,hadamard,f,10,0.0083947006893279,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,232,f,identity,layer index,dimensionless,True
a,llama32_3b,11,hadamard,f,11,0.0070354233895002,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,233,f,identity,layer index,dimensionless,True
a,llama32_3b,12,hadamard,f,12,0.00769367145245,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,234,f,identity,layer index,dimensionless,True
a,llama32_3b,13,hadamard,f,13,0.0071628767078137,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,235,f,identity,layer index,dimensionless,True
a,llama32_3b,14,hadamard,f,14,0.0060554186828932,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,236,f,identity,layer index,dimensionless,True
a,llama32_3b,15,hadamard,f,15,0.0083404827406217,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,237,f,identity,layer index,dimensionless,True
a,llama32_3b,16,hadamard,f,16,0.0074496196812225,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,238,f,identity,layer index,dimensionless,True
a,llama32_3b,17,hadamard,f,17,0.0097171972277649,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,239,f,identity,layer index,dimensionless,True
a,llama32_3b,18,hadamard,f,18,0.0118591416962116,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,240,f,identity,layer index,dimensionless,True
a,llama32_3b,19,hadamard,f,19,0.0054885925676284,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,241,f,identity,layer index,dimensionless,True
a,llama32_3b,20,hadamard,f,20,0.0095837276703341,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,242,f,identity,layer index,dimensionless,True
a,llama32_3b,21,hadamard,f,21,0.0059199161210476,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,243,f,identity,layer index,dimensionless,True
a,llama32_3b,22,hadamard,f,22,0.0078316073907243,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,244,f,identity,layer index,dimensionless,True
