kind,model,method,g,m,effective_bits,ppl,seeds,seed_ids,chunks,source_file,source_row,source_csv_line,formula,source_commit,source_run,retained_csv,retained_csv_line,k,k_category,site_kmax,site_k_actual,site_kmax_source,ppl_bf16,ppl_hadamard,ppl_k,recovery,bf16_source_file,hadamard_source_file,bf16_source_csv_line,hadamard_source_csv_line,protocol,share_percent,decoder_layer_ms,kernel_ms,selection,recovery_percent,metric,baseline,backend,mode,phase,batch,tokens,unit,source_key,numerator,denominator,session,statistic,value
point,llama31_8b,hadamard,256.0,2.0,4.1875,6.377215826945062,3,"[0, 1, 2]",64,results/llama31_8b/e20_summary.csv,hadamard_g256_m2,5,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama31_8b,hadamard,256.0,3.0,4.25,6.368741461051276,3,"[0, 1, 2]",64,results/llama31_8b/e20_summary.csv,hadamard_g256_m3,6,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama31_8b,nar,64.0,1.0,4.5,6.264503276116856,3,"[0, 1, 2]",64,results/llama31_8b/e20_summary.csv,nar_g64_m1,15,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama31_8b,nar,128.0,1.0,4.25,6.28664392351191,3,"[0, 1, 2]",64,results/llama31_8b/e20_summary.csv,nar_g128_m1,8,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama31_8b,nar,256.0,1.0,4.125,6.30502633556351,3,"[0, 1, 2]",64,results/llama31_8b/e20_summary.csv,nar_g256_m1,11,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama31_8b,nar,256.0,2.0,4.1875,6.304714954276931,3,"[0, 1, 2]",64,results/llama31_8b/e20_summary.csv,nar_g256_m2,12,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama31_8b,nar,256.0,3.0,4.25,6.302500403739203,3,"[0, 1, 2]",64,results/llama31_8b/e20_summary.csv,nar_g256_m3,13,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama31_8b,nar,128.0,2.0,4.375,6.28530992137538,3,"[0, 1, 2]",64,results/llama31_8b/e20_summary.csv,nar_g128_m2,9,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf16_reference,llama31_8b,bf16,,,,6.204425165181543,1,,64,results/llama31_8b/e20_summary.csv,bf16,2,,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a_8b.csv,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recovery,llama32_3b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_summary.csv,nar_b128_k8,11,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,2,8,8,"{""down"": 64, ""qkv"": 24}","{""down"": 8, ""qkv"": 8}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.7115904478206305,0.3858521046546738,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,38.58521046546738,,,,,,,,,,,,,,
