model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual,source_commit,source_file
llama32_3b,down_input,1,28,0.0043039031373525,3.475418560473324e-05,0.98609045854417,0.1633884638886623,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,29,0.004191608872257,3.384740503674039e-05,0.9861243059492066,0.1872341818482902,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,30,0.0039474048122034,3.187544773247993e-05,0.9861561813969392,0.1968562515439884,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,31,0.0038316797152745,3.094096306369452e-05,0.9861871223600028,0.2144284219479436,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,32,0.0036896110680399,2.9793753199291203e-05,0.9862169161132022,0.2026276654162406,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,33,0.0035572655978779,2.87250583687693e-05,0.9862456411715708,0.1823002556862748,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,34,0.0035486072364228,2.8655141762508168e-05,0.9862742963133334,0.1971397987550016,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,35,0.0033582302780562,2.7117840402605875e-05,0.986301414153736,0.202250402672425,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,36,0.0033103151659823,2.6730924004828387e-05,0.9863281450777408,0.2190690873231023,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,37,0.0032528927555001,2.6267235801799383e-05,0.9863544123135428,0.2360964500050752,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
