model,site,layer,method,nmse,evaluation_tokens,source_file,source_csv_line,source_row,source_column
llama32_3b,down,6,hadamard_full,0.009862349472154,8192,results/llama32_3b/e1c_per_layer.csv,140,down_input;layer=6;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,7,hadamard_full,0.0098996680367338,8192,results/llama32_3b/e1c_per_layer.csv,144,down_input;layer=7;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,8,hadamard_full,0.0099089343569041,8192,results/llama32_3b/e1c_per_layer.csv,148,down_input;layer=8;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,9,hadamard_full,0.0099066956435261,8192,results/llama32_3b/e1c_per_layer.csv,152,down_input;layer=9;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,10,hadamard_full,0.0098948720666587,8192,results/llama32_3b/e1c_per_layer.csv,156,down_input;layer=10;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,11,hadamard_full,0.0099016702236622,8192,results/llama32_3b/e1c_per_layer.csv,160,down_input;layer=11;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,12,hadamard_full,0.0098449062672605,8192,results/llama32_3b/e1c_per_layer.csv,164,down_input;layer=12;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,13,hadamard_full,0.0096112006643731,8192,results/llama32_3b/e1c_per_layer.csv,168,down_input;layer=13;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,14,hadamard_full,0.009824681026805,8192,results/llama32_3b/e1c_per_layer.csv,172,down_input;layer=14;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,15,hadamard_full,0.0097515205128904,8192,results/llama32_3b/e1c_per_layer.csv,176,down_input;layer=15;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,16,hadamard_full,0.0097278209617161,8192,results/llama32_3b/e1c_per_layer.csv,180,down_input;layer=16;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,17,hadamard_full,0.0097064671837662,8192,results/llama32_3b/e1c_per_layer.csv,184,down_input;layer=17;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,18,hadamard_full,0.0096679647615588,8192,results/llama32_3b/e1c_per_layer.csv,188,down_input;layer=18;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,19,hadamard_full,0.0096766648378214,8192,results/llama32_3b/e1c_per_layer.csv,192,down_input;layer=19;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,20,hadamard_full,0.009681620350346,8192,results/llama32_3b/e1c_per_layer.csv,196,down_input;layer=20;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,21,hadamard_full,0.0097084101974448,8192,results/llama32_3b/e1c_per_layer.csv,200,down_input;layer=21;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,22,hadamard_full,0.0096401783969742,8192,results/llama32_3b/e1c_per_layer.csv,204,down_input;layer=22;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,23,hadamard_full,0.0096216818339597,8192,results/llama32_3b/e1c_per_layer.csv,208,down_input;layer=23;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,24,hadamard_full,0.0097002233270727,8192,results/llama32_3b/e1c_per_layer.csv,212,down_input;layer=24;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,25,hadamard_full,0.0097683483553992,8192,results/llama32_3b/e1c_per_layer.csv,216,down_input;layer=25;method=hadamard_full,relative_quantization_error_nmse
