model,method,site,layer,f,mean_group_range,nmse,rows_used,groups_observed,slots,d,group_size,sample_stride,frozen_range,frozen_nmse,frozen_rows,evaluation_tokens,quantitative_source,null_space_source
llama31_8b,hadamard,down,6,0.0072414154107519,0.1737896526715547,0.0098905006571371,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,7,0.0077269374823852,0.1808806558615531,0.0099076961564971,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,8,0.0075330120191141,0.1892908727170135,0.009916567759876,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,9,0.0072313500008673,0.2022019979344804,0.0099158074929726,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,10,0.0074369934965114,0.2049089164221495,0.009638265370419,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,11,0.007785371089679,0.2096669937183963,0.0099147979791652,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,12,0.0076278589263292,0.2172343463898057,0.0099208922007583,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,13,0.007496262947434,0.2386188527473141,0.0099051136311241,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,14,0.007665631594824,0.2592437610694723,0.0098808622172434,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,15,0.0074833920695664,0.2912945011195883,0.0098570469195544,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,16,0.0081978712076682,0.3009824402381095,0.0098127420475938,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,17,0.0095706775778751,0.3299988467239733,0.0097594914416536,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,18,0.0082094699217975,0.3282983060016379,0.0097782597823514,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,19,0.0078778626134617,0.3348382078207643,0.0097799295829972,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,20,0.0103727964121262,0.3452046371408772,0.0097432775924711,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,21,0.0068441992311023,0.3825121135354103,0.0097589477245737,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,22,0.0064744070018805,0.3907900337377604,0.0097753585622727,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,23,0.0076418409775058,0.3943304665792279,0.0097688851155834,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
