panel,method,line_index,line_mean,line_max,tokens
a,raw,0,0.04557029902935028,0.3046875,512
a,raw,1,1.0307683944702148,6.78125,512
a,raw,2,0.27553790807724,2.25,512
a,raw,3,0.05655781924724579,0.82421875,512
a,raw,4,0.28358209133148193,1.140625,512
a,raw,5,0.05853217840194702,0.5859375,512
a,raw,6,0.057646457105875015,0.404296875,512
a,raw,7,0.051317647099494934,0.84765625,512
a,raw,8,1.8602452278137207,6.03125,512
a,raw,9,0.07046426832675934,0.87890625,512
a,raw,10,0.2780570685863495,1.9140625,512
a,raw,11,0.07451547682285309,0.8046875,512
a,raw,12,0.06968507170677185,1.359375,512
a,raw,13,0.31866759061813354,1.1171875,512
a,raw,14,0.060835860669612885,0.7421875,512
a,raw,15,0.04729742184281349,0.41015625,512
a,raw,16,0.06539671123027802,0.62890625,512
a,raw,17,0.051234155893325806,0.61328125,512
a,raw,18,0.045757412910461426,0.34765625,512
a,raw,19,0.06034408509731293,0.427734375,512
a,raw,20,0.044778455048799515,0.6328125,512
a,raw,21,0.11471033096313477,0.546875,512
a,raw,22,0.32712993025779724,2.28125,512
a,raw,23,0.34640419483184814,1.5078125,512
a,raw,24,0.06108850985765457,0.3046875,512
a,raw,25,0.20614024996757507,1.1640625,512
a,raw,26,0.07228800654411316,0.98828125,512
a,raw,27,0.06870180368423462,0.6484375,512
a,raw,28,0.19854645431041718,1.5234375,512
a,raw,29,0.06482531130313873,0.443359375,512
a,raw,30,0.11206948757171631,0.921875,512
a,raw,31,0.1514524221420288,0.83203125,512
a,raw,32,0.057206809520721436,1.1328125,512
a,raw,33,0.07328467071056366,0.96484375,512
a,raw,34,0.045037586241960526,0.373046875,512
a,raw,35,0.06754308938980103,0.60546875,512
a,raw,36,0.47510239481925964,2.25,512
a,raw,37,0.2547362148761749,1.5546875,512
a,raw,38,0.30770817399024963,1.4375,512
a,raw,39,0.2587215006351471,2.1875,512
a,raw,40,0.07974635809659958,0.7578125,512
a,raw,41,0.0791679173707962,0.75,512
a,raw,42,0.05633290112018585,0.265625,512
a,raw,43,0.14865079522132874,1.5859375,512
a,raw,44,0.04255165159702301,0.6875,512
a,raw,45,0.21294063329696655,3.34375,512
a,raw,46,0.06916281580924988,0.95703125,512
a,raw,47,0.1925434172153473,2.28125,512
a,raw,48,0.05838809907436371,0.8671875,512
a,raw,49,0.13423162698745728,1.0546875,512
a,raw,50,0.0669909194111824,1.203125,512
a,raw,51,0.03746647387742996,0.40234375,512
a,raw,52,0.04568440094590187,0.50390625,512
a,raw,53,0.05650094524025917,1.2421875,512
a,raw,54,0.07821003347635269,0.8515625,512
a,raw,55,0.052685413509607315,0.419921875,512
a,raw,56,0.1856938898563385,1.1171875,512
a,raw,57,0.07732337713241577,1.4375,512
a,raw,58,0.07338812947273254,2.125,512
a,raw,59,0.05803010240197182,0.388671875,512
a,raw,60,0.07140858471393585,0.5078125,512
a,raw,61,0.3079338073730469,7.40625,512
a,raw,62,0.910835325717926,5.53125,512
a,raw,63,0.07956387102603912,0.8203125,512
a,raw,64,0.25678950548171997,1.0,512
a,raw,65,0.0437735915184021,0.365234375,512
a,raw,66,0.09281836450099945,0.640625,512
a,raw,67,0.1517745852470398,0.984375,512
a,raw,68,0.08900122344493866,0.93359375,512
a,raw,69,0.052361756563186646,1.21875,512
a,raw,70,0.3104320466518402,4.15625,512
a,raw,71,0.051548704504966736,0.484375,512
a,raw,72,0.059411436319351196,0.65234375,512
a,raw,73,0.10117106139659882,1.359375,512
a,raw,74,0.06702345609664917,0.62109375,512
a,raw,75,0.10823273658752441,0.984375,512
a,raw,76,0.049927785992622375,0.859375,512
a,raw,77,0.051184821873903275,0.71875,512
a,raw,78,0.0601908378303051,0.94140625,512
a,raw,79,0.06087179481983185,0.515625,512
a,raw,80,0.09651274234056473,1.078125,512
a,raw,81,0.04494399577379227,0.43359375,512
a,raw,82,0.1385059803724289,1.2109375,512
a,raw,83,0.0387367345392704,0.443359375,512
a,raw,84,0.09194643050432205,0.333984375,512
a,raw,85,0.07312236726284027,1.0703125,512
a,raw,86,0.03911810740828514,0.427734375,512
a,raw,87,0.041526325047016144,1.1015625,512
a,raw,88,0.2027948498725891,4.40625,512
a,raw,89,0.07561072707176208,0.6796875,512
a,raw,90,0.05868667736649513,0.75390625,512
a,raw,91,0.07223142683506012,0.96875,512
a,raw,92,0.04905778542160988,0.8515625,512
a,raw,93,0.05746325105428696,1.6171875,512
a,raw,94,5.565523624420166,10.375,512
a,raw,95,0.07856176793575287,1.2109375,512
a,raw,96,0.042875200510025024,0.56640625,512
a,raw,97,0.062222063541412354,0.412109375,512
a,raw,98,0.4381694197654724,1.96875,512
a,raw,99,0.3596359193325043,1.1875,512
a,raw,100,0.0937710851430893,1.8515625,512
a,raw,101,0.06504879891872406,0.486328125,512
a,raw,102,0.06737624853849411,0.58984375,512
a,raw,103,0.09533717483282089,0.87890625,512
a,raw,104,0.05424226075410843,1.0234375,512
a,raw,105,0.05875910446047783,0.48828125,512
a,raw,106,0.06442760676145554,0.828125,512
a,raw,107,0.06763255596160889,0.94921875,512
a,raw,108,0.18632440268993378,0.9609375,512
a,raw,109,0.04796545207500458,0.486328125,512
a,raw,110,0.0724131315946579,0.96875,512
a,raw,111,0.2931586503982544,1.1953125,512
a,raw,112,0.06543205678462982,1.2578125,512
a,raw,113,0.3265119791030884,1.1171875,512
a,raw,114,0.06082010269165039,0.455078125,512
a,raw,115,0.08350418508052826,0.462890625,512
a,raw,116,0.14540332555770874,1.1015625,512
a,raw,117,0.09546474367380142,1.0625,512
a,raw,118,0.057852376252412796,0.40234375,512
a,raw,119,0.045691005885601044,0.455078125,512
a,raw,120,0.16624480485916138,1.0,512
a,raw,121,0.04670829325914383,0.427734375,512
a,raw,122,0.06209045648574829,0.47265625,512
a,raw,123,0.07206235826015472,1.1171875,512
a,raw,124,0.11463133990764618,0.86328125,512
a,raw,125,0.41369348764419556,2.015625,512
a,raw,126,0.04817041754722595,0.52734375,512
a,raw,127,0.048502497375011444,0.52734375,512
a,raw,128,0.050741344690322876,0.80078125,512
a,raw,129,0.04690062999725342,0.78125,512
a,raw,130,0.25569576025009155,2.90625,512
a,raw,131,0.06056058406829834,1.25,512
a,raw,132,0.13846807181835175,1.1328125,512
a,raw,133,0.12747395038604736,3.890625,512
a,raw,134,0.0794670432806015,0.4140625,512
a,raw,135,0.06246589124202728,0.43359375,512
a,raw,136,0.26049038767814636,0.91796875,512
a,raw,137,0.06449951231479645,0.84375,512
a,raw,138,0.1134849488735199,1.703125,512
a,raw,139,0.04888026416301727,0.99609375,512
a,raw,140,0.06800982356071472,0.63671875,512
a,raw,141,0.2025826871395111,2.796875,512
a,raw,142,0.054552704095840454,0.80078125,512
a,raw,143,0.06691792607307434,0.90234375,512
a,raw,144,0.06701522320508957,0.75390625,512
a,raw,145,0.06627274304628372,0.6484375,512
a,raw,146,0.29110217094421387,2.078125,512
a,raw,147,0.12233613431453705,1.40625,512
a,raw,148,0.08182568103075027,1.2265625,512
a,raw,149,0.091679148375988,0.62109375,512
a,raw,150,0.06981629133224487,0.796875,512
a,raw,151,0.2586989998817444,1.5078125,512
a,raw,152,0.04629439860582352,0.76953125,512
a,raw,153,0.18572068214416504,0.8515625,512
a,raw,154,0.06042427942156792,0.6328125,512
a,raw,155,0.14240384101867676,1.5234375,512
a,raw,156,0.08028020709753036,1.28125,512
a,raw,157,0.057261161506175995,0.470703125,512
a,raw,158,0.04922650381922722,0.640625,512
a,raw,159,0.056875064969062805,0.66015625,512
a,raw,160,0.10893098264932632,0.4296875,512
a,raw,161,0.16605986654758453,0.76953125,512
a,raw,162,0.06478153169155121,0.984375,512
a,raw,163,0.1459958255290985,0.65234375,512
a,raw,164,0.04734491556882858,0.298828125,512
a,raw,165,0.3157484233379364,3.96875,512
a,raw,166,0.32681435346603394,1.0703125,512
a,raw,167,0.045741356909275055,0.55859375,512
a,raw,168,0.061252083629369736,0.65625,512
a,raw,169,0.04814673215150833,0.5625,512
a,raw,170,0.3014272451400757,1.0546875,512
a,raw,171,0.38455653190612793,0.76953125,512
a,raw,172,0.2706056833267212,5.4375,512
a,raw,173,0.06872586905956268,0.66015625,512
a,raw,174,0.1316225826740265,1.78125,512
a,raw,175,0.11236272752285004,1.0,512
a,raw,176,0.05187642574310303,0.6875,512
a,raw,177,0.08423095941543579,0.890625,512
a,raw,178,0.05023937299847603,0.392578125,512
a,raw,179,0.05803724378347397,0.86328125,512
a,raw,180,0.08373861759901047,0.75,512
a,raw,181,0.2290966808795929,1.125,512
a,raw,182,0.050255101174116135,0.52734375,512
a,raw,183,0.8693141937255859,18.125,512
a,raw,184,0.1458442360162735,1.359375,512
a,raw,185,0.05634516477584839,0.5078125,512
a,raw,186,0.054904766380786896,0.734375,512
a,raw,187,0.051882557570934296,0.609375,512
a,raw,188,0.05908948555588722,0.5859375,512
a,raw,189,0.8306596875190735,4.21875,512
a,raw,190,0.0842766985297203,1.1875,512
a,raw,191,0.3025563359260559,1.3984375,512
a,raw,192,0.053010061383247375,0.423828125,512
a,raw,193,0.0853881984949112,0.68359375,512
a,raw,194,0.055279940366744995,0.5078125,512
a,raw,195,0.36075401306152344,0.75390625,512
a,raw,196,0.11414219439029694,1.875,512
a,raw,197,0.05913400650024414,0.7734375,512
a,raw,198,0.054689280688762665,0.51953125,512
a,raw,199,0.053714536130428314,0.44921875,512
a,raw,200,0.2547036409378052,1.8046875,512
a,raw,201,0.04744837433099747,0.68359375,512
a,raw,202,0.0865672379732132,1.015625,512
a,raw,203,0.11569912731647491,0.6171875,512
a,raw,204,0.05463346093893051,0.8828125,512
a,raw,205,0.07542026042938232,0.671875,512
a,raw,206,0.050555210560560226,0.625,512
a,raw,207,0.3639836013317108,1.7421875,512
a,raw,208,0.060889363288879395,0.85546875,512
a,raw,209,0.14778989553451538,0.76953125,512
a,raw,210,0.04808918386697769,0.73828125,512
a,raw,211,0.04706372693181038,0.28515625,512
a,raw,212,0.06175517290830612,1.25,512
a,raw,213,0.05716164782643318,0.8046875,512
a,raw,214,0.32858172059059143,1.5703125,512
a,raw,215,0.4770258665084839,4.9375,512
a,raw,216,0.2169591784477234,5.5625,512
a,raw,217,0.5999494194984436,3.25,512
a,raw,218,0.058494843542575836,0.5234375,512
a,raw,219,0.05361742526292801,0.97265625,512
a,raw,220,0.20433735847473145,5.03125,512
a,raw,221,0.05213357135653496,0.5703125,512
a,raw,222,0.36722588539123535,10.5625,512
a,raw,223,0.07851864397525787,0.80859375,512
a,raw,224,1.2924466133117676,7.8125,512
a,raw,225,0.03528563305735588,0.375,512
a,raw,226,0.12229858338832855,0.953125,512
a,raw,227,0.08596409857273102,1.4609375,512
a,raw,228,0.06250449270009995,0.87890625,512
a,raw,229,0.10256783664226532,0.76953125,512
a,raw,230,0.05934258550405502,0.9140625,512
a,raw,231,0.061359234154224396,0.625,512
a,raw,232,0.061534859240055084,0.373046875,512
a,raw,233,0.12447236478328705,0.92578125,512
a,raw,234,0.045616623014211655,0.6015625,512
a,raw,235,0.08797326683998108,0.69140625,512
a,raw,236,0.06260756403207779,1.1328125,512
a,raw,237,0.07208914309740067,0.384765625,512
a,raw,238,0.0634952262043953,0.82421875,512
a,raw,239,0.06912495195865631,0.9296875,512
a,raw,240,0.6676691770553589,4.46875,512
a,raw,241,0.15002161264419556,1.3984375,512
a,raw,242,0.11342120915651321,0.99609375,512
a,raw,243,0.10137007385492325,0.7734375,512
a,raw,244,0.03697317838668823,0.6171875,512
a,raw,245,0.2967480719089508,2.671875,512
a,raw,246,0.044214896857738495,0.74609375,512
a,raw,247,0.04931912198662758,1.0546875,512
a,raw,248,0.37245041131973267,1.5078125,512
a,raw,249,0.08254647254943848,1.1015625,512
a,raw,250,0.04399074241518974,2.15625,512
a,raw,251,0.05488095432519913,0.61328125,512
a,raw,252,0.11971385776996613,0.4140625,512
a,raw,253,0.03885357081890106,0.298828125,512
a,raw,254,0.06548049300909042,0.328125,512
a,raw,255,0.04096771031618118,0.435546875,512
a,raw,256,0.043131835758686066,0.474609375,512
a,raw,257,0.07341791689395905,0.75,512
a,raw,258,0.07171522825956345,0.9609375,512
a,raw,259,0.28896838426589966,7.6875,512
a,raw,260,0.05968240648508072,0.73046875,512
a,raw,261,0.07251550257205963,0.8828125,512
a,raw,262,0.07216338813304901,0.86328125,512
a,raw,263,0.053764283657073975,0.41015625,512
a,raw,264,0.10614955425262451,1.6171875,512
a,raw,265,0.06315220892429352,0.640625,512
a,raw,266,0.08315493166446686,0.80078125,512
a,raw,267,0.0465351939201355,0.5234375,512
a,raw,268,0.384188175201416,0.9765625,512
a,raw,269,0.10604359954595566,0.69921875,512
a,raw,270,0.0420059859752655,0.60546875,512
a,raw,271,0.07243252545595169,0.515625,512
a,raw,272,0.06193085387349129,1.0,512
a,raw,273,0.1398436427116394,0.66015625,512
a,raw,274,0.05502264201641083,0.5859375,512
a,raw,275,0.054629527032375336,0.90625,512
a,raw,276,0.0555620901286602,0.73046875,512
a,raw,277,0.1527356058359146,0.73828125,512
a,raw,278,0.09746433794498444,1.0234375,512
a,raw,279,0.07735379040241241,0.357421875,512
a,raw,280,0.1330140233039856,2.8125,512
a,raw,281,0.20812824368476868,1.2109375,512
a,raw,282,0.06221964955329895,0.51953125,512
a,raw,283,0.09359145164489746,1.4453125,512
a,raw,284,0.471280962228775,2.9375,512
a,raw,285,0.05119294673204422,0.578125,512
a,raw,286,0.04438110440969467,0.45703125,512
a,raw,287,0.36841094493865967,5.21875,512
a,raw,288,0.08305881917476654,0.84375,512
a,raw,289,0.07196962833404541,1.703125,512
a,raw,290,0.07351526618003845,0.80859375,512
a,raw,291,0.042794644832611084,0.3359375,512
a,raw,292,0.05056634545326233,0.470703125,512
a,raw,293,0.04636501893401146,0.609375,512
a,raw,294,0.046070147305727005,0.4921875,512
a,raw,295,0.049897730350494385,0.66015625,512
a,raw,296,0.2978151738643646,4.4375,512
a,raw,297,0.06834559142589569,1.484375,512
a,raw,298,0.041042882949113846,0.439453125,512
a,raw,299,0.0564395934343338,0.53515625,512
a,raw,300,0.049880500882864,0.296875,512
a,raw,301,0.31960636377334595,1.4453125,512
a,raw,302,0.05931263789534569,0.8671875,512
a,raw,303,0.054537057876586914,1.0078125,512
a,raw,304,0.6591975688934326,3.03125,512
a,raw,305,0.06337779760360718,1.0390625,512
a,raw,306,0.06037116423249245,0.9609375,512
a,raw,307,0.0897073894739151,1.1328125,512
a,raw,308,0.045935388654470444,0.70703125,512
a,raw,309,0.25844085216522217,0.8984375,512
a,raw,310,0.34314319491386414,1.921875,512
a,raw,311,0.050329841673374176,0.84765625,512
a,raw,312,0.1915806084871292,0.71484375,512
a,raw,313,0.06399613618850708,0.69921875,512
a,raw,314,0.08179803937673569,0.515625,512
a,raw,315,0.07347001135349274,0.466796875,512
a,raw,316,0.1014983206987381,2.0,512
a,raw,317,0.05912870913743973,0.94921875,512
a,raw,318,0.07248978316783905,1.21875,512
a,raw,319,0.10592186450958252,1.28125,512
a,raw,320,0.08064095675945282,0.82421875,512
a,raw,321,0.07362769544124603,1.0546875,512
a,raw,322,0.2678895592689514,1.484375,512
a,raw,323,0.03899513930082321,0.40625,512
a,raw,324,0.07399847358465195,0.91015625,512
