metric,model,method,baseline,backend,mode,phase,batch,tokens,k,unit,formula,source_commit,source_run,source_file,source_key,numerator,denominator,session,statistic,value
prefill_speedup,3b,hadamard,fp16,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,ratio,throughput_method / throughput_FP16,6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s3.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median"", ""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",12819.741405738194,10163.477746829489,2,paired session ratio,1.2616377533945182
prefill_speedup,3b,hadamard,fp16,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,ratio,throughput_method / throughput_FP16,6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s3.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median"", ""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",12819.741405738194,10163.477746829489,3,paired session ratio,1.2630833808954474
prefill_throughput,3b,nar,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,0,pooled median of 150 samples,12674.403951403634
prefill_throughput,3b,nar,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,1,session median,12677.745447661837
prefill_throughput,3b,nar,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,2,session median,12673.04569817978
prefill_throughput,3b,nar,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,3,session median,12673.353513007985
prefill_speedup,3b,nar,fp16,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,ratio,throughput_method / throughput_FP16,6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s3.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median"", ""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",12674.403951403634,10163.477746829489,0,ratio of pooled medians (150 samples per method),1.2470538399473972
prefill_speedup,3b,nar,fp16,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,ratio,throughput_method / throughput_FP16,6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s3.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median"", ""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",12674.403951403634,10163.477746829489,1,paired session ratio,1.2462664030871529
prefill_speedup,3b,nar,fp16,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,ratio,throughput_method / throughput_FP16,6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s3.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median"", ""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",12674.403951403634,10163.477746829489,2,paired session ratio,1.2475333020736172
prefill_speedup,3b,nar,fp16,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,ratio,throughput_method / throughput_FP16,6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_nar_eager_sequence_prefill1_s3.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median"", ""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",12674.403951403634,10163.477746829489,3,paired session ratio,1.2479642511640014
prefill_throughput,3b,fp16,,original binary; uniform0..255 cohort,eager_sequence,prefill16,16,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,0,pooled median of 150 samples,13985.12731595497
prefill_throughput,3b,fp16,,original binary; uniform0..255 cohort,eager_sequence,prefill16,16,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,1,session median,13915.92414964468
prefill_throughput,3b,fp16,,original binary; uniform0..255 cohort,eager_sequence,prefill16,16,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,2,session median,14004.62566586752
prefill_throughput,3b,fp16,,original binary; uniform0..255 cohort,eager_sequence,prefill16,16,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill16_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,3,session median,13986.463631565966
prefill_throughput,3b,hadamard,,original binary; uniform0..255 cohort,eager_sequence,prefill16,16,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill16_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill16_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill16_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,0,pooled median of 150 samples,17894.65647031316
prefill_throughput,3b,hadamard,,original binary; uniform0..255 cohort,eager_sequence,prefill16,16,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill16_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill16_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill16_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,1,session median,17894.858275106628
