record_type,model,site,layer,method,token,group,relative_channel,signed_value,group_mean,group_range,ecdf_probability,source
activation,llama32_3b,down_input,1,identity,0,11,39.0,-0.000762939453125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,40.0,0.000335693359375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,41.0,0.002960205078125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,42.0,-0.000339508056640625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,43.0,0.002960205078125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,44.0,-0.0023193359375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,45.0,0.00164794921875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,46.0,0.000659942626953125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,47.0,0.0006561279296875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,48.0,0.00016689300537109375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,49.0,0.0004024505615234375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,50.0,0.0022735595703125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,51.0,-0.0025787353515625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,52.0,5.0067901611328125e-05,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,53.0,0.0004177093505859375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
