rotation,chunks,reference_ppl,rotation_only_ppl,mean_nll_delta,max_abs_nll_delta,ppl_abs_difference,min_layer_top8_agreement,min_layer_argmax_agreement,passed
hadamard,64,5.968014761935995,5.9680195085953125,7.953494787216187e-07,0.0005208253860473633,4.746659317156343e-06,0.9978256225585938,0.99951171875,False
nar_k8,64,5.968014761935995,5.968003434443417,-1.8980354070663452e-06,0.0004911422729492188,1.1327492578594445e-05,0.9973602294921875,0.9994583129882812,False
nar_kmax,64,5.968014761935995,5.967946297075525,-1.1472031474113464e-05,0.0009639263153076172,6.846486047074052e-05,0.9967880249023438,0.9992904663085938,False
