layer,expert,routed_tokens,share_of_tokens
0,106,23434,0.08939361572265625
0,107,22347,0.08524703979492188
0,108,2152,0.008209228515625
0,109,12915,0.049266815185546875
0,110,28130,0.10730743408203125
0,111,20034,0.07642364501953125
0,112,19477,0.07429885864257812
0,113,1867,0.007122039794921875
0,114,6783,0.025875091552734375
0,115,733,0.002796173095703125
0,116,10497,0.040042877197265625
0,117,16602,0.06333160400390625
0,118,24217,0.09238052368164062
0,119,16051,0.061229705810546875
0,120,35942,0.13710784912109375
0,121,11452,0.0436859130859375
0,122,35878,0.13686370849609375
0,123,9528,0.036346435546875
0,124,30037,0.11458206176757812
0,125,9526,0.03633880615234375
0,126,25312,0.0965576171875
0,127,16489,0.06290054321289062
1,0,13,4.9591064453125e-05
1,1,7299,0.027843475341796875
1,2,30941,0.11803054809570312
1,3,18112,0.069091796875
1,4,4354,0.01660919189453125
1,5,3481,0.013278961181640625
1,6,21135,0.08062362670898438
1,7,18872,0.071990966796875
1,8,18802,0.07172393798828125
1,9,34559,0.13183212280273438
1,10,260,0.0009918212890625
1,11,15082,0.05753326416015625
1,12,6360,0.024261474609375
1,13,21954,0.08374786376953125
1,14,9090,0.03467559814453125
1,15,12462,0.04753875732421875
1,16,26578,0.10138702392578125
1,17,1583,0.006038665771484375
1,18,19672,0.075042724609375
1,19,15178,0.05789947509765625
1,20,14167,0.054042816162109375
1,21,6342,0.02419281005859375
1,22,1137,0.004337310791015625
1,23,20618,0.07865142822265625
1,24,7730,0.02948760986328125
1,25,25709,0.09807205200195312
1,26,10645,0.040607452392578125
1,27,16503,0.06295394897460938
1,28,25461,0.09712600708007812
1,29,24557,0.09367752075195312
1,30,10564,0.0402984619140625
1,31,13187,0.050304412841796875
1,32,6626,0.02527618408203125
1,33,4476,0.0170745849609375
1,34,18060,0.0688934326171875
1,35,2446,0.00933074951171875
1,36,1924,0.0073394775390625
1,37,6545,0.024967193603515625
1,38,16329,0.062290191650390625
1,39,15450,0.05893707275390625
1,40,14515,0.055370330810546875
1,41,13866,0.05289459228515625
1,42,3909,0.014911651611328125
1,43,2706,0.01032257080078125
1,44,4892,0.0186614990234375
1,45,29280,0.1116943359375
1,46,25681,0.09796524047851562
1,47,9807,0.037410736083984375
1,48,33550,0.12798309326171875
1,49,39607,0.15108871459960938
1,50,14420,0.0550079345703125
1,51,2061,0.007862091064453125
1,52,22149,0.08449172973632812
1,53,19022,0.07256317138671875
1,54,1503,0.005733489990234375
1,55,166,0.00063323974609375
1,56,5089,0.019412994384765625
1,57,11883,0.045330047607421875
1,58,16823,0.06417465209960938
1,59,744,0.002838134765625
1,60,30347,0.11576461791992188
1,61,6201,0.023654937744140625
1,62,25979,0.09910202026367188
1,63,65110,0.24837493896484375
1,64,50909,0.19420242309570312
1,65,10842,0.04135894775390625
1,66,13989,0.053363800048828125
1,67,37583,0.14336776733398438
1,68,19075,0.07276535034179688
1,69,11110,0.04238128662109375
1,70,43297,0.16516494750976562
1,71,67,0.000255584716796875
1,72,1110,0.00423431396484375
1,73,6578,0.02509307861328125
1,74,93263,0.3557701110839844
1,75,23535,0.08977890014648438
1,76,23247,0.08868026733398438
1,77,23301,0.08888626098632812
1,78,24039,0.09170150756835938
1,79,194,0.00074005126953125
1,80,8857,0.033786773681640625
1,81,58,0.00022125244140625
1,82,2665,0.010166168212890625
1,83,33932,0.1294403076171875
1,84,5985,0.022830963134765625
1,85,15681,0.059818267822265625
1,86,27647,0.10546493530273438
1,87,5241,0.019992828369140625
1,88,3819,0.014568328857421875
1,89,18453,0.07039260864257812
1,90,18354,0.07001495361328125
1,91,24867,0.09486007690429688
1,92,13511,0.051540374755859375
1,93,1860,0.0070953369140625
1,94,29473,0.11243057250976562
1,95,6860,0.0261688232421875
1,96,11437,0.043628692626953125
1,97,7433,0.028354644775390625
1,98,11454,0.04369354248046875
1,99,24134,0.09206390380859375
1,100,26726,0.10195159912109375
1,101,4731,0.018047332763671875
1,102,5892,0.0224761962890625
1,103,13081,0.049900054931640625
1,104,2291,0.008739471435546875
1,105,9427,0.035961151123046875
1,106,17485,0.06669998168945312
1,107,28761,0.10971450805664062
1,108,9560,0.036468505859375
1,109,4301,0.016407012939453125
1,110,26,9.918212890625e-05
1,111,60750,0.23174285888671875
1,112,230,0.00087738037109375
1,113,16427,0.06266403198242188
1,114,26869,0.10249710083007812
1,115,24787,0.09455490112304688
1,116,29754,0.11350250244140625
1,117,2881,0.010990142822265625
1,118,24,9.1552734375e-05
1,119,6277,0.023944854736328125
1,120,291,0.001110076904296875
1,121,2997,0.011432647705078125
1,122,125339,0.4781303405761719
1,123,14639,0.055843353271484375
1,124,20393,0.07779312133789062
1,125,3115,0.011882781982421875
1,126,11685,0.044574737548828125
1,127,40980,0.1563262939453125
2,0,11787,0.044963836669921875
2,1,161,0.000614166259765625
2,2,13888,0.052978515625
2,3,75,0.000286102294921875
2,4,69059,0.2634391784667969
2,5,272,0.00103759765625
2,6,14543,0.055477142333984375
2,7,22876,0.0872650146484375
2,8,24185,0.09225845336914062
2,9,23497,0.08963394165039062
2,10,9204,0.0351104736328125
2,11,2085,0.007953643798828125
2,12,17923,0.06837081909179688
2,13,404,0.0015411376953125
2,14,24170,0.09220123291015625
2,15,14184,0.054107666015625
2,16,20394,0.07779693603515625
2,17,12722,0.04853057861328125
2,18,723,0.002758026123046875
2,19,0,0.0
2,20,1163,0.004436492919921875
2,21,1881,0.007175445556640625
2,22,9122,0.03479766845703125
2,23,1183,0.004512786865234375
2,24,10808,0.041229248046875
2,25,1047,0.003993988037109375
2,26,2,7.62939453125e-06
2,27,16985,0.06479263305664062
2,28,7,2.6702880859375e-05
2,29,16805,0.06410598754882812
2,30,11013,0.042011260986328125
2,31,1322,0.00504302978515625
2,32,17,6.4849853515625e-05
2,33,359,0.001369476318359375
2,34,57,0.000217437744140625
2,35,8,3.0517578125e-05
2,36,1893,0.007221221923828125
2,37,3131,0.011943817138671875
2,38,31160,0.118865966796875
2,39,11,4.1961669921875e-05
2,40,45516,0.1736297607421875
2,41,23373,0.08916091918945312
2,42,1456,0.00555419921875
2,43,95,0.000362396240234375
2,44,4691,0.017894744873046875
2,45,24543,0.09362411499023438
2,46,30209,0.11523818969726562
2,47,1333,0.005084991455078125
