layer,expert,routed_tokens,rows,f_at_k6,range_nar_over_hadamard,predicted_sqrt_1_minus_f
0,0,18968,256,0.20519219175144793,0.8157233767027214,0.891519942709389
0,1,6634,256,0.8467800498593461,0.40681168099314674,0.3914332001001626
0,2,12994,256,0.1754027087375868,0.800125647967498,0.9080733953059154
0,3,13858,256,0.11672642603809448,0.7268843661316133,0.9398263530897106
0,4,16711,256,0.1518987135464589,0.8345327387104106,0.9209241480456146
0,5,83,83,0.09778470485033593,0.5078497625514343,0.9498501435224738
0,6,6879,256,0.27449167723057877,0.7614616900941776,0.851767763401164
0,7,12381,256,0.15915837394540358,0.821781773267289,0.9169741686953872
0,8,3704,256,0.8773042942519833,0.3365891081554688,0.35027946806516747
0,9,4419,256,0.17134519873514417,0.8585185948930381,0.9103047848192691
0,11,13828,256,0.2054879913899515,0.7020791201967929,0.8913540310168842
0,12,17522,256,0.10124785159114566,0.7485224257815144,0.9480253943902844
0,13,20234,256,0.528049934035488,0.5520894739699395,0.6869862196321787
0,14,28533,256,0.32123580331839063,0.7819852349613491,0.8238714685444626
0,16,13288,256,0.3458036510060643,0.6618651523114395,0.8088240531746912
0,17,9411,256,0.182413824754497,0.8051502524122791,0.9042047197651111
0,18,11907,256,0.11788043259436967,0.8864732914026536,0.9392122057371435
0,19,483,256,0.07924568799185358,0.7303357136707063,0.9595594364124331
0,20,1393,256,0.22229543920267927,0.31764733272059015,0.8818755925850997
0,21,24163,256,0.16129059749848987,0.8005085171546942,0.9158107896839337
0,22,6165,256,0.14963423281280008,0.8772144497114847,0.9221527895024771
0,23,12628,256,0.17141261036670316,0.8223734218617715,0.9102677571095753
0,24,18018,256,0.16154688616457988,0.877604719603139,0.915670854529847
0,25,360,256,0.09245124964965362,0.596779317086797,0.9526535311173451
0,26,12090,256,0.6077742671976933,0.5584058423035081,0.6262792770021268
0,27,13742,256,0.39590610231231105,0.6836162806101522,0.7772347764271031
0,28,77043,256,0.09774341291922854,0.9022187670491971,0.9498718792978196
0,29,24185,256,0.15012759825371713,0.83509680620602,0.9218852432631096
0,30,11225,256,0.16945020402380656,0.6664398142165879,0.9113450477048709
0,31,23577,256,0.3758732261282838,0.724317658891346,0.7900169453066916
0,32,10426,256,0.2710349888132176,0.6658593828952014,0.8537944783065667
0,33,35891,256,0.1983574113302798,0.7927301251642426,0.8953449551260789
0,34,18367,256,0.13508474202671455,0.8017267482515636,0.9300082031752652
0,35,8187,256,0.8286736842937775,0.31743030467361794,0.4139158316689789
0,36,269,256,0.07062675991448686,0.7217753893144485,0.9640400614525898
