model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,nar_kmax,0,0,self_attn.k_proj,4096,1024,128,0,40.89909744262695,-1,128,True,3.6595577484440214,1.0636976445180233,0.010636976445180232,0.007324127781690017,0.0078125,0.04406243263972986,58.95486414139244,1024,0.665830135345459,0.007592714857310057,nan
qwen3_8b_base,nar_kmax,0,0,self_attn.v_proj,4096,1024,128,0,40.89909744262695,-1,128,True,3.6595577484440214,1.0636976445180233,0.010636976445180232,0.007324127781690017,0.0078125,0.04406243263972986,58.95486414139244,1024,0.6664941310882568,0.0077529530972242355,nan
qwen3_8b_base,nar_kmax,0,0,self_attn.q_proj,4096,4096,128,0,40.89909744262695,-1,128,True,3.6595577484440214,1.0636976445180233,0.010636976445180232,0.007324127781690017,0.0078125,0.04406243263972986,58.95486414139244,4096,0.6660082936286926,0.007607685402035713,nan
qwen3_8b_base,nar_kmax,0,1,self_attn.o_proj,4096,4096,128,0,0.013277820311486721,-1,128,True,7.78690054213891,1.4114853460540802,0.014114853460540802,0.007896781687490416,0.0078125,0.09534932077264603,10.66843470061801,4096,0.6459668278694153,0.008013474754989147,nan
qwen3_8b_base,nar_kmax,0,2,mlp.up_proj,4096,12288,128,0,40.952816009521484,-1,128,True,29.19928470867721,2.139684241663768,0.02139684241663768,0.00848901349685754,0.0078125,0.31406934129791003,2.0501525592534033,12288,0.6655526161193848,0.007748992647975683,nan
qwen3_8b_base,nar_kmax,0,2,mlp.gate_proj,4096,12288,128,0,40.952816009521484,-1,128,True,29.19928470867721,2.139684241663768,0.02139684241663768,0.00848901349685754,0.0078125,0.31406934129791003,2.0501525592534033,12288,0.6646558046340942,0.007784401066601276,nan
qwen3_8b_base,nar_kmax,0,3,mlp.down_proj,12288,4096,128,0,0.037527263164520264,-1,128,True,3.2245329753890517,1.0655519088823477,0.010655519088823479,0.007847207715727252,0.0078125,0.2041927667100633,654.274695162568,4096,0.6227880716323853,0.007810960523784161,nan
qwen3_8b_base,nar_kmax,1,0,self_attn.k_proj,4096,1024,128,0,40.95854568481445,-1,128,True,11.307315562919236,1.6070753918107323,0.016070753918107323,0.0076977704872912426,0.0078125,0.2773533643844827,3.7929516273137622,1024,0.665097713470459,0.00763379642739892,nan
qwen3_8b_base,nar_kmax,1,0,self_attn.v_proj,4096,1024,128,0,40.95854568481445,-1,128,True,11.307315562919236,1.6070753918107323,0.016070753918107323,0.0076977704872912426,0.0078125,0.2773533643844827,3.7929516273137622,1024,0.6669824123382568,0.007646700367331505,nan
qwen3_8b_base,nar_kmax,1,0,self_attn.q_proj,4096,4096,128,0,40.95854568481445,-1,128,True,11.307315562919236,1.6070753918107323,0.016070753918107323,0.0076977704872912426,0.0078125,0.2773533643844827,3.7929516273137622,4096,0.6641601324081421,0.007615856826305389,nan
