model,site,layer,method,seed,n,k,group_size,evaluation_tokens,evaluation_rule,f,subspace_projection_fraction,selected_numerical_rank,top8_angles_include_null_completion,sqrt_one_minus_f,mean_group_range,relative_quantization_error_nmse,paired_hadamard_range,range_over_paired_hadamard,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,angle_1_degrees_vs_A_top8,angle_2_degrees_vs_A_top8,angle_3_degrees_vs_A_top8,angle_4_degrees_vs_A_top8,angle_5_degrees_vs_A_top8,angle_6_degrees_vs_A_top8,angle_7_degrees_vs_A_top8,angle_8_degrees_vs_A_top8,angles_mean_degrees_vs_A_top8,factor_file
llama31_8b,down,0,A_full,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.7974538761703642,0.7974533927952926,112,False,0.45005124578167294,0.020688203744505276,0.001304846994252269,0.034589970611812806,0.5980983325102929,0.4019016674897071,-0.0028106648042037054,0.0,0.0,0.0,2.4148365394514667e-06,3.4150945850063763e-06,4.00455336570039e-06,5.399738656763835e-06,5.399738656763835e-06,2.579245225460738e-06,activations/llama31_8b/activation_factors/down_layer_00.pt
llama31_8b,down,0,A_full,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.7974538761263414,0.7974533927952926,112,False,0.45005124583058154,0.020685563308074757,0.0013049353912402877,0.03458161640185559,0.5981664670528473,0.40183353294715274,-0.00280251752682935,0.0,0.0,0.0,2.4148365394514667e-06,3.4150945850063763e-06,4.00455336570039e-06,5.399738656763835e-06,5.399738656763835e-06,2.579245225460738e-06,activations/llama31_8b/activation_factors/down_layer_00.pt
llama31_8b,down,0,A_full,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.797453878459047,0.7974533927952926,112,False,0.4500512432389816,0.02068587219195983,0.001305346294778664,0.03459506497357064,0.5979428628841448,0.4020571371158552,-0.00280175560918116,0.0,0.0,0.0,2.4148365394514667e-06,3.4150945850063763e-06,4.00455336570039e-06,5.399738656763835e-06,5.399738656763835e-06,2.579245225460738e-06,activations/llama31_8b/activation_factors/down_layer_00.pt
llama31_8b,down,0,B_top1,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.7298547194699943,0.7298544284202179,1,True,0.5197550197256451,0.023860184378274567,0.001648070245808899,0.034589970611812806,0.6898006548212009,0.3101993451787991,-0.0024674415526470756,0.18545796738303602,87.81652488631876,88.25601625994193,88.61651271940744,89.14761337787692,89.49833049801383,89.81216937794865,89.9767828866891,77.91367599669746,activations/llama31_8b/e27/factors/B_top1/down_layer_00.pt
llama31_8b,down,0,B_top1,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.7298547194486097,0.7298544284202179,1,True,0.5197550197462169,0.023868390056217936,0.0016491999169204082,0.03458161640185559,0.6902045809211277,0.3097954190788723,-0.0024582530011492297,0.18545796738303602,87.81652488631876,88.25601625994193,88.61651271940744,89.14761337787692,89.49833049801383,89.81216937794865,89.9767828866891,77.91367599669746,activations/llama31_8b/e27/factors/B_top1/down_layer_00.pt
llama31_8b,down,0,B_top1,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.7298547194454595,0.7298544284202179,1,True,0.5197550197492473,0.023862944951503262,0.0016484412256660527,0.03459506497357064,0.6897788736553515,0.3102211263446485,-0.002458660678293771,0.18545796738303602,87.81652488631876,88.25601625994193,88.61651271940744,89.14761337787692,89.49833049801383,89.81216937794865,89.9767828866891,77.91367599669746,activations/llama31_8b/e27/factors/B_top1/down_layer_00.pt
llama31_8b,down,0,B_top1_no_bos,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.013087294462218544,0.013087290505061822,128,False,0.9934348018555528,0.024306152745080228,0.001739011349686615,0.034589970611812806,0.7026936512278922,0.2973063487721078,-0.0023765004487693595,44.79638910867011,72.68240073654538,84.16006914928565,87.76998244316721,89.30637192242497,89.6357373898578,89.73273034955217,89.89594611032518,80.99745340122855,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_00.pt
llama31_8b,down,0,B_top1_no_bos,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.013087294364207388,0.013087290505061822,128,False,0.9934348019048822,0.02431360564077318,0.0017607510934281483,0.03458161640185559,0.7030789237332629,0.29692107626673714,-0.0023467018246414893,44.79638910867011,72.68240073654538,84.16006914928565,87.76998244316721,89.30637192242497,89.6357373898578,89.73273034955217,89.89594611032518,80.99745340122855,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_00.pt
llama31_8b,down,0,B_top1_no_bos,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.013087294362340846,0.013087290505061822,128,False,0.9934348019058217,0.02430591686726369,0.0017501674992605886,0.03459506497357064,0.7025833564941275,0.2974166435058725,-0.0023569344046992353,44.79638910867011,72.68240073654538,84.16006914928565,87.76998244316721,89.30637192242497,89.6357373898578,89.73273034955217,89.89594611032518,80.99745340122855,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_00.pt
llama31_8b,down,0,C_top1pct,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.7448082132319461,0.7448076463425222,-1,False,0.5051651084230322,0.023499661190681347,0.0015860369871482875,0.034589970611812806,0.679377888301992,0.320622111698008,-0.002529474811307687,0.1833862873784827,26.381333686885508,47.37309443232493,81.04198410651455,89.07113577578443,89.30416499164811,89.34669602021317,89.96257777543099,64.08304663452252,activations/llama31_8b/e27/factors/C_top1pct/down_layer_00.pt
