model,method,seed,source,max_relative_weight_fold_error
llama31_8b,hadamard_g128_asym,20260902,reused_verbatim_from_e5,0.002829507924616337
llama31_8b,hadamard_g128_asym,20260903,reused_verbatim_from_e5,0.00265508727170527
llama31_8b,hadamard_g128_asym,20260904,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,nar_b128_kmax,20260902,reused_verbatim_from_e5,0.0024750870652496815
llama31_8b,nar_b128_kmax,20260903,reused_verbatim_from_e5,0.0024860042612999678
llama31_8b,nar_b128_kmax,20260904,reused_verbatim_from_e5,0.0025407595094293356
llama31_8b,smoothquant_hadamard_g128_asym,20260902,e11_new,0.009064318612217903
llama31_8b,smoothquant_hadamard_g128_asym,20260903,e11_new,0.008075496181845665
llama31_8b,smoothquant_hadamard_g128_asym,20260904,e11_new,0.010634638369083405
llama31_8b,duquant_style_g128_asym,20260902,e11_new,0.002731841756030917
llama31_8b,duquant_style_g128_asym,20260903,e11_new,0.002622191794216633
llama31_8b,duquant_style_g128_asym,20260904,e11_new,0.0028675622306764126
llama31_8b,hadamard_token_symmetric,20260902,e11_new,0.002712063491344452
llama31_8b,hadamard_token_symmetric,20260903,e11_new,0.002732634311541915
llama31_8b,hadamard_token_symmetric,20260904,e11_new,0.002984254388138652
llama31_8b,hadamard_token_asymmetric,20260902,e11_new,0.002712063491344452
llama31_8b,hadamard_token_asymmetric,20260903,e11_new,0.002732634311541915
llama31_8b,hadamard_token_asymmetric,20260904,e11_new,0.002984254388138652
llama31_8b,nar_b64_kmax,20260902,e11_new,0.003291889326646924
llama31_8b,nar_b64_kmax,20260903,e11_new,0.002951733535155654
llama31_8b,nar_b64_kmax,20260904,e11_new,0.0030051348730921745
llama31_8b,nar_b256_kmax,20260902,e11_new,0.0026774636935442686
llama31_8b,nar_b256_kmax,20260903,e11_new,0.002746546408161521
llama31_8b,nar_b256_kmax,20260904,e11_new,0.0030028405599296093
llama31_8b,nar_b128_k8,20260902,e11_new,0.0026618740521371365
llama31_8b,nar_b128_k8,20260903,e11_new,0.002958739874884486
llama31_8b,nar_b128_k8,20260904,e11_new,0.003144575282931328
llama31_8b,nar_b128_k16,20260902,e11_new,0.0031087161041796207
llama31_8b,nar_b128_k16,20260903,e11_new,0.0030551364179700613
llama31_8b,nar_b128_k16,20260904,e11_new,0.0025633752811700106
llama31_8b,nar_b128_k32,20260902,e11_new,0.00261338846758008
llama31_8b,nar_b128_k32,20260903,e11_new,0.0026862267404794693
llama31_8b,nar_b128_k32,20260904,e11_new,0.00265182601287961
