model,site,layer,requested_k,realized_k,orthogonality_error,reconstructed_k32_reflector_error,source_file,source_sha256
llama31_8b,down,0,64,64,7.152557373046875e-07,1.996522769331932e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_00.pt,450c59814356003710437be9308ea4be6f3f68b38fc1ca68c4ec4526512a04d6
llama31_8b,down,1,64,64,5.960464477539062e-07,1.7881393432617188e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_01.pt,b1e00bdda0461c79e975fc9b2ee33aa4d34bdeed0f54a0272ee72591835dd169
llama31_8b,down,2,64,64,4.172325134277344e-07,1.364387571811676e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_02.pt,c56622dd113238aa17b801fee71b1cbff65d7a8023e9e2633b3d72bf7ade076a
llama31_8b,down,3,64,64,5.364418029785156e-07,1.5925616025924683e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_03.pt,c3ab94de254976fceb95b55cdc2a7178f2aebb2f8d1fa9514af9e08161cf56cf
llama31_8b,down,4,64,64,5.364418029785156e-07,1.4784745872020721e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_04.pt,aea37dd8f5fa5fbe265cec8758de7f54cf01e0a445e02d17d7e2fee712ff50f1
llama31_8b,down,5,64,64,4.76837158203125e-07,2.5890767574310303e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_05.pt,76cbd4bc545b3bb0877f4a828552968add3c6c3306e3bf5b8f0481bba8a14974
llama31_8b,down,6,64,64,5.960464477539062e-07,1.4156103134155273e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_06.pt,e89275b5db339b30004e0669e510b5b5d66b1a3d3a8a82d6ea2d944d3dbd9ad7
llama31_8b,down,7,64,64,4.76837158203125e-07,1.4621764421463013e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_07.pt,1a07c9d49605635a127efc030021b834d7898d9eafda18b77fb973817f747753
llama31_8b,down,8,64,64,5.960464477539062e-07,1.494772732257843e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_08.pt,3f07e1609c48b6d00c4697e67bb5e30054569f9739952bdab2e8845e4a1e4ec0
llama31_8b,down,9,64,64,4.76837158203125e-07,1.4156103134155273e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_09.pt,5043ab768c61eea6c5abb461d1fcd494fa6e0d428cc0bcb0696483e8413b751a
llama31_8b,down,10,64,64,4.76837158203125e-07,1.2153759598731995e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_10.pt,ae87fc6df9b768fd7e33715d59113ea28b15339368f93ed34c6aa2e4726c0576
llama31_8b,down,11,64,64,3.5762786865234375e-07,1.2945383787155151e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_11.pt,d87ef7f4ae6630de1cb7b2e72cf226b2acbcb0cb38435ab1a6cfc3182bedd0e5
llama31_8b,down,12,64,64,4.76837158203125e-07,1.6798730939626694e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_12.pt,b042bcf1ea2d752c4d46a8147b27624a04056058bb47dee92af6a46e31058bb3
llama31_8b,down,13,64,64,4.76837158203125e-07,1.8442915461491793e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_13.pt,80e0a0e76ad48a7563140ec6a90bfafe1be982bec5da6cbd780fa9b2880b7204
llama31_8b,down,14,64,64,4.76837158203125e-07,1.2246891856193542e-07,activations/llama31_8b/e11_calibration/factors/nar_b64_kmax/down_layer_14.pt,85bcc847f6b99364e9ee128646ec582984110754ef0e5819785a1737367c6993
