model,site,method,seed,E5_ppl,E27_ppl,hardware_replay_ppl_delta
llama31_8b,qkv_only,A_full,20260902,6.224493533310778,6.224493533310778,0.0
llama31_8b,qkv_only,A_full,20260903,6.225829319628698,6.225829319628698,0.0
llama31_8b,qkv_only,A_full,20260904,6.22318730228826,6.22318730228826,0.0
llama31_8b,qkv_only,hadamard,20260902,6.24021860315123,6.24021860315123,0.0
llama31_8b,qkv_only,hadamard,20260903,6.2520253288733745,6.2520253288733745,0.0
llama31_8b,qkv_only,hadamard,20260904,6.236557880446789,6.236557880446789,0.0
llama31_8b,both,A_full,20260902,6.284582224006237,6.284582224006237,0.0
llama31_8b,both,A_full,20260903,6.287477829995669,6.287477829995669,0.0
llama31_8b,both,A_full,20260904,6.282722787109382,6.282722787109382,0.0
llama31_8b,both,hadamard,20260902,6.344972455009026,6.344972455009026,0.0
llama31_8b,both,hadamard,20260903,6.346476989772133,6.346476989772133,0.0
llama31_8b,both,hadamard,20260904,6.347332952158155,6.347332952158155,0.0
llama31_8b,down_only,A_full,20260902,6.261501859854854,6.261501859854854,0.0
llama31_8b,down_only,A_full,20260903,6.262386417591523,6.262386417591523,0.0
llama31_8b,down_only,A_full,20260904,6.2626222569894985,6.2626222569894985,0.0
llama31_8b,down_only,hadamard,20260902,6.315157126729065,6.315157126729065,0.0
llama31_8b,down_only,hadamard,20260903,6.3132555056017035,6.3132555056017035,0.0
llama31_8b,down_only,hadamard,20260904,6.317833705749444,6.317833705749444,0.0
