model,method,seed,sequence,nll,tokens_scored,alpha,smoothing_sites,weight_fold_max_relative_error
llama31_8b,smoothquant_a065_both,20260902,0,1.6077759265899658,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,1,2.215049982070923,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,2,2.285956382751465,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,3,1.8608014583587646,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,4,1.7412827014923096,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,5,1.3218917846679688,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,6,1.370368242263794,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,7,1.7181761264801025,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,8,2.0350914001464844,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,9,1.8535284996032715,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,10,1.7565845251083374,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,11,2.0812273025512695,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,12,1.9842358827590942,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,13,2.0827701091766357,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,14,2.0067243576049805,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,15,2.2368290424346924,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,16,1.9519075155258179,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,17,1.9409064054489136,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,18,1.6054388284683228,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,19,1.8861534595489502,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,20,1.9937621355056763,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,21,1.962884545326233,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,22,1.958187222480774,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,23,2.020979166030884,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,24,2.071571111679077,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,25,2.1863045692443848,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,26,2.2564125061035156,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,27,2.0885732173919678,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,28,1.8089752197265625,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,29,1.6295808553695679,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,30,1.4675500392913818,2047,0.65,qkv+down,0.09688147902488708
llama31_8b,smoothquant_a065_both,20260902,31,1.4809942245483398,2047,0.65,qkv+down,0.09688147902488708
