model,row,seed,site,round_trip_relative_error,tolerance
llama31_8b,hadamard_g64_m1,0,qkv,1.3399561282767536e-07,1e-06
llama31_8b,hadamard_g64_m1,0,down,1.9354946800831385e-07,1e-06
llama31_8b,hadamard_g64_m1,1,qkv,1.326903884546482e-07,1e-06
llama31_8b,hadamard_g64_m1,1,down,1.9477303681014746e-07,1e-06
llama31_8b,hadamard_g64_m1,2,qkv,1.348382880905774e-07,1e-06
llama31_8b,hadamard_g64_m1,2,down,1.9384626170904085e-07,1e-06
llama31_8b,hadamard_g128_m1,0,qkv,1.3506577545285836e-07,1e-06
llama31_8b,hadamard_g128_m1,0,down,1.9571550069485966e-07,1e-06
llama31_8b,hadamard_g128_m1,1,qkv,1.3368179452299955e-07,1e-06
llama31_8b,hadamard_g128_m1,1,down,1.946100525174188e-07,1e-06
llama31_8b,hadamard_g128_m1,2,qkv,1.3420604716429807e-07,1e-06
llama31_8b,hadamard_g128_m1,2,down,1.9404743056838925e-07,1e-06
llama31_8b,hadamard_g256_m1,0,qkv,1.329923264847821e-07,1e-06
llama31_8b,hadamard_g256_m1,0,down,1.9351648461451987e-07,1e-06
llama31_8b,hadamard_g256_m1,1,qkv,1.3337439952465502e-07,1e-06
llama31_8b,hadamard_g256_m1,1,down,1.9485342761527136e-07,1e-06
llama31_8b,hadamard_g256_m1,2,qkv,1.3285132638429786e-07,1e-06
llama31_8b,hadamard_g256_m1,2,down,1.9431392672686343e-07,1e-06
llama31_8b,hadamard_g256_m2,0,qkv,1.3311296243045945e-07,1e-06
llama31_8b,hadamard_g256_m2,0,down,1.9483447033508128e-07,1e-06
llama31_8b,hadamard_g256_m2,1,qkv,1.3292513756368862e-07,1e-06
llama31_8b,hadamard_g256_m2,1,down,1.935018332233085e-07,1e-06
llama31_8b,hadamard_g256_m2,2,qkv,1.3310592805737542e-07,1e-06
llama31_8b,hadamard_g256_m2,2,down,1.9457604594208533e-07,1e-06
llama31_8b,hadamard_g256_m3,0,qkv,1.3454436498250288e-07,1e-06
llama31_8b,hadamard_g256_m3,0,down,1.947195045204353e-07,1e-06
llama31_8b,hadamard_g256_m3,1,qkv,1.340684718798002e-07,1e-06
llama31_8b,hadamard_g256_m3,1,down,1.94619872218027e-07,1e-06
llama31_8b,hadamard_g256_m3,2,qkv,1.3402207343915506e-07,1e-06
llama31_8b,hadamard_g256_m3,2,down,1.9451481136911752e-07,1e-06
llama31_8b,nar_g64_m1,0,qkv,2.421245142159023e-07,1e-06
llama31_8b,nar_g64_m1,0,down,4.019637742658233e-07,1e-06
llama31_8b,nar_g64_m1,1,qkv,2.3848548380556167e-07,1e-06
llama31_8b,nar_g64_m1,1,down,4.015369370335975e-07,1e-06
llama31_8b,nar_g64_m1,2,qkv,2.4114066832225944e-07,1e-06
llama31_8b,nar_g64_m1,2,down,4.026495616926695e-07,1e-06
llama31_8b,nar_g128_m1,0,qkv,1.9546078533494438e-07,1e-06
llama31_8b,nar_g128_m1,0,down,2.97678184324468e-07,1e-06
llama31_8b,nar_g128_m1,1,qkv,1.9376122395442508e-07,1e-06
llama31_8b,nar_g128_m1,1,down,2.9861504913242243e-07,1e-06
llama31_8b,nar_g128_m1,2,qkv,1.912126066372366e-07,1e-06
llama31_8b,nar_g128_m1,2,down,2.990444727402064e-07,1e-06
llama31_8b,nar_g256_m1,0,qkv,1.5542210007879476e-07,1e-06
llama31_8b,nar_g256_m1,0,down,2.2378542041678884e-07,1e-06
llama31_8b,nar_g256_m1,1,qkv,1.5572982192679774e-07,1e-06
llama31_8b,nar_g256_m1,1,down,2.254650439681427e-07,1e-06
llama31_8b,nar_g256_m1,2,qkv,1.5621938587173645e-07,1e-06
llama31_8b,nar_g256_m1,2,down,2.2292718426797364e-07,1e-06
llama31_8b,nar_g256_m2,0,qkv,1.9306511944705562e-07,1e-06
llama31_8b,nar_g256_m2,0,down,2.969071317693306e-07,1e-06
llama31_8b,nar_g256_m2,1,qkv,1.9280795982012933e-07,1e-06
llama31_8b,nar_g256_m2,1,down,2.9760136044387764e-07,1e-06
llama31_8b,nar_g256_m2,2,qkv,1.906821864849917e-07,1e-06
llama31_8b,nar_g256_m2,2,down,2.958240088446473e-07,1e-06
llama31_8b,nar_g256_m3,0,qkv,2.1982411624321685e-07,1e-06
llama31_8b,nar_g256_m3,0,down,3.5375722973185475e-07,1e-06
llama31_8b,nar_g256_m3,1,qkv,2.2048511993943976e-07,1e-06
llama31_8b,nar_g256_m3,1,down,3.5440356782601157e-07,1e-06
llama31_8b,nar_g256_m3,2,qkv,2.182321026111822e-07,1e-06
llama31_8b,nar_g256_m3,2,down,3.5451330404612236e-07,1e-06
llama31_8b,nar_g128_m2,0,qkv,2.4414251242887985e-07,1e-06
llama31_8b,nar_g128_m2,0,down,4.084273825810669e-07,1e-06
llama31_8b,nar_g128_m2,1,qkv,2.4736579007367254e-07,1e-06
llama31_8b,nar_g128_m2,1,down,4.102212471934763e-07,1e-06
llama31_8b,nar_g128_m2,2,qkv,2.497901334663766e-07,1e-06
llama31_8b,nar_g128_m2,2,down,4.0931539047051047e-07,1e-06
