model,method,layer,direction,s_i,top_magnitude_channel
llama31_8b,smoothquant_hadamard,2,top_magnitude_channel,0.0,3475
llama31_8b,duquant_style,2,v1,0.27131062746047974,3475
llama31_8b,duquant_style,2,v2,0.12130327522754669,3475
llama31_8b,duquant_style,2,v3,0.12928663194179535,3475
llama31_8b,duquant_style,2,v4,0.3127809166908264,3475
llama31_8b,duquant_style,2,v5,0.22889822721481323,3475
llama31_8b,duquant_style,2,v6,0.20719805359840393,3475
llama31_8b,duquant_style,2,v7,0.3757737874984741,3475
llama31_8b,duquant_style,2,v8,0.27034610509872437,3475
llama31_8b,duquant_style,2,top_magnitude_channel,0.9999999403953552,3475
llama31_8b,nar,2,v1,0.9999995231628418,3475
llama31_8b,nar,2,v2,0.9999999403953552,3475
llama31_8b,nar,2,v3,0.9999999403953552,3475
llama31_8b,nar,2,v4,0.9999999403953552,3475
llama31_8b,nar,2,v5,1.000000238418579,3475
llama31_8b,nar,2,v6,0.9999998807907104,3475
llama31_8b,nar,2,v7,0.9999999403953552,3475
llama31_8b,nar,2,v8,1.0,3475
llama31_8b,nar,2,top_magnitude_channel,0.4332929253578186,3475
llama31_8b,hadamard,3,v1,0.009893388487398624,1869
llama31_8b,hadamard,3,v2,0.01084915641695261,1869
llama31_8b,hadamard,3,v3,0.0019900507759302855,1869
llama31_8b,hadamard,3,v4,0.007386130280792713,1869
llama31_8b,hadamard,3,v5,0.028534654527902603,1869
llama31_8b,hadamard,3,v6,0.0025602630339562893,1869
llama31_8b,hadamard,3,v7,0.00921764224767685,1869
llama31_8b,hadamard,3,v8,0.006961198523640633,1869
llama31_8b,hadamard,3,top_magnitude_channel,0.0,1869
llama31_8b,smoothquant_hadamard,3,v1,0.00034568869159556925,1869
llama31_8b,smoothquant_hadamard,3,v2,0.0005258258897811174,1869
llama31_8b,smoothquant_hadamard,3,v3,0.00013918265176471323,1869
llama31_8b,smoothquant_hadamard,3,v4,0.00035796326119452715,1869
llama31_8b,smoothquant_hadamard,3,v5,0.0009492649114690721,1869
llama31_8b,smoothquant_hadamard,3,v6,0.0002328552072867751,1869
llama31_8b,smoothquant_hadamard,3,v7,0.00040391579386778176,1869
llama31_8b,smoothquant_hadamard,3,v8,0.0004641549603547901,1869
llama31_8b,smoothquant_hadamard,3,top_magnitude_channel,0.0,1869
llama31_8b,duquant_style,3,v1,0.3211435377597809,1869
llama31_8b,duquant_style,3,v2,0.26819083094596863,1869
llama31_8b,duquant_style,3,v3,0.31694328784942627,1869
llama31_8b,duquant_style,3,v4,0.41173255443573,1869
llama31_8b,duquant_style,3,v5,0.2417275309562683,1869
llama31_8b,duquant_style,3,v6,0.3054552376270294,1869
llama31_8b,duquant_style,3,v7,0.25602996349334717,1869
llama31_8b,duquant_style,3,v8,0.13765643537044525,1869
llama31_8b,duquant_style,3,top_magnitude_channel,0.9999999403953552,1869
llama31_8b,nar,3,v1,1.0,1869
llama31_8b,nar,3,v2,1.0000001192092896,1869
llama31_8b,nar,3,v3,1.0000004768371582,1869
llama31_8b,nar,3,v4,0.9999998211860657,1869
llama31_8b,nar,3,v5,1.0,1869
llama31_8b,nar,3,v6,1.0000007152557373,1869
llama31_8b,nar,3,v7,0.9999999403953552,1869
llama31_8b,nar,3,v8,0.9999993443489075,1869
llama31_8b,nar,3,top_magnitude_channel,0.20172826945781708,1869
llama31_8b,hadamard,4,v1,0.017899923026561737,1869
llama31_8b,hadamard,4,v2,0.0200713612139225,1869
llama31_8b,hadamard,4,v3,0.0061821588315069675,1869
llama31_8b,hadamard,4,v4,0.0025313838850706816,1869
llama31_8b,hadamard,4,v5,0.02635188400745392,1869
llama31_8b,hadamard,4,v6,0.016153667122125626,1869
llama31_8b,hadamard,4,v7,0.022391002625226974,1869
llama31_8b,hadamard,4,v8,0.006145077291876078,1869
llama31_8b,hadamard,4,top_magnitude_channel,0.0,1869
llama31_8b,smoothquant_hadamard,4,v1,0.0006578696193173528,1869
llama31_8b,smoothquant_hadamard,4,v2,0.000826556293759495,1869
llama31_8b,smoothquant_hadamard,4,v3,0.0002672755508683622,1869
llama31_8b,smoothquant_hadamard,4,v4,0.000141671669553034,1869
llama31_8b,smoothquant_hadamard,4,v5,0.0009888040367513895,1869
llama31_8b,smoothquant_hadamard,4,v6,0.0006572326528839767,1869
llama31_8b,smoothquant_hadamard,4,v7,0.0009017757838591933,1869
llama31_8b,smoothquant_hadamard,4,v8,0.00039821103564463556,1869
llama31_8b,smoothquant_hadamard,4,top_magnitude_channel,0.0,1869
llama31_8b,duquant_style,4,v1,0.39528316259384155,1869
llama31_8b,duquant_style,4,v2,0.3165525197982788,1869
llama31_8b,duquant_style,4,v3,0.28891849517822266,1869
llama31_8b,duquant_style,4,v4,0.4951717257499695,1869
llama31_8b,duquant_style,4,v5,0.3080958127975464,1869
llama31_8b,duquant_style,4,v6,0.3398663103580475,1869
llama31_8b,duquant_style,4,v7,0.2515924572944641,1869
llama31_8b,duquant_style,4,v8,0.24330689013004303,1869
llama31_8b,duquant_style,4,top_magnitude_channel,0.9999999403953552,1869
llama31_8b,nar,4,v1,0.9999995827674866,1869
llama31_8b,nar,4,v2,0.9999999403953552,1869
llama31_8b,nar,4,v3,0.9999997019767761,1869
llama31_8b,nar,4,v4,0.9999999403953552,1869
llama31_8b,nar,4,v5,0.9999999403953552,1869
llama31_8b,nar,4,v6,1.000000238418579,1869
llama31_8b,nar,4,v7,1.0000004768371582,1869
llama31_8b,nar,4,v8,1.0000001192092896,1869
llama31_8b,nar,4,top_magnitude_channel,0.22054648399353027,1869
llama31_8b,hadamard,5,v1,0.015263613313436508,1869
llama31_8b,hadamard,5,v2,0.0203859843313694,1869
llama31_8b,hadamard,5,v3,0.004293207079172134,1869
llama31_8b,hadamard,5,v4,0.0018917347770184278,1869
llama31_8b,hadamard,5,v5,0.019098935648798943,1869
llama31_8b,hadamard,5,v6,0.016236580908298492,1869
llama31_8b,hadamard,5,v7,0.003200568025931716,1869
llama31_8b,hadamard,5,v8,0.02854909747838974,1869
llama31_8b,hadamard,5,top_magnitude_channel,0.0,1869
llama31_8b,smoothquant_hadamard,5,v1,0.00045758503256365657,1869
llama31_8b,smoothquant_hadamard,5,v2,0.0007026950479485095,1869
llama31_8b,smoothquant_hadamard,5,v3,0.0001794455893104896,1869
llama31_8b,smoothquant_hadamard,5,v4,0.00014148834452498704,1869
llama31_8b,smoothquant_hadamard,5,v5,0.0006164723890833557,1869
llama31_8b,smoothquant_hadamard,5,v6,0.0005270355031825602,1869
llama31_8b,smoothquant_hadamard,5,v7,0.00026238561258651316,1869
llama31_8b,smoothquant_hadamard,5,v8,0.0008567790500819683,1869
llama31_8b,smoothquant_hadamard,5,top_magnitude_channel,0.0,1869
llama31_8b,duquant_style,5,v1,0.34314486384391785,1869
llama31_8b,duquant_style,5,v2,0.19585582613945007,1869
llama31_8b,duquant_style,5,v3,0.15056276321411133,1869
llama31_8b,duquant_style,5,v4,0.3457995355129242,1869
llama31_8b,duquant_style,5,v5,0.2172885537147522,1869
llama31_8b,duquant_style,5,v6,0.35759469866752625,1869
