model,row,site,max_abs_coefficient,max_dequant_error_from_fp16_c,mean_error_over_step,max_error_over_step,code_flip_fraction,groups_with_a_flip,exceeds_tenth_of_step
llama31_8b,hadamard_g256_m2,qkv,0.176663339138031,0.05178753286600113,0.0078095621429383755,0.9999861717224121,3.4332275390625e-05,0.0078125,True
llama31_8b,hadamard_g256_m2,down,0.04063770920038223,0.004654030315577984,0.007821070030331612,0.9999879002571106,4.032680226373486e-05,0.0078125,True
llama31_8b,hadamard_g256_m3,qkv,0.2824641466140747,0.05532960593700409,0.009767798706889153,0.9999647736549377,8.0108642578125e-05,0.009765625,True
llama31_8b,hadamard_g256_m3,down,0.04063770920038223,0.0045088594779372215,0.013695919886231422,0.9999750256538391,6.975446740398183e-05,0.013671875931322575,True
llama31_8b,nar_g256_m2,qkv,6.7814507484436035,0.09594029188156128,0.3860827386379242,1.0027506351470947,0.0254669189453125,0.3935546875,True
llama31_8b,nar_g256_m2,down,0.6124618053436279,0.004931937903165817,0.0745169147849083,0.9999634027481079,0.00044250491191633046,0.0744977742433548,True
llama31_8b,nar_g256_m3,qkv,6.7814507484436035,0.10230082273483276,0.4554538130760193,1.1164772510528564,0.02886199951171875,0.462890625,True
llama31_8b,nar_g256_m3,down,0.3545726239681244,0.004417035728693008,0.11638937890529633,0.9999780654907227,0.0007160732056945562,0.1163504496216774,True
llama31_8b,nar_g128_m2,qkv,6.781450271606445,0.10178077220916748,0.30465131998062134,2.083916187286377,0.028034210205078125,0.31494140625,True
llama31_8b,nar_g128_m2,down,0.6124617457389832,0.004960514605045319,0.05168362334370613,0.9999940395355225,0.0005231585237197578,0.0514787957072258,True
