model,row,site,layer,group,m,slots,effective_bits,rows_used,mean_group_range,hadamard_reference_range,range_ratio_vs_hadamard,measured_range_reduction,absorbed_energy_fraction,sqrt_one_minus_f,predicted_range_reduction
llama31_8b,hadamard_g64_m1,qkv,0,64,1,0,4.5,4096,0.6145538091659546,0.6145538091659546,1.0,0.0,0.010552121326327324,0.9947099470064993,0.005290052993500716
llama31_8b,hadamard_g128_m1,qkv,0,128,1,0,4.25,4096,0.6757018566131592,0.6757018566131592,1.0,0.0,0.007217623759061098,0.9963846527526099,0.0036153472473900994
llama31_8b,hadamard_g256_m1,qkv,0,256,1,0,4.125,4096,0.7325343489646912,0.7325343489646912,1.0,0.0,0.007039316464215517,0.9964741258737151,0.0035258741262849114
llama31_8b,hadamard_g256_m2,qkv,0,256,2,0,4.1875,4096,0.7322051525115967,0.7325343489646912,0.9995506061203003,0.0004493938796996262,0.007217623759061098,0.9963846527526099,0.0036153472473900994
llama31_8b,hadamard_g256_m3,qkv,0,256,3,0,4.25,4096,0.7312769293785095,0.7325343489646912,0.9982834667234939,0.0017165332765061224,0.009171528741717339,0.9954036725159711,0.004596327484028939
llama31_8b,nar_g64_m1,qkv,0,64,1,64,4.5,4096,0.1879352331161499,0.6145538091659546,0.3058076124712453,0.6941923875287547,0.6880289316177368,0.5585437031981143,0.4414562968018857
llama31_8b,nar_g128_m1,qkv,0,128,1,32,4.25,4096,0.2323988378047943,0.6757018566131592,0.34393695315512973,0.6560630468448703,0.617672324180603,0.6183265123051065,0.3816734876948935
llama31_8b,nar_g256_m1,qkv,0,256,1,16,4.125,4096,0.27974843978881836,0.7325343489646912,0.38189122487456556,0.6181087751254344,0.5483454465866089,0.672052493049011,0.32794750695098895
llama31_8b,nar_g256_m2,qkv,0,256,2,32,4.1875,4096,0.254220187664032,0.7325343489646912,0.3470420029085703,0.6529579970914298,0.6176723837852478,0.618326464106747,0.38167353589325304
llama31_8b,nar_g256_m3,qkv,0,256,3,48,4.25,4096,0.23979556560516357,0.7325343489646912,0.3273506094889237,0.6726493905110763,0.6584897637367249,0.5843887715068413,0.4156112284931587
llama31_8b,nar_g128_m2,qkv,0,128,2,64,4.375,4096,0.2108585685491562,0.6757018566131592,0.31205858987283086,0.6879414101271691,0.6880288124084473,0.5585438099124838,0.44145619008751624
