model,method,site,layer,mean_group_range,nmse,groups_observed
llama31_8b,hadamard,qkv,0,0.6749841114035107,0.00946920045430929,8388608
llama31_8b,hadamard,qkv,1,1.16441676243943,0.00980419653352054,8388608
llama31_8b,hadamard,qkv,2,2.1003242520815917,0.009895947175014727,8388608
llama31_8b,hadamard,qkv,3,1.8672029642934547,0.009934490367681134,8388608
llama31_8b,hadamard,qkv,4,1.8493165018584108,0.00990084098996385,8388608
llama31_8b,hadamard,qkv,5,2.147296418878028,0.009905139792993225,8388608
llama31_8b,hadamard,qkv,6,2.0692320854707447,0.009891714158346578,8388608
llama31_8b,hadamard,qkv,7,2.0974969246452417,0.009899117534571377,8388608
llama31_8b,hadamard,qkv,8,2.3203947301936694,0.009909639590891495,8388608
llama31_8b,hadamard,qkv,9,2.32424388528689,0.009884298843131403,8388608
llama31_8b,hadamard,qkv,10,2.49643829625316,0.009867716883674233,8388608
llama31_8b,hadamard,qkv,11,2.481242765664973,0.009897835286359192,8388608
llama31_8b,hadamard,qkv,12,2.2291171977242215,0.009889863338302739,8388608
llama31_8b,hadamard,qkv,13,2.581244505515997,0.009863394442917525,8388608
llama31_8b,hadamard,qkv,14,2.653206435029915,0.009865910413359,8388608
llama31_8b,hadamard,qkv,15,2.5132024710772924,0.009888044607375482,8388608
llama31_8b,hadamard,qkv,16,2.580988116430717,0.009885167318477753,8388608
llama31_8b,hadamard,qkv,17,2.5361475229115342,0.009904719895812101,8388608
llama31_8b,hadamard,qkv,18,2.5918127586975004,0.009906853805561682,8388608
llama31_8b,hadamard,qkv,19,2.6017250960941283,0.00991821701849278,8388608
llama31_8b,hadamard,qkv,20,2.6908366457260797,0.009916437106317759,8388608
llama31_8b,hadamard,qkv,21,2.643144019264483,0.009905279218564402,8388608
llama31_8b,hadamard,qkv,22,2.784452081500447,0.009904157520298282,8388608
llama31_8b,hadamard,qkv,23,2.727643015747958,0.009909923981065544,8388608
llama31_8b,hadamard,qkv,24,2.7766053053031214,0.009911741809211824,8388608
llama31_8b,hadamard,qkv,25,2.7854251267213073,0.00991051216581466,8388608
llama31_8b,hadamard,qkv,26,2.7440953579383063,0.009896080369489553,8388608
llama31_8b,hadamard,qkv,27,2.8096277999972585,0.009938359577117003,8388608
llama31_8b,hadamard,qkv,28,2.786165959902931,0.009916848436800026,8388608
llama31_8b,hadamard,qkv,29,2.7797848381628114,0.009940571709044565,8388608
