model,site,layer,method,selected_tokens,selected_bos,selected_sequences,bos_fraction,indices_sha256,values_sha256,selection_artifact
llama31_8b,qkv,5,B_top1,128,0,128,0.0,25a0a9a6151f9e52108fe1b81f65ce3e4d6efa802ecfc5dd8abc24c3cd591ada,0f4d4b0ccf25726a15e6b044898d48a051e39486589da5b52773eff5537f7b05,qkv_layer_05.selection.pt
llama31_8b,qkv,5,B_top1_no_bos,128,0,128,0.0,25a0a9a6151f9e52108fe1b81f65ce3e4d6efa802ecfc5dd8abc24c3cd591ada,0f4d4b0ccf25726a15e6b044898d48a051e39486589da5b52773eff5537f7b05,qkv_layer_05.selection.pt
llama31_8b,qkv,5,C_top1pct,2622,0,128,0.0,99b1870f100a345192c20663b34d523a5f58ade4cdc8846ec19149143c4fd4c5,1ba0f5e6b5cbab9f7976478e9b6f1ce5e4553219aa04408c162de0ca2a122754,qkv_layer_05.selection.pt
llama31_8b,qkv,5,C_top1pct_no_bos,2621,0,128,0.0,69223eda8134b30181cc2d28f0aa44ebc213be32472cca7496e4b835256e3340,4d48c0a228f439d097825b1a495af47802376be00f142a0f0194f9bf478bec9f,qkv_layer_05.selection.pt
llama31_8b,qkv,6,B_top1,128,0,128,0.0,d9906a54ebe94e2d3d90282f0fb340a3c212b3920d395d138d0b694409300c1e,697a923d75ad61e1f7d008dad5eb993f4587b57f25bdce098b016fd476d02946,qkv_layer_06.selection.pt
llama31_8b,qkv,6,B_top1_no_bos,128,0,128,0.0,d9906a54ebe94e2d3d90282f0fb340a3c212b3920d395d138d0b694409300c1e,697a923d75ad61e1f7d008dad5eb993f4587b57f25bdce098b016fd476d02946,qkv_layer_06.selection.pt
llama31_8b,qkv,6,C_top1pct,2622,0,128,0.0,cebbbac4c33f4563c36be9efe2e4458a240911e715611fa5887132b541b1dffb,0259f89f6e88b47da8752cc34a80f906e5eaed64a3c1edd37437f2d7e3f50467,qkv_layer_06.selection.pt
llama31_8b,qkv,6,C_top1pct_no_bos,2621,0,128,0.0,76cc56659f94b355fb60d86adc7ca49e3669926de39ede29880191f7510951e4,fb847c80657b14dd45f78066f248027f024272ca63c8fb402224953ab6edeeab,qkv_layer_06.selection.pt
llama31_8b,qkv,7,B_top1,128,0,128,0.0,d170f2713ed8a9402cd2aab0cbb4073e70003749252b86d1f77652b63ef1d887,29f8251bb5cb5cc7523210080fb93feadd21b36810ded4c1fd371a71834334f8,qkv_layer_07.selection.pt
llama31_8b,qkv,7,B_top1_no_bos,128,0,128,0.0,d170f2713ed8a9402cd2aab0cbb4073e70003749252b86d1f77652b63ef1d887,29f8251bb5cb5cc7523210080fb93feadd21b36810ded4c1fd371a71834334f8,qkv_layer_07.selection.pt
llama31_8b,qkv,7,C_top1pct,2622,0,128,0.0,76836e2263945d03a50979a3bdf5edba2af24f4cbe69105b1185b37920c9f43a,529f9c06b56d1cb01e70539f8986ed9e083cddf573a21c328bfe446f229f8052,qkv_layer_07.selection.pt
llama31_8b,qkv,7,C_top1pct_no_bos,2621,0,128,0.0,73f89a34dbf83d3352234c9bc22ec2d16d52662dc85c445332f17e9622e68d12,11626dcb1de0f071eb0501ad37006baeeb984af76a5ae316cc5c70b076d4bb9d,qkv_layer_07.selection.pt
llama31_8b,qkv,8,B_top1,128,0,128,0.0,cb965317a9c7984764afc24c6e7bfac2d000a0506c35634c47afe10790622f98,c1f920619b4b79d8802e007d836e439a36282ac6029e04404445799cd4a99472,qkv_layer_08.selection.pt
llama31_8b,qkv,8,B_top1_no_bos,128,0,128,0.0,cb965317a9c7984764afc24c6e7bfac2d000a0506c35634c47afe10790622f98,c1f920619b4b79d8802e007d836e439a36282ac6029e04404445799cd4a99472,qkv_layer_08.selection.pt
llama31_8b,qkv,8,C_top1pct,2622,0,128,0.0,eea3fe5d7fc40d3d54ed6ab0389e7d1d4660ddb982957d8ef7b2220bdf8ec955,3a8f10797d5d149ec9c910de95d88fe890ea5461fc81d672bed0591750623d8d,qkv_layer_08.selection.pt
llama31_8b,qkv,8,C_top1pct_no_bos,2621,0,128,0.0,f37e550830117068b7523b64187ade23cfdab5a1c9e3a422c3750c75910c3dbb,6044bf9294afdf299e8ea1e180d714bcfadd59d3237771c13a5a33bb1ba8f431,qkv_layer_08.selection.pt
llama31_8b,qkv,9,B_top1,128,0,128,0.0,d5f191e3eed7d94eb6ff61177de6ef125651611addde7644b9640cb71d73ff65,fbbe368ac241afb0f8d0a99f7deb1db6e8662adea0400faf37900ac140d58272,qkv_layer_09.selection.pt
llama31_8b,qkv,9,B_top1_no_bos,128,0,128,0.0,d5f191e3eed7d94eb6ff61177de6ef125651611addde7644b9640cb71d73ff65,fbbe368ac241afb0f8d0a99f7deb1db6e8662adea0400faf37900ac140d58272,qkv_layer_09.selection.pt
llama31_8b,qkv,9,C_top1pct,2622,0,123,0.0,8fffc90453249a2c5a3776d5b9f9b2f85c5be0ced3e2a58a7b9372928a4aa4f9,45fc780acea81ede2d0d3b83dc9ff5d4d61a4c762359334e12ead8fc1c2598b2,qkv_layer_09.selection.pt
llama31_8b,qkv,9,C_top1pct_no_bos,2621,0,123,0.0,97634f372301c71108197564b41ccf8a037e53a710176d77d941151d812736d7,11dd41f772a9ac7c3009f254ac6e8bbc38a45a08b5e61bf148d57577030671f3,qkv_layer_09.selection.pt
llama31_8b,qkv,10,B_top1,128,0,128,0.0,0c624a4b8233d0628c5a7712e98438fa618a4c6b23b63d4844c900102a45b06d,871f29ffd1385c632c0863951bac3744894e278cceaa3f62d2bb1ecd362b480a,qkv_layer_10.selection.pt
llama31_8b,qkv,10,B_top1_no_bos,128,0,128,0.0,0c624a4b8233d0628c5a7712e98438fa618a4c6b23b63d4844c900102a45b06d,871f29ffd1385c632c0863951bac3744894e278cceaa3f62d2bb1ecd362b480a,qkv_layer_10.selection.pt
llama31_8b,qkv,10,C_top1pct,2622,0,120,0.0,f9d245cd24407baf89a097367e32f35a10e13ba306e19cb8c4a471fdb8b32143,9965e54e64471e46085a7f1eeaf03d1ddcf877f19ebcadb142335734eab97936,qkv_layer_10.selection.pt
llama31_8b,qkv,10,C_top1pct_no_bos,2621,0,120,0.0,9d4ae70c0b1f1c1560008e9c7d323831421915ebe4cc3daa7b4dd15327db1407,2215857c04f69de71792eee833fdde79f2473b2ab06e1e1bd139b8ec6370f3bb,qkv_layer_10.selection.pt
llama31_8b,qkv,11,B_top1,128,0,128,0.0,d56d0cbbe0f0b9ebe4057ab718a9bd78fcb9c25bc26eb829888da7f6df4a8ea7,c7fe1b93ec7f72b23f3a1e14b4fce3b8c3cb13dec7ee9b07e713e2e5928b1a4d,qkv_layer_11.selection.pt
llama31_8b,qkv,11,B_top1_no_bos,128,0,128,0.0,d56d0cbbe0f0b9ebe4057ab718a9bd78fcb9c25bc26eb829888da7f6df4a8ea7,c7fe1b93ec7f72b23f3a1e14b4fce3b8c3cb13dec7ee9b07e713e2e5928b1a4d,qkv_layer_11.selection.pt
llama31_8b,qkv,11,C_top1pct,2622,0,124,0.0,4516a2f3b463517729ebf000e906053db8e24cc88b4ace99ec1314d311f428af,ec9aadf8f0b532345ddac79cedf4980cfa7070a1c4fdd33d081283687b4b6493,qkv_layer_11.selection.pt
llama31_8b,qkv,11,C_top1pct_no_bos,2621,0,124,0.0,5a2134e381de74363540fb99edf540b8ecafc59ea84a618cd439e91713e36129,b56061d1ffaa1b3912ad5b84ca6696d90440eeab6608d86b334a90cb48e2e464,qkv_layer_11.selection.pt
llama31_8b,qkv,12,B_top1,128,0,128,0.0,019961fe433e5e8fadfc2799be4e41ffac82ba040159a0ef26b84d49869672d5,2a238e98866515030dfbf8e6f6544bc368b201c0e7d713affc2b9f044c16485e,qkv_layer_12.selection.pt
llama31_8b,qkv,12,B_top1_no_bos,128,0,128,0.0,019961fe433e5e8fadfc2799be4e41ffac82ba040159a0ef26b84d49869672d5,2a238e98866515030dfbf8e6f6544bc368b201c0e7d713affc2b9f044c16485e,qkv_layer_12.selection.pt
llama31_8b,qkv,12,C_top1pct,2622,0,127,0.0,83a57e53da08d7e151a58e5131c091e1b9de2c81303431137bb3efd37f8cfa0c,a2107cc9b2b74bc440b36847ebb78841cb77b1b3008ff23e15b2bba432acf5b3,qkv_layer_12.selection.pt
llama31_8b,qkv,12,C_top1pct_no_bos,2621,0,127,0.0,4fbfba0e54a144d76e711f043d13f21527f9711f10fb34f5c4319fd657987961,a21e93c8376fa626264415cb6ec403a8335e59b301ccd7beeb6e18664a3ab943,qkv_layer_12.selection.pt
llama31_8b,qkv,13,B_top1,128,0,128,0.0,0c05709a1a17cd01fd4396deb27289a43cc9467e7afb84655561e74ab2e6134a,6f17ce3336f6967174958c11ef986a84b27f833c1299cea4aa7afee6dc3b8bfd,qkv_layer_13.selection.pt
