model,row,site,layer,seed,round_trip,tolerance
llama31_8b,E11_g128_k8,down,0,0,1.1728351267947801e-07,1e-06
llama31_8b,E11_g128_k8,down,0,1,1.1685802547845014e-07,1e-06
llama31_8b,E11_g128_k8,down,0,2,1.171279109257739e-07,1e-06
llama31_8b,E11_g128_k16,down,0,0,1.2083815192909242e-07,1e-06
llama31_8b,E11_g128_k16,down,0,1,1.2130288951084367e-07,1e-06
llama31_8b,E11_g128_k16,down,0,2,1.21589437185321e-07,1e-06
llama31_8b,E11_g128_k32,down,0,0,1.2406887606175587e-07,1e-06
llama31_8b,E11_g128_k32,down,0,1,1.2359191714494955e-07,1e-06
llama31_8b,E11_g128_k32,down,0,2,1.239277480635792e-07,1e-06
llama31_8b,E11_g128_kmax,down,0,0,1.4214998600436957e-07,1e-06
llama31_8b,E11_g128_kmax,down,0,1,1.4197989628428331e-07,1e-06
llama31_8b,E11_g128_kmax,down,0,2,1.4157663486003003e-07,1e-06
llama31_8b,E11_g256_kmax,down,0,0,1.2424747808381653e-07,1e-06
llama31_8b,E11_g256_kmax,down,0,1,1.2396118620472407e-07,1e-06
llama31_8b,E11_g256_kmax,down,0,2,1.2401275739648554e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,0,0,1.9438184040154738e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,0,1,1.9547699992017442e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,0,2,1.9475608326047222e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,0,0,1.9438184040154738e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,0,1,1.9547699992017442e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,0,2,1.9475608326047222e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,down,0,0,1.9438184040154738e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,down,0,1,1.9547699992017442e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,down,0,2,1.9475608326047222e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,down,0,0,1.9438184040154738e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,down,0,1,1.9547699992017442e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,down,0,2,1.9475608326047222e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,down,0,0,1.9438184040154738e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,down,0,1,1.9547699992017442e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,down,0,2,1.9475608326047222e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,down,0,0,1.9438184040154738e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,down,0,1,1.9547699992017442e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,down,0,2,1.9475608326047222e-07,1e-06
llama31_8b,E20_nar_g64_m1,down,0,0,1.642077762653571e-07,1e-06
llama31_8b,E20_nar_g64_m1,down,0,1,1.6404123925894964e-07,1e-06
llama31_8b,E20_nar_g64_m1,down,0,2,1.648497089945522e-07,1e-06
llama31_8b,E20_nar_g128_m1,down,0,0,1.407541816433877e-07,1e-06
llama31_8b,E20_nar_g128_m1,down,0,1,1.4087555655351025e-07,1e-06
llama31_8b,E20_nar_g128_m1,down,0,2,1.41797883657091e-07,1e-06
llama31_8b,E20_nar_g256_m1,down,0,0,1.271387901624621e-07,1e-06
llama31_8b,E20_nar_g256_m1,down,0,1,1.2659432968575857e-07,1e-06
llama31_8b,E20_nar_g256_m1,down,0,2,1.2689363870777015e-07,1e-06
llama31_8b,E20_nar_g256_m2,down,0,0,1.3686758393305354e-07,1e-06
llama31_8b,E20_nar_g256_m2,down,0,1,1.3830381817570014e-07,1e-06
llama31_8b,E20_nar_g256_m2,down,0,2,1.373856122199868e-07,1e-06
llama31_8b,E20_nar_g256_m3,down,0,0,1.4710916218518832e-07,1e-06
llama31_8b,E20_nar_g256_m3,down,0,1,1.4758416000404395e-07,1e-06
llama31_8b,E20_nar_g256_m3,down,0,2,1.474281816626899e-07,1e-06
llama31_8b,E20_nar_g128_m2,down,0,0,1.754643790263799e-07,1e-06
llama31_8b,E20_nar_g128_m2,down,0,1,1.7722447864798596e-07,1e-06
llama31_8b,E20_nar_g128_m2,down,0,2,1.758933620976677e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,down,0,0,1.754643790263799e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,down,0,1,1.7722447864798596e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,down,0,2,1.758933620976677e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,down,0,0,1.4710916218518832e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,down,0,1,1.4758416000404395e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,down,0,2,1.474281816626899e-07,1e-06
llama31_8b,E11_g64_kmax,qkv,1,0,1.4195873632161238e-07,1e-06
llama31_8b,E11_g64_kmax,qkv,1,1,1.404662413051483e-07,1e-06
llama31_8b,E11_g64_kmax,qkv,1,2,1.422443460796785e-07,1e-06
llama31_8b,E11_g128_k8,qkv,1,0,1.2001805771433283e-07,1e-06
llama31_8b,E11_g128_k8,qkv,1,1,1.2076638711278065e-07,1e-06
llama31_8b,E11_g128_k8,qkv,1,2,1.1990347559276415e-07,1e-06
llama31_8b,E11_g128_k16,qkv,1,0,1.3029416834342555e-07,1e-06
llama31_8b,E11_g128_k16,qkv,1,1,1.3113573515965982e-07,1e-06
llama31_8b,E11_g128_k16,qkv,1,2,1.3077570315545017e-07,1e-06
llama31_8b,E11_g128_k32,qkv,1,0,1.4066067421936168e-07,1e-06
llama31_8b,E11_g128_k32,qkv,1,1,1.4141664905764628e-07,1e-06
llama31_8b,E11_g128_k32,qkv,1,2,1.4025931704964023e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,1,0,1.379804217549463e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,1,1,1.3878808147183008e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,1,2,1.3846350555013487e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,1,0,1.2037384067298262e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,1,1,1.218453888895965e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,1,2,1.199537251750371e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,1,0,1.3312812541244057e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,1,1,1.3357531258861854e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,1,2,1.3421829692106257e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,qkv,1,0,1.3312812541244057e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,qkv,1,1,1.3357531258861854e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,qkv,1,2,1.3421829692106257e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,qkv,1,0,1.3312812541244057e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,qkv,1,1,1.3357531258861854e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,qkv,1,2,1.3421829692106257e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,qkv,1,0,1.3312812541244057e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,qkv,1,1,1.3357531258861854e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,qkv,1,2,1.3421829692106257e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,qkv,1,0,1.3312812541244057e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,qkv,1,1,1.3357531258861854e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,qkv,1,2,1.3421829692106257e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,qkv,1,0,1.3312812541244057e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,qkv,1,1,1.3357531258861854e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,qkv,1,2,1.3421829692106257e-07,1e-06
llama31_8b,E20_nar_g64_m1,qkv,1,0,1.3806902643409558e-07,1e-06
llama31_8b,E20_nar_g64_m1,qkv,1,1,1.4048799812371726e-07,1e-06
llama31_8b,E20_nar_g64_m1,qkv,1,2,1.3888453054278216e-07,1e-06
llama31_8b,E20_nar_g128_m1,qkv,1,0,1.342262692105578e-07,1e-06
llama31_8b,E20_nar_g128_m1,qkv,1,1,1.3557020395182917e-07,1e-06
llama31_8b,E20_nar_g128_m1,qkv,1,2,1.3446330626720737e-07,1e-06
llama31_8b,E20_nar_g256_m1,qkv,1,0,1.200506574150495e-07,1e-06
llama31_8b,E20_nar_g256_m1,qkv,1,1,1.194421912487087e-07,1e-06
llama31_8b,E20_nar_g256_m1,qkv,1,2,1.2071991761786194e-07,1e-06
llama31_8b,E20_nar_g256_m2,qkv,1,0,1.2923538861286943e-07,1e-06
llama31_8b,E20_nar_g256_m2,qkv,1,1,1.3057029946139664e-07,1e-06
llama31_8b,E20_nar_g256_m2,qkv,1,2,1.307632118141555e-07,1e-06
llama31_8b,E20_nar_g256_m3,qkv,1,0,1.3850221591837908e-07,1e-06
llama31_8b,E20_nar_g256_m3,qkv,1,1,1.3751771632541931e-07,1e-06
llama31_8b,E20_nar_g256_m3,qkv,1,2,1.3992737990520254e-07,1e-06
llama31_8b,E20_nar_g128_m2,qkv,1,0,1.5179746526428062e-07,1e-06
llama31_8b,E20_nar_g128_m2,qkv,1,1,1.530976589947386e-07,1e-06
llama31_8b,E20_nar_g128_m2,qkv,1,2,1.530524116333254e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,qkv,1,0,1.5179746526428062e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,qkv,1,1,1.530976589947386e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,qkv,1,2,1.530524116333254e-07,1e-06
