model,method,seeds,mean_ppl,ppl_delta_vs_bf16,paired_ppl_delta_vs_hadamard,paired_90ci_low_vs_hadamard,paired_90ci_high_vs_hadamard,paired_ppl_delta_vs_nar,paired_90ci_low_vs_nar,paired_90ci_high_vs_nar,effective_bits_qkv,effective_bits_down,metadata_formula,hadamard_to_bf16_gap_recovered
llama31_8b,bf16,1,6.204007025278876,0.0,nan,nan,nan,nan,nan,nan,16.0,16.0,bf16 value; no quantization metadata,nan
llama31_8b,hadamard_g128_asym,3,6.346260798979771,0.14225377370089554,0.0,0.0,0.0,0.06133318527600876,0.056407224380832253,0.06625914617118527,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.0
llama31_8b,nar_b128_kmax,3,6.284927613703762,0.08092058842488647,-0.06133318527600876,-0.06625914617118527,-0.056407224380832253,0.0,0.0,0.0,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.4311043035563708
llama31_8b,smoothquant_hadamard_g128_asym,3,6.357919704857445,0.15391267957856947,0.01165890587767393,0.008521290818901857,0.014796520936446005,0.0729920911536827,0.06616732511724621,0.07981685719011919,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),-0.08199824209040611
llama31_8b,duquant_style_g128_asym,3,6.333933339177228,0.12992631389835196,-0.012327459802543869,-0.016046901267716476,-0.00860801833737126,0.0490057254734649,0.04118341957789967,0.05682803136903013,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.08674931158584075
llama31_8b,hadamard_token_symmetric,3,6.610613628618032,0.40660660333915644,0.2643528296382609,0.25789741977833364,0.27080823949818816,0.3256860149142697,0.3143088561735755,0.33706317365496385,4.00390625,4.001116071428571,4 + 16/n (one fp16 scale per token),-1.8583220962774556
llama31_8b,hadamard_token_asymmetric,3,6.516508140927864,0.3125011156489883,0.17024734194809246,0.16625003608518912,0.1742446478109958,0.23158052722410125,0.22643109158669575,0.23672996286150674,4.0078125,4.002232142857143,4 + 32/n (one fp16 scale + fp16 zero-point per token),-1.196792100817784
llama31_8b,nar_b64_kmax,3,6.261409150979097,0.05740212570022152,-0.08485164800067461,-0.08543720435952744,-0.08426609164182179,-0.023518462724665845,-0.028449192338020377,-0.018587733111311313,4.5,4.5,4 + 32/64 (one fp16 scale + fp16 zero-point per group),0.5964975902775042
llama31_8b,nar_b256_kmax,3,6.305165198831122,0.10115817355224621,-0.04109560014864962,-0.05091801763255159,-0.031273182664747656,0.020237585127359143,0.014311420890351183,0.026163749364367102,4.125,4.125,4 + 32/256 (one fp16 scale + fp16 zero-point per group),0.28869505916348914
llama31_8b,nar_b128_k8,3,6.295711197147543,0.09170417186866686,-0.050549601832228085,-0.05449780934425713,-0.04660139432019904,0.010783583443780683,0.003442220369144321,0.018124946518417045,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.35531601894364684
llama31_8b,nar_b128_k16,3,6.2954159434963515,0.09140891821747577,-0.05084485548341888,-0.05685264690702776,-0.04483706405981001,0.010488329792589882,0.008392447508192749,0.012584212076987015,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.3573970556517075
llama31_8b,nar_b128_k32,3,6.289038375421182,0.08503135014230612,-0.05722242355858972,-0.06228462329382667,-0.052160223823352767,0.00411076171741905,-0.00552902206081335,0.01375054549565145,4.25,4.25,4 + 32/128 (one fp16 scale + fp16 zero-point per group),0.40238422106967864
