model,k,tokens,decoder_layer_ms,nar_fused_ms,hadamard_fused_ms,nar_share_of_layer,hadamard_share_of_layer,nar_over_layer,hadamard_over_layer,nar_over_matmul,hadamard_over_matmul
llama31_8b,8,2048,3.4663632180955677,0.15461799383163452,0.10449251254868945,0.04270057887136671,0.02926259710017375,0.04460524881653406,0.030144709591656126,0.22229796987383488,0.15023137237108158
llama31_8b,32,2048,3.4663632180955677,0.2845970525553352,0.10440489609858819,0.0758731183537567,0.029238777977088015,0.08210249031885754,0.03011943340315866,0.38658273218702094,0.14181851015356778
